egg_TaijinPrice,Duckegg_TNN_TaijinPrice,入中雞雛數,產蛋隻數,均  日     產蛋箱數,淘汰隻數,目  前         換羽隻數,Date,WhiteChickQuantity,RedChickQuantity,ImportChickenQuantity, 玉米粒, 黃豆粉 ,玉米粉 ,脫殼豆粉,高蛋白豆粉,StationName,AirTemperatureMean,AirTemperatureMax,Precipitation
33.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-01,329600,35800,35701,7.4,12.3,7.93,13.5,13.44,宜蘭,18.4,28.0,111.5
33.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-02,329600,35800,35701,7.4,12.3,7.93,13.5,13.44,宜蘭,18.4,28.0,149.5
33.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-03,329600,35800,35701,7.35,12.3,7.9,13.5,13.45,宜蘭,18.4,28.0,62.8
33.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-04,329600,35800,35701,7.35,12.3,7.87,13.5,13.45,宜蘭,18.4,28.0,6.7
33.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-05,329600,35800,35701,7.35,12.3,7.87,13.5,13.45,宜蘭,18.4,28.0,0.0
33.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-06,329600,35800,35701,7.35,12.4,7.87,13.5,13.45,宜蘭,18.4,28.0,19.1
33.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-07,329600,35800,35701,7.35,12.4,7.87,13.5,13.45,宜蘭,18.4,28.0,7.5
33.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-08,295700,36800,35701,7.4,12.4,7.87,13.5,13.46,宜蘭,18.4,28.0,1.7
36.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-09,295700,36800,35701,7.55,12.4,7.9,13.5,13.44,宜蘭,18.4,28.0,46.6
36.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-10,295700,36800,35701,7.9,12.4,7.97,13.5,13.45,宜蘭,18.4,28.0,0.6
36.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-11,295700,36800,35701,8.05,12.4,8.07,13.5,13.45,宜蘭,18.4,28.0,2.0
36.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-12,295700,36800,35701,8.05,12.4,8.07,13.5,13.45,宜蘭,18.4,28.0,T
36.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-13,295700,36800,35701,8.1,12.4,8.15,13.5,13.44,宜蘭,18.4,28.0,0.5
36.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-14,295700,36800,35701,8.1,12.4,8.15,13.5,13.44,宜蘭,18.4,28.0,2.7
36.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-15,353800,59800,35701,8.15,12.25,8.18,13.45,13.37,宜蘭,18.4,28.0,1.6
36.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-16,353800,59800,35701,8.15,12.25,8.2,13.45,13.33,宜蘭,18.4,28.0,13.5
36.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-17,353800,59800,35701,8.2,12.25,8.22,13.45,13.33,宜蘭,18.4,28.0,0.8
36.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-18,353800,59800,35701,8.25,12.2,8.24,13.4,13.33,宜蘭,18.4,28.0,0.0
36.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-19,353800,59800,35701,8.25,12.2,8.24,13.4,13.37,宜蘭,18.4,28.0,0.0
36.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-20,353800,59800,35701,8.25,12.2,8.24,13.4,13.37,宜蘭,18.4,28.0,7.1
36.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-21,353800,59800,35701,8.25,12.2,8.27,13.4,13.33,宜蘭,18.4,28.0,9.0
34.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-22,294400,45000,35701,8.25,12.2,8.29,13.4,13.33,宜蘭,18.4,28.0,0.0
34.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-23,294400,45000,35701,8.2,12.2,8.29,13.4,13.33,宜蘭,18.4,28.0,0.0
34.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-24,294400,45000,35701,8.2,12.2,8.27,13.4,13.33,宜蘭,18.4,28.0,0.0
34.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-25,294400,45000,35701,8.15,12.2,8.25,13.4,13.3,宜蘭,18.4,28.0,0.0
34.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-26,294400,45000,35701,8.15,12.2,8.25,13.4,13.3,宜蘭,18.4,28.0,0.0
34.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-27,294400,45000,35701,8.15,12.2,8.23,13.4,13.3,宜蘭,18.4,28.0,T
34.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-28,294400,45000,35701,8.15,12.2,8.23,13.4,13.3,宜蘭,18.4,28.0,0.5
32.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-29,294400,45000,35701,8.15,12.2,8.23,13.4,13.3,宜蘭,18.4,28.0,3.7
30.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-30,294400,45000,35701,8.15,12.2,8.2,13.4,13.29,宜蘭,18.4,28.0,0.0
30.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-31,294400,45000,35701,8.15,12.2,8.2,13.4,13.29,宜蘭,18.4,28.0,0.0
30.5,34.0,1488006.0,27740175.0,92545.0,1013292.0,1779374.0,2019-02-01,282200,78400,10396,8.1,12.2,8.2,13.4,13.29,宜蘭,19.4,28.2,0.2
30.5,34.0,1488006.0,27740175.0,92545.0,1013292.0,1779374.0,2019-02-02,282200,78400,10396,8.1,12.2,8.2,13.4,13.29,宜蘭,19.4,28.2,0.0
30.5,34.0,1488006.0,27740175.0,92545.0,1013292.0,1779374.0,2019-02-03,282200,78400,10396,8.1,12.2,8.2,13.4,13.29,宜蘭,19.4,28.2,0.0
30.5,34.0,1488006.0,27740175.0,92545.0,1013292.0,1779374.0,2019-02-04,282200,78400,10396,8.1,12.2,8.2,13.4,13.29,宜蘭,19.4,28.2,1.6
30.5,34.0,1488006.0,27740175.0,92545.0,1013292.0,1779374.0,2019-02-05,282200,78400,10396,8.1,12.2,8.2,13.4,13.29,宜蘭,19.4,28.2,0.0
30.5,34.0,1488006.0,27740175.0,92545.0,1013292.0,1779374.0,2019-02-06,282200,78400,10396,8.1,12.2,8.18,13.35,13.29,宜蘭,19.4,28.2,0.0
30.5,34.0,1488006.0,27740175.0,92545.0,1013292.0,1779374.0,2019-02-07,282200,78400,10396,8.0,12.2,8.18,13.35,13.29,宜蘭,19.4,28.2,6.0
30.5,34.0,1488006.0,27740175.0,92545.0,1013292.0,1779374.0,2019-02-08,238900,47800,10396,8.0,12.2,8.18,13.35,13.29,宜蘭,19.4,28.2,T
30.5,34.0,1488006.0,27740175.0,92545.0,1013292.0,1779374.0,2019-02-09,238900,47800,10396,8.0,12.2,8.18,13.35,13.29,宜蘭,19.4,28.2,T
30.5,34.0,1488006.0,27740175.0,92545.0,1013292.0,1779374.0,2019-02-10,238900,47800,10396,8.0,12.2,8.18,13.35,13.29,宜蘭,19.4,28.2,0.0
36.5,34.0,1488006.0,27740175.0,92545.0,1013292.0,1779374.0,2019-02-11,238900,47800,10396,8.0,12.2,8.18,13.35,13.29,宜蘭,19.4,28.2,0.4
36.5,34.0,1488006.0,27740175.0,92545.0,1013292.0,1779374.0,2019-02-12,238900,47800,10396,8.45,12.2,8.15,13.35,13.27,宜蘭,19.4,28.2,3.0
36.5,34.0,1488006.0,27740175.0,92545.0,1013292.0,1779374.0,2019-02-13,238900,47800,10396,8.75,12.2,8.2,13.35,13.29,宜蘭,19.4,28.2,T
36.5,34.0,1488006.0,27740175.0,92545.0,1013292.0,1779374.0,2019-02-14,238900,47800,10396,8.88,12.2,8.4,13.35,13.29,宜蘭,19.4,28.2,0.0
36.5,34.0,1488006.0,27740175.0,92545.0,1013292.0,1779374.0,2019-02-15,378200,74200,10396,8.9,12.2,8.5,13.35,13.25,宜蘭,19.4,28.2,0.0
36.5,34.0,1488006.0,27740175.0,92545.0,1013292.0,1779374.0,2019-02-16,378200,74200,10396,8.9,12.2,8.5,13.35,13.25,宜蘭,19.4,28.2,T
36.5,34.0,1488006.0,27740175.0,92545.0,1013292.0,1779374.0,2019-02-17,378200,74200,10396,8.9,12.2,8.52,13.35,13.27,宜蘭,19.4,28.2,4.8
36.5,34.0,1488006.0,27740175.0,92545.0,1013292.0,1779374.0,2019-02-18,378200,74200,10396,8.9,12.2,8.52,13.35,13.27,宜蘭,19.4,28.2,7.3
36.5,34.0,1488006.0,27740175.0,92545.0,1013292.0,1779374.0,2019-02-19,378200,74200,10396,8.9,12.2,8.6,13.35,13.27,宜蘭,19.4,28.2,0.0
36.5,34.0,1488006.0,27740175.0,92545.0,1013292.0,1779374.0,2019-02-20,378200,74200,10396,8.9,12.2,8.63,13.35,13.25,宜蘭,19.4,28.2,3.1
