egg_TaijinPrice,Duckegg_TNN_TaijinPrice,入中雞雛數,產蛋隻數,均  日     產蛋箱數,淘汰隻數,目  前         換羽隻數,Date,WhiteChickQuantity,RedChickQuantity,ImportChickenQuantity, 玉米粒, 黃豆粉 ,玉米粉 ,脫殼豆粉,高蛋白豆粉,StationName,AirTemperatureMean,AirTemperatureMax,Precipitation
27.5,34.0,1358328.0,30532400.0,112185.0,1403613.0,2684624.0,2020-01-01,394400,84500,20385.0,6.9,12.6,7.28,13.7,13.65,彭佳嶼,17.0,24.4,0.0
27.5,34.0,1358328.0,30532400.0,112185.0,1403613.0,2684624.0,2020-01-02,394400,84500,20385.0,6.9,12.6,7.28,13.7,13.65,彭佳嶼,17.0,24.4,0.0
27.5,34.0,1358328.0,30532400.0,112185.0,1403613.0,2684624.0,2020-01-03,394400,84500,20385.0,6.9,12.6,7.28,13.7,13.65,彭佳嶼,17.0,24.4,0.0
27.5,34.0,1358328.0,30532400.0,112185.0,1403613.0,2684624.0,2020-01-04,394400,84500,20385.0,6.9,12.6,7.28,13.7,13.65,彭佳嶼,17.0,24.4,1.8
27.5,34.0,1358328.0,30532400.0,112185.0,1403613.0,2684624.0,2020-01-05,394400,84500,20385.0,6.9,12.6,7.28,13.7,13.6,彭佳嶼,17.0,24.4,11.3
27.5,34.0,1358328.0,30532400.0,112185.0,1403613.0,2684624.0,2020-01-06,394400,84500,20385.0,6.9,12.6,7.28,13.7,13.6,彭佳嶼,17.0,24.4,0.3
25.5,34.0,1358328.0,30532400.0,112185.0,1403613.0,2684624.0,2020-01-07,394400,84500,20385.0,6.9,12.6,7.28,13.7,13.6,彭佳嶼,17.0,24.4,0.0
25.5,34.0,1358328.0,30532400.0,112185.0,1403613.0,2684624.0,2020-01-08,346850,93390,20385.0,6.9,12.55,7.28,13.65,13.6,彭佳嶼,17.0,24.4,0.0
25.5,34.0,1358328.0,30532400.0,112185.0,1403613.0,2684624.0,2020-01-09,346850,93390,20385.0,6.9,12.55,7.28,13.65,13.6,彭佳嶼,17.0,24.4,0.0
25.5,34.0,1358328.0,30532400.0,112185.0,1403613.0,2684624.0,2020-01-10,346850,93390,20385.0,6.9,12.55,7.28,13.65,13.55,彭佳嶼,17.0,24.4,0.0
25.5,34.0,1358328.0,30532400.0,112185.0,1403613.0,2684624.0,2020-01-11,346850,93390,20385.0,6.9,12.55,7.28,13.65,13.55,彭佳嶼,17.0,24.4,0.0
25.5,34.0,1358328.0,30532400.0,112185.0,1403613.0,2684624.0,2020-01-12,346850,93390,20385.0,6.9,12.55,7.28,13.65,13.55,彭佳嶼,17.0,24.4,0.0
25.5,34.0,1358328.0,30532400.0,112185.0,1403613.0,2684624.0,2020-01-13,346850,93390,20385.0,6.9,12.5,7.28,13.6,13.55,彭佳嶼,17.0,24.4,2.7
25.5,32.0,1358328.0,30532400.0,112185.0,1403613.0,2684624.0,2020-01-14,346850,93390,20385.0,6.9,12.45,7.28,13.55,13.51,彭佳嶼,17.0,24.4,0.1
