egg_TaijinPrice,Duckegg_TNN_TaijinPrice,入中雞雛數,產蛋隻數,均  日     產蛋箱數,淘汰隻數,目  前         換羽隻數,Date,WhiteChickQuantity,RedChickQuantity,ImportChickenQuantity, 玉米粒, 黃豆粉 ,玉米粉 ,脫殼豆粉,高蛋白豆粉,StationName,AirTemperatureMean,AirTemperatureMax,Precipitation
24.5,34.0,1160830.0,31170982.0,114908.0,866824.0,633700.0,2018-01-01,245600,84800,0,6.1,12.15,6.65,13.3,13.21,東吉島,18.6,26.0,0.0
24.5,34.0,1160830.0,31170982.0,114908.0,866824.0,633700.0,2018-01-02,245600,84800,0,6.1,12.15,6.65,13.3,13.21,東吉島,18.6,26.0,0.0
26.5,34.0,1160830.0,31170982.0,114908.0,866824.0,633700.0,2018-01-03,245600,84800,0,6.1,12.15,6.65,13.3,13.21,東吉島,18.6,26.0,0.0
26.5,34.0,1160830.0,31170982.0,114908.0,866824.0,633700.0,2018-01-04,245600,84800,0,6.1,12.15,6.63,13.3,13.21,東吉島,18.6,26.0,7.5
26.5,34.0,1160830.0,31170982.0,114908.0,866824.0,633700.0,2018-01-05,245600,84800,0,6.1,12.15,6.63,13.3,13.2,東吉島,18.6,26.0,5.3
26.5,34.0,1160830.0,31170982.0,114908.0,866824.0,633700.0,2018-01-06,245600,84800,0,6.1,12.15,6.63,13.3,13.2,東吉島,18.6,26.0,15.4
26.5,34.0,1160830.0,31170982.0,114908.0,866824.0,633700.0,2018-01-07,245600,84800,0,6.1,12.15,6.63,13.3,13.2,東吉島,18.6,26.0,7.0
26.5,34.0,1160830.0,31170982.0,114908.0,866824.0,633700.0,2018-01-08,276080,59700,0,6.1,12.15,6.63,13.3,13.18,東吉島,18.6,26.0,5.5
26.5,34.0,1160830.0,31170982.0,114908.0,866824.0,633700.0,2018-01-09,276080,59700,0,6.1,12.15,6.6,13.3,13.16,東吉島,18.6,26.0,21.5
26.5,34.0,1160830.0,31170982.0,114908.0,866824.0,633700.0,2018-01-10,276080,59700,0,6.1,12.15,6.6,13.25,13.14,東吉島,18.6,26.0,0.5
26.5,34.0,1160830.0,31170982.0,114908.0,866824.0,633700.0,2018-01-11,276080,59700,0,6.05,12.1,6.6,13.2,13.11,東吉島,18.6,26.0,0.0
26.5,34.0,1160830.0,31170982.0,114908.0,866824.0,633700.0,2018-01-12,276080,59700,0,6.05,12.1,6.6,13.2,13.11,東吉島,18.6,26.0,0.0
26.5,34.0,1160830.0,31170982.0,114908.0,866824.0,633700.0,2018-01-13,276080,59700,0,6.05,12.1,6.6,13.2,13.11,東吉島,18.6,26.0,0.0
26.5,34.0,1160830.0,31170982.0,114908.0,866824.0,633700.0,2018-01-14,276080,59700,0,6.05,12.1,6.6,13.25,13.15,東吉島,18.6,26.0,0.0
26.5,34.0,1160830.0,31170982.0,114908.0,866824.0,633700.0,2018-01-15,306900,70077,0,6.05,12.15,6.6,13.25,13.15,東吉島,18.6,26.0,0.0
26.5,34.0,1160830.0,31170982.0,114908.0,866824.0,633700.0,2018-01-16,306900,70077,0,6.05,12.15,6.6,13.25,13.15,東吉島,18.6,26.0,0.0
28.5,34.0,1160830.0,31170982.0,114908.0,866824.0,633700.0,2018-01-17,306900,70077,0,6.05,12.15,6.6,13.25,13.15,東吉島,18.6,26.0,0.0
