egg_TaijinPrice,Duckegg_TNN_TaijinPrice,入中雞雛數,產蛋隻數,均  日     產蛋箱數,淘汰隻數,目  前         換羽隻數,Date,WhiteChickQuantity,RedChickQuantity,ImportChickenQuantity, 玉米粒, 黃豆粉 ,玉米粉 ,脫殼豆粉,高蛋白豆粉,StationName,AirTemperatureMean,AirTemperatureMax,Precipitation
24.5,34.0,1160830.0,31170982.0,114908.0,866824.0,633700.0,2018-01-01,245600,84800,0,6.1,12.15,6.65,13.3,13.21,竹子湖,12.3,21.5,1.2
24.5,34.0,1160830.0,31170982.0,114908.0,866824.0,633700.0,2018-01-02,245600,84800,0,6.1,12.15,6.65,13.3,13.21,竹子湖,12.3,21.5,0.0
26.5,34.0,1160830.0,31170982.0,114908.0,866824.0,633700.0,2018-01-03,245600,84800,0,6.1,12.15,6.65,13.3,13.21,竹子湖,12.3,21.5,0.0
26.5,34.0,1160830.0,31170982.0,114908.0,866824.0,633700.0,2018-01-04,245600,84800,0,6.1,12.15,6.63,13.3,13.21,竹子湖,12.3,21.5,0.0
26.5,34.0,1160830.0,31170982.0,114908.0,866824.0,633700.0,2018-01-05,245600,84800,0,6.1,12.15,6.63,13.3,13.2,竹子湖,12.3,21.5,6.7
26.5,34.0,1160830.0,31170982.0,114908.0,866824.0,633700.0,2018-01-06,245600,84800,0,6.1,12.15,6.63,13.3,13.2,竹子湖,12.3,21.5,51.0
26.5,34.0,1160830.0,31170982.0,114908.0,866824.0,633700.0,2018-01-07,245600,84800,0,6.1,12.15,6.63,13.3,13.2,竹子湖,12.3,21.5,89.3
26.5,34.0,1160830.0,31170982.0,114908.0,866824.0,633700.0,2018-01-08,276080,59700,0,6.1,12.15,6.63,13.3,13.18,竹子湖,12.3,21.5,103.0
26.5,34.0,1160830.0,31170982.0,114908.0,866824.0,633700.0,2018-01-09,276080,59700,0,6.1,12.15,6.6,13.3,13.16,竹子湖,12.3,21.5,15.7
26.5,34.0,1160830.0,31170982.0,114908.0,866824.0,633700.0,2018-01-10,276080,59700,0,6.1,12.15,6.6,13.25,13.14,竹子湖,12.3,21.5,0.0
