egg_TaijinPrice,Duckegg_TNN_TaijinPrice,入中雞雛數,產蛋隻數,均  日     產蛋箱數,淘汰隻數,目  前         換羽隻數,Date,WhiteChickQuantity,RedChickQuantity,ImportChickenQuantity, 玉米粒, 黃豆粉 ,玉米粉 ,脫殼豆粉,高蛋白豆粉,StationName,AirTemperatureMean,AirTemperatureMax,Precipitation
33.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-01,329600,35800,35701,7.4,12.3,7.93,13.5,13.44,花蓮,20.0,26.8,0.0
33.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-02,329600,35800,35701,7.4,12.3,7.93,13.5,13.44,花蓮,20.0,26.8,10.5
33.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-03,329600,35800,35701,7.35,12.3,7.9,13.5,13.45,花蓮,20.0,26.8,4.5
33.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-04,329600,35800,35701,7.35,12.3,7.87,13.5,13.45,花蓮,20.0,26.8,0.5
33.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-05,329600,35800,35701,7.35,12.3,7.87,13.5,13.45,花蓮,20.0,26.8,3.5
33.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-06,329600,35800,35701,7.35,12.4,7.87,13.5,13.45,花蓮,20.0,26.8,2.5
33.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-07,329600,35800,35701,7.35,12.4,7.87,13.5,13.45,花蓮,20.0,26.8,0.0
33.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-08,295700,36800,35701,7.4,12.4,7.87,13.5,13.46,花蓮,20.0,26.8,0.5
36.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-09,295700,36800,35701,7.55,12.4,7.9,13.5,13.44,花蓮,20.0,26.8,T
36.5,34.0,1751620.0,28287430.0,94427.0,1549147.0,1380962.0,2019-01-10,295700,36800,35701,7.9,12.4,7.97,13.5,13.45,花蓮,20.0,26.8,0.0
