egg_TaijinPrice,Duckegg_TNN_TaijinPrice,入中雞雛數,產蛋隻數,均  日     產蛋箱數,淘汰隻數,目  前         換羽隻數,Date,WhiteChickQuantity,RedChickQuantity,ImportChickenQuantity, 玉米粒, 黃豆粉 ,玉米粉 ,脫殼豆粉,高蛋白豆粉,StationName,AirTemperatureMean,AirTemperatureMax,Precipitation
34.5,38.0,1568627.0,32028103.0,114774.0,1583271.0,1789780.0,2022-01-01,362071.0,60720.0,,15.45,16.0,15.15,20.9,17.9,高雄,19.1,27.0,0.0
34.5,38.0,1568627.0,32028103.0,114774.0,1583271.0,1789780.0,2022-01-02,362071.0,60720.0,,15.45,16.7,15.35,20.9,17.9,高雄,19.1,27.0,0.0
34.5,38.0,1568627.0,32028103.0,114774.0,1583271.0,1789780.0,2022-01-03,362071.0,60720.0,,15.45,16.0,15.15,20.9,17.9,高雄,20.1,27.7,0.0
34.5,38.0,1568627.0,32028103.0,114774.0,1583271.0,1789780.0,2022-01-04,362071.0,60720.0,,15.45,16.7,15.35,20.9,17.9,高雄,19.1,27.0,0.0
34.5,38.0,1568627.0,32028103.0,114774.0,1583271.0,1789780.0,2022-01-05,362071.0,60720.0,,15.4,17.1,15.5,20.9,18.15,高雄,19.1,27.0,1.0
34.5,38.0,1568627.0,32028103.0,114774.0,1583271.0,1789780.0,2022-01-06,362071.0,60720.0,,15.4,17.1,15.6,21.2,18.25,高雄,19.1,27.0,0.0
34.5,38.0,1568627.0,32028103.0,114774.0,1583271.0,1789780.0,2022-01-07,362071.0,60720.0,,15.35,17.15,15.7,21.2,18.35,高雄,20.1,27.7,T
34.5,38.0,1568627.0,32028103.0,114774.0,1583271.0,1789780.0,2022-01-08,366430.0,85055.0,,15.35,17.15,15.7,21.2,18.35,高雄,19.1,27.0,T
34.5,38.0,1568627.0,32028103.0,114774.0,1583271.0,1789780.0,2022-01-09,366430.0,85055.0,,15.35,17.3,15.8,21.3,18.4,高雄,19.1,27.0,0.0
34.5,38.0,1568627.0,32028103.0,114774.0,1583271.0,1789780.0,2022-01-10,366430.0,85055.0,,15.35,17.3,15.8,21.3,18.4,高雄,19.1,27.0,0.0
34.5,38.0,1568627.0,32028103.0,114774.0,1583271.0,1789780.0,2022-01-11,366430.0,85055.0,,15.2,17.3,15.8,21.3,18.4,高雄,20.1,27.7,0.0
34.5,38.0,1568627.0,32028103.0,114774.0,1583271.0,1789780.0,2022-01-12,366430.0,85055.0,,15.1,17.3,15.8,21.3,18.4,高雄,19.1,27.0,0.0
34.5,38.0,1568627.0,32028103.0,114774.0,1583271.0,1789780.0,2022-01-13,366430.0,85055.0,,15.0,17.3,15.8,21.3,18.4,高雄,19.1,27.0,0.0
34.5,38.0,1568627.0,32028103.0,114774.0,1583271.0,1789780.0,2022-01-14,366430.0,85055.0,,14.95,17.3,15.8,21.3,18.4,高雄,19.1,27.0,0.0
