Date,雞蛋價格,鴨蛋價格,平均氣溫,最高氣溫,降雨量,入中雞雛數,可產蛋雞隻數_5,日均產蛋箱數_1,日均產蛋箱數_6,淘汰雞隻數量_2,目前換羽隻數,白雞數量,紅雞數量_1,進口雞數量_2,進口雞數量_4,玉米粒價格_6,黃豆粉價格_2,玉米粉價格_6,脫殼豆粉價格_6,高蛋白豆粉價格_2
2018-07-01,27.5,32.0,28.6,35.4,13.0,1548978.0,29964849.0,107109.0,114908.0,944287.0,687628.0,372700,32600.0,0.0,15200.0,6.1,13.9,6.65,13.3,14.76
2018-07-02,27.5,32.0,28.6,35.4,67.5,1548978.0,29964849.0,107109.0,114908.0,944287.0,687628.0,372700,32600.0,0.0,15200.0,6.1,13.9,6.65,13.3,14.73
2018-07-03,27.5,32.0,28.6,35.4,46.0,1548978.0,29964849.0,107109.0,114908.0,944287.0,687628.0,372700,32600.0,0.0,15200.0,6.1,13.9,6.63,13.3,14.78
2018-07-04,27.5,34.0,28.6,35.4,31.0,1548978.0,29964849.0,107109.0,114908.0,944287.0,687628.0,372700,32600.0,0.0,15200.0,6.1,13.9,6.63,13.3,14.78
2018-07-05,27.5,34.0,28.6,35.4,13.0,1548978.0,29964849.0,107109.0,114908.0,944287.0,687628.0,372700,32600.0,0.0,15200.0,6.1,13.7,6.63,13.3,14.7
2018-07-06,27.5,34.0,28.6,35.4,0.0,1548978.0,29964849.0,107109.0,114908.0,944287.0,687628.0,372700,32600.0,0.0,15200.0,6.1,13.7,6.63,13.3,14.7
2018-07-07,27.5,34.0,28.6,35.4,40.0,1548978.0,29964849.0,107109.0,114908.0,944287.0,687628.0,372700,32600.0,0.0,15200.0,6.1,13.7,6.63,13.3,14.68
2018-07-08,27.5,34.0,28.6,35.4,0.0,1548978.0,29964849.0,107109.0,114908.0,944287.0,687628.0,649320,26260.0,0.0,15200.0,6.1,13.7,6.6,13.3,14.72
2018-07-09,27.5,34.0,28.6,35.4,0.0,1548978.0,29964849.0,107109.0,114908.0,944287.0,687628.0,649320,26260.0,0.0,15200.0,6.1,13.7,6.6,13.25,14.7
2018-07-10,27.5,34.0,28.6,35.4,8.0,1548978.0,29964849.0,107109.0,114908.0,944287.0,687628.0,649320,26260.0,0.0,15200.0,6.05,13.7,6.6,13.2,14.7
2018-07-11,27.5,34.0,28.6,35.4,33.5,1548978.0,29964849.0,107109.0,114908.0,944287.0,687628.0,649320,26260.0,0.0,15200.0,6.05,13.7,6.6,13.2,14.7
2018-07-12,27.5,34.0,28.6,35.4,0.0,1548978.0,29964849.0,107109.0,114908.0,944287.0,687628.0,649320,26260.0,0.0,15200.0,6.05,13.7,6.6,13.2,14.68
2018-07-13,27.5,34.0,28.6,35.4,0.0,1548978.0,29964849.0,107109.0,114908.0,944287.0,687628.0,649320,26260.0,0.0,15200.0,6.05,13.7,6.6,13.25,14.68
2018-07-14,27.5,34.0,28.6,35.4,0.5,1548978.0,29964849.0,107109.0,114908.0,944287.0,687628.0,649320,26260.0,0.0,15200.0,6.05,13.7,6.6,13.25,14.7
2018-07-15,27.5,34.0,28.6,35.4,0.0,1548978.0,29964849.0,107109.0,114908.0,944287.0,687628.0,365000,27500.0,0.0,15200.0,6.05,13.7,6.6,13.25,14.68
2018-07-16,27.5,34.0,28.6,35.4,0.0,1548978.0,29964849.0,107109.0,114908.0,944287.0,687628.0,365000,27500.0,0.0,15200.0,6.05,13.7,6.6,13.25,14.63
2018-07-17,27.5,34.0,28.6,35.4,0.0,1548978.0,29964849.0,107109.0,114908.0,944287.0,687628.0,365000,27500.0,0.0,15200.0,6.05,13.7,6.6,13.25,14.63
2018-07-18,29.5,34.0,28.6,35.4,0.0,1548978.0,29964849.0,107109.0,114908.0,944287.0,687628.0,365000,27500.0,0.0,15200.0,6.07,13.7,6.6,13.25,14.63
2018-07-19,29.5,36.0,28.6,35.4,0.0,1548978.0,29964849.0,107109.0,114908.0,944287.0,687628.0,365000,27500.0,0.0,15200.0,6.07,13.7,6.6,13.25,14.72
