StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
嘉義,17.4,27.8,2018-01-01
嘉義,17.4,27.8,2018-01-02
嘉義,17.4,27.8,2018-01-03
嘉義,17.4,27.8,2018-01-04
嘉義,17.4,27.8,2018-01-05
嘉義,17.4,27.8,2018-01-06
嘉義,17.4,27.8,2018-01-07
嘉義,17.4,27.8,2018-01-08
嘉義,17.4,27.8,2018-01-09
嘉義,17.4,27.8,2018-01-10
嘉義,17.4,27.8,2018-01-11
嘉義,17.4,27.8,2018-01-12
嘉義,17.4,27.8,2018-01-13
嘉義,17.4,27.8,2018-01-14
嘉義,17.4,27.8,2018-01-15
嘉義,17.4,27.8,2018-01-16
嘉義,17.4,27.8,2018-01-17
嘉義,17.4,27.8,2018-01-18
嘉義,17.4,27.8,2018-01-19
嘉義,17.4,27.8,2018-01-20
嘉義,17.4,27.8,2018-01-21
嘉義,17.4,27.8,2018-01-22
嘉義,17.4,27.8,2018-01-23
嘉義,17.4,27.8,2018-01-24
嘉義,17.4,27.8,2018-01-25
嘉義,17.4,27.8,2018-01-26
嘉義,17.4,27.8,2018-01-27
嘉義,17.4,27.8,2018-01-28
嘉義,17.4,27.8,2018-01-29
嘉義,17.4,27.8,2018-01-30
嘉義,17.4,27.8,2018-01-31
嘉義,16.8,31.8,2018-02-01
嘉義,16.8,31.8,2018-02-02
嘉義,16.8,31.8,2018-02-03
嘉義,16.8,31.8,2018-02-04
嘉義,16.8,31.8,2018-02-05
嘉義,16.8,31.8,2018-02-06
嘉義,16.8,31.8,2018-02-07
嘉義,16.8,31.8,2018-02-08
嘉義,16.8,31.8,2018-02-09
嘉義,16.8,31.8,2018-02-10
嘉義,16.8,31.8,2018-02-11
嘉義,16.8,31.8,2018-02-12
嘉義,16.8,31.8,2018-02-13
嘉義,16.8,31.8,2018-02-14
嘉義,16.8,31.8,2018-02-15
嘉義,16.8,31.8,2018-02-16
嘉義,16.8,31.8,2018-02-17
嘉義,16.8,31.8,2018-02-18
嘉義,16.8,31.8,2018-02-19
嘉義,16.8,31.8,2018-02-20
嘉義,16.8,31.8,2018-02-21
嘉義,16.8,31.8,2018-02-22
嘉義,16.8,31.8,2018-02-23
嘉義,16.8,31.8,2018-02-24
嘉義,16.8,31.8,2018-02-25
嘉義,16.8,31.8,2018-02-26
嘉義,16.8,31.8,2018-02-27
嘉義,16.8,31.8,2018-02-28
嘉義,21.0,32.4,2018-03-01
嘉義,21.0,32.4,2018-03-02
嘉義,21.0,32.4,2018-03-03
嘉義,21.0,32.4,2018-03-04
嘉義,21.0,32.4,2018-03-05
嘉義,21.0,32.4,2018-03-06
嘉義,21.0,32.4,2018-03-07
嘉義,21.0,32.4,2018-03-08
嘉義,21.0,32.4,2018-03-09
嘉義,21.0,32.4,2018-03-10
嘉義,21.0,32.4,2018-03-11
嘉義,21.0,32.4,2018-03-12
嘉義,21.0,32.4,2018-03-13
嘉義,21.0,32.4,2018-03-14
嘉義,21.0,32.4,2018-03-15
嘉義,21.0,32.4,2018-03-16
嘉義,21.0,32.4,2018-03-17
嘉義,21.0,32.4,2018-03-18
嘉義,21.0,32.4,2018-03-19
嘉義,21.0,32.4,2018-03-20
嘉義,21.0,32.4,2018-03-21
嘉義,21.0,32.4,2018-03-22
嘉義,21.0,32.4,2018-03-23
嘉義,21.0,32.4,2018-03-24
嘉義,21.0,32.4,2018-03-25
嘉義,21.0,32.4,2018-03-26
嘉義,21.0,32.4,2018-03-27
嘉義,21.0,32.4,2018-03-28
嘉義,21.0,32.4,2018-03-29
嘉義,21.0,32.4,2018-03-30
嘉義,21.0,32.4,2018-03-31
嘉義,24.6,34.2,2018-04-01
嘉義,24.6,34.2,2018-04-02
