StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
基隆,16.3,24.3,2018-01-01
基隆,16.3,24.3,2018-01-02
基隆,16.3,24.3,2018-01-03
基隆,16.3,24.3,2018-01-04
基隆,16.3,24.3,2018-01-05
基隆,16.3,24.3,2018-01-06
基隆,16.3,24.3,2018-01-07
基隆,16.3,24.3,2018-01-08
基隆,16.3,24.3,2018-01-09
基隆,16.3,24.3,2018-01-10
基隆,16.3,24.3,2018-01-11
基隆,16.3,24.3,2018-01-12
基隆,16.3,24.3,2018-01-13
基隆,16.3,24.3,2018-01-14
基隆,16.3,24.3,2018-01-15
基隆,16.3,24.3,2018-01-16
基隆,16.3,24.3,2018-01-17
基隆,16.3,24.3,2018-01-18
基隆,16.3,24.3,2018-01-19
基隆,16.3,24.3,2018-01-20
基隆,16.3,24.3,2018-01-21
基隆,16.3,24.3,2018-01-22
基隆,16.3,24.3,2018-01-23
基隆,16.3,24.3,2018-01-24
基隆,16.3,24.3,2018-01-25
基隆,16.3,24.3,2018-01-26
基隆,16.3,24.3,2018-01-27
基隆,16.3,24.3,2018-01-28
基隆,16.3,24.3,2018-01-29
基隆,16.3,24.3,2018-01-30
基隆,16.3,24.3,2018-01-31
基隆,15.0,27.6,2018-02-01
基隆,15.0,27.6,2018-02-02
基隆,15.0,27.6,2018-02-03
基隆,15.0,27.6,2018-02-04
基隆,15.0,27.6,2018-02-05
基隆,15.0,27.6,2018-02-06
基隆,15.0,27.6,2018-02-07
基隆,15.0,27.6,2018-02-08
基隆,15.0,27.6,2018-02-09
基隆,15.0,27.6,2018-02-10
基隆,15.0,27.6,2018-02-11
基隆,15.0,27.6,2018-02-12
基隆,15.0,27.6,2018-02-13
基隆,15.0,27.6,2018-02-14
基隆,15.0,27.6,2018-02-15
基隆,15.0,27.6,2018-02-16
基隆,15.0,27.6,2018-02-17
基隆,15.0,27.6,2018-02-18
基隆,15.0,27.6,2018-02-19
基隆,15.0,27.6,2018-02-20
基隆,15.0,27.6,2018-02-21
基隆,15.0,27.6,2018-02-22
基隆,15.0,27.6,2018-02-23
基隆,15.0,27.6,2018-02-24
基隆,15.0,27.6,2018-02-25
基隆,15.0,27.6,2018-02-26
基隆,15.0,27.6,2018-02-27
基隆,15.0,27.6,2018-02-28
基隆,19.4,29.1,2018-03-01
基隆,19.4,29.1,2018-03-02
基隆,19.4,29.1,2018-03-03
基隆,19.4,29.1,2018-03-04
基隆,19.4,29.1,2018-03-05
基隆,19.4,29.1,2018-03-06
基隆,19.4,29.1,2018-03-07
基隆,19.4,29.1,2018-03-08
基隆,19.4,29.1,2018-03-09
基隆,19.4,29.1,2018-03-10
基隆,19.4,29.1,2018-03-11
