StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
大武,21.9,31.5,2019-01-01
大武,21.9,31.5,2019-01-02
大武,21.9,31.5,2019-01-03
大武,21.9,31.5,2019-01-04
大武,21.9,31.5,2019-01-05
大武,21.9,31.5,2019-01-06
大武,21.9,31.5,2019-01-07
大武,21.9,31.5,2019-01-08
大武,21.9,31.5,2019-01-09
大武,21.9,31.5,2019-01-10
大武,21.9,31.5,2019-01-11
大武,21.9,31.5,2019-01-12
大武,21.9,31.5,2019-01-13
大武,21.9,31.5,2019-01-14
大武,21.9,31.5,2019-01-15
大武,21.9,31.5,2019-01-16
大武,21.9,31.5,2019-01-17
大武,21.9,31.5,2019-01-18
大武,21.9,31.5,2019-01-19
大武,21.9,31.5,2019-01-20
大武,21.9,31.5,2019-01-21
大武,21.9,31.5,2019-01-22
大武,21.9,31.5,2019-01-23
大武,21.9,31.5,2019-01-24
大武,21.9,31.5,2019-01-25
大武,21.9,31.5,2019-01-26
大武,21.9,31.5,2019-01-27
大武,21.9,31.5,2019-01-28
大武,21.9,31.5,2019-01-29
大武,21.9,31.5,2019-01-30
大武,21.9,31.5,2019-01-31
大武,22.9,33.9,2019-02-01
大武,22.9,33.9,2019-02-02
大武,22.9,33.9,2019-02-03
大武,22.9,33.9,2019-02-04
大武,22.9,33.9,2019-02-05
大武,22.9,33.9,2019-02-06
大武,22.9,33.9,2019-02-07
大武,22.9,33.9,2019-02-08
大武,22.9,33.9,2019-02-09
大武,22.9,33.9,2019-02-10
大武,22.9,33.9,2019-02-11
大武,22.9,33.9,2019-02-12
大武,22.9,33.9,2019-02-13
大武,22.9,33.9,2019-02-14
大武,22.9,33.9,2019-02-15
大武,22.9,33.9,2019-02-16
大武,22.9,33.9,2019-02-17
大武,22.9,33.9,2019-02-18
大武,22.9,33.9,2019-02-19
大武,22.9,33.9,2019-02-20
大武,22.9,33.9,2019-02-21
大武,22.9,33.9,2019-02-22
大武,22.9,33.9,2019-02-23
大武,22.9,33.9,2019-02-24
大武,22.9,33.9,2019-02-25
大武,22.9,33.9,2019-02-26
大武,22.9,33.9,2019-02-27
大武,22.9,33.9,2019-02-28
大武,23.2,33.8,2019-03-01
大武,23.2,33.8,2019-03-02
大武,23.2,33.8,2019-03-03
大武,23.2,33.8,2019-03-04
大武,23.2,33.8,2019-03-05
大武,23.2,33.8,2019-03-06
大武,23.2,33.8,2019-03-07
大武,23.2,33.8,2019-03-08
大武,23.2,33.8,2019-03-09
大武,23.2,33.8,2019-03-10
大武,23.2,33.8,2019-03-11
大武,23.2,33.8,2019-03-12
大武,23.2,33.8,2019-03-13
大武,23.2,33.8,2019-03-14
大武,23.2,33.8,2019-03-15
大武,23.2,33.8,2019-03-16
大武,23.2,33.8,2019-03-17
大武,23.2,33.8,2019-03-18
大武,23.2,33.8,2019-03-19
大武,23.2,33.8,2019-03-20
大武,23.2,33.8,2019-03-21
大武,23.2,33.8,2019-03-22
大武,23.2,33.8,2019-03-23
大武,23.2,33.8,2019-03-24
大武,23.2,33.8,2019-03-25
大武,23.2,33.8,2019-03-26
大武,23.2,33.8,2019-03-27
大武,23.2,33.8,2019-03-28
大武,23.2,33.8,2019-03-29
大武,23.2,33.8,2019-03-30
大武,23.2,33.8,2019-03-31
大武,26.0,38.9,2019-04-01
大武,26.0,38.9,2019-04-02
大武,26.0,38.9,2019-04-03
大武,26.0,38.9,2019-04-04
大武,26.0,38.9,2019-04-05
大武,26.0,38.9,2019-04-06
大武,26.0,38.9,2019-04-07
大武,26.0,38.9,2019-04-08
大武,26.0,38.9,2019-04-09
大武,26.0,38.9,2019-04-10
大武,26.0,38.9,2019-04-11
大武,26.0,38.9,2019-04-12
大武,26.0,38.9,2019-04-13
大武,26.0,38.9,2019-04-14
大武,26.0,38.9,2019-04-15
大武,26.0,38.9,2019-04-16
大武,26.0,38.9,2019-04-17
大武,26.0,38.9,2019-04-18
大武,26.0,38.9,2019-04-19
大武,26.0,38.9,2019-04-20
大武,26.0,38.9,2019-04-21
大武,26.0,38.9,2019-04-22
大武,26.0,38.9,2019-04-23
大武,26.0,38.9,2019-04-24
大武,26.0,38.9,2019-04-25
大武,26.0,38.9,2019-04-26
大武,26.0,38.9,2019-04-27
大武,26.0,38.9,2019-04-28
大武,26.0,38.9,2019-04-29
大武,26.0,38.9,2019-04-30
大武,25.6,35.0,2019-05-01
大武,25.6,35.0,2019-05-02
大武,25.6,35.0,2019-05-03
大武,25.6,35.0,2019-05-04
大武,25.6,35.0,2019-05-05
大武,25.6,35.0,2019-05-06
大武,25.6,35.0,2019-05-07
大武,25.6,35.0,2019-05-08
大武,25.6,35.0,2019-05-09
大武,25.6,35.0,2019-05-10
大武,25.6,35.0,2019-05-11
大武,25.6,35.0,2019-05-12
大武,25.6,35.0,2019-05-13
大武,25.6,35.0,2019-05-14
大武,25.6,35.0,2019-05-15
大武,25.6,35.0,2019-05-16
大武,25.6,35.0,2019-05-17
大武,25.6,35.0,2019-05-18
大武,25.6,35.0,2019-05-19
大武,25.6,35.0,2019-05-20
大武,25.6,35.0,2019-05-21
大武,25.6,35.0,2019-05-22
大武,25.6,35.0,2019-05-23
大武,25.6,35.0,2019-05-24
大武,25.6,35.0,2019-05-25
大武,25.6,35.0,2019-05-26
大武,25.6,35.0,2019-05-27
大武,25.6,35.0,2019-05-28
大武,25.6,35.0,2019-05-29
大武,25.6,35.0,2019-05-30
大武,25.6,35.0,2019-05-31
大武,29.0,37.3,2019-06-01
大武,29.0,37.3,2019-06-02
大武,29.0,37.3,2019-06-03
大武,29.0,37.3,2019-06-04
大武,29.0,37.3,2019-06-05
大武,29.0,37.3,2019-06-06
大武,29.0,37.3,2019-06-07
大武,29.0,37.3,2019-06-08
大武,29.0,37.3,2019-06-09
大武,29.0,37.3,2019-06-10
大武,29.0,37.3,2019-06-11
大武,29.0,37.3,2019-06-12
大武,29.0,37.3,2019-06-13
大武,29.0,37.3,2019-06-14
大武,29.0,37.3,2019-06-15
大武,29.0,37.3,2019-06-16
大武,29.0,37.3,2019-06-17
大武,29.0,37.3,2019-06-18
大武,29.0,37.3,2019-06-19
大武,29.0,37.3,2019-06-20
大武,29.0,37.3,2019-06-21
大武,29.0,37.3,2019-06-22
大武,29.0,37.3,2019-06-23
大武,29.0,37.3,2019-06-24
大武,29.0,37.3,2019-06-25
大武,29.0,37.3,2019-06-26
大武,29.0,37.3,2019-06-27
大武,29.0,37.3,2019-06-28
大武,29.0,37.3,2019-06-29
大武,29.0,37.3,2019-06-30
大武,29.2,35.9,2019-07-01
大武,29.2,35.9,2019-07-02
大武,29.2,35.9,2019-07-03
大武,29.2,35.9,2019-07-04
大武,29.2,35.9,2019-07-05
大武,29.2,35.9,2019-07-06
大武,29.2,35.9,2019-07-07
大武,29.2,35.9,2019-07-08
大武,29.2,35.9,2019-07-09
大武,29.2,35.9,2019-07-10
大武,29.2,35.9,2019-07-11
大武,29.2,35.9,2019-07-12
大武,29.2,35.9,2019-07-13
大武,29.2,35.9,2019-07-14
大武,29.2,35.9,2019-07-15
大武,29.2,35.9,2019-07-16
大武,29.2,35.9,2019-07-17
大武,29.2,35.9,2019-07-18
大武,29.2,35.9,2019-07-19
大武,29.2,35.9,2019-07-20
大武,29.2,35.9,2019-07-21
大武,29.2,35.9,2019-07-22
大武,29.2,35.9,2019-07-23
大武,29.2,35.9,2019-07-24
大武,29.2,35.9,2019-07-25
大武,29.2,35.9,2019-07-26
大武,29.2,35.9,2019-07-27
大武,29.2,35.9,2019-07-28
大武,29.2,35.9,2019-07-29
大武,29.2,35.9,2019-07-30
大武,29.2,35.9,2019-07-31
大武,28.2,35.9,2019-08-01
大武,28.2,35.9,2019-08-02
大武,28.2,35.9,2019-08-03
大武,28.2,35.9,2019-08-04
大武,28.2,35.9,2019-08-05
大武,28.2,35.9,2019-08-06
大武,28.2,35.9,2019-08-07
大武,28.2,35.9,2019-08-08
大武,28.2,35.9,2019-08-09
大武,28.2,35.9,2019-08-10
大武,28.2,35.9,2019-08-11
大武,28.2,35.9,2019-08-12
大武,28.2,35.9,2019-08-13
大武,28.2,35.9,2019-08-14
大武,28.2,35.9,2019-08-15
大武,28.2,35.9,2019-08-16
大武,28.2,35.9,2019-08-17
大武,28.2,35.9,2019-08-18
大武,28.2,35.9,2019-08-19
大武,28.2,35.9,2019-08-20
大武,28.2,35.9,2019-08-21
大武,28.2,35.9,2019-08-22
大武,28.2,35.9,2019-08-23
大武,28.2,35.9,2019-08-24
大武,28.2,35.9,2019-08-25
大武,28.2,35.9,2019-08-26
大武,28.2,35.9,2019-08-27
大武,28.2,35.9,2019-08-28
大武,28.2,35.9,2019-08-29
大武,28.2,35.9,2019-08-30
大武,28.2,35.9,2019-08-31
大武,27.4,34.6,2019-09-01
大武,27.4,34.6,2019-09-02
大武,27.4,34.6,2019-09-03
大武,27.4,34.6,2019-09-04
大武,27.4,34.6,2019-09-05
大武,27.4,34.6,2019-09-06
大武,27.4,34.6,2019-09-07
大武,27.4,34.6,2019-09-08
大武,27.4,34.6,2019-09-09
大武,27.4,34.6,2019-09-10
大武,27.4,34.6,2019-09-11
大武,27.4,34.6,2019-09-12
大武,27.4,34.6,2019-09-13
大武,27.4,34.6,2019-09-14
大武,27.4,34.6,2019-09-15
大武,27.4,34.6,2019-09-16
大武,27.4,34.6,2019-09-17
大武,27.4,34.6,2019-09-18
大武,27.4,34.6,2019-09-19
大武,27.4,34.6,2019-09-20
大武,27.4,34.6,2019-09-21
大武,27.4,34.6,2019-09-22
大武,27.4,34.6,2019-09-23
大武,27.4,34.6,2019-09-24
大武,27.4,34.6,2019-09-25
大武,27.4,34.6,2019-09-26
大武,27.4,34.6,2019-09-27
大武,27.4,34.6,2019-09-28
大武,27.4,34.6,2019-09-29
大武,27.4,34.6,2019-09-30
大武,25.9,34.0,2019-10-01
大武,25.9,34.0,2019-10-02
大武,25.9,34.0,2019-10-03
大武,25.9,34.0,2019-10-04
大武,25.9,34.0,2019-10-05
大武,25.9,34.0,2019-10-06
大武,25.9,34.0,2019-10-07
大武,25.9,34.0,2019-10-08
大武,25.9,34.0,2019-10-09
大武,25.9,34.0,2019-10-10
大武,25.9,34.0,2019-10-11
大武,25.9,34.0,2019-10-12
大武,25.9,34.0,2019-10-13
大武,25.9,34.0,2019-10-14
大武,25.9,34.0,2019-10-15
大武,25.9,34.0,2019-10-16
大武,25.9,34.0,2019-10-17
大武,25.9,34.0,2019-10-18
大武,25.9,34.0,2019-10-19
大武,25.9,34.0,2019-10-20
大武,25.9,34.0,2019-10-21
大武,25.9,34.0,2019-10-22
大武,25.9,34.0,2019-10-23
大武,25.9,34.0,2019-10-24
大武,25.9,34.0,2019-10-25
大武,25.9,34.0,2019-10-26
大武,25.9,34.0,2019-10-27
大武,25.9,34.0,2019-10-28
大武,25.9,34.0,2019-10-29
大武,25.9,34.0,2019-10-30
大武,25.9,34.0,2019-10-31
大武,24.5,29.8,2019-11-01
大武,24.5,29.8,2019-11-02
大武,24.5,29.8,2019-11-03
大武,24.5,29.8,2019-11-04
大武,24.5,29.8,2019-11-05
大武,24.5,29.8,2019-11-06
大武,24.5,29.8,2019-11-07
大武,24.5,29.8,2019-11-08
大武,24.5,29.8,2019-11-09
大武,24.5,29.8,2019-11-10
大武,24.5,29.8,2019-11-11
大武,24.5,29.8,2019-11-12
大武,24.5,29.8,2019-11-13
大武,24.5,29.8,2019-11-14
大武,24.5,29.8,2019-11-15
大武,24.5,29.8,2019-11-16
大武,24.5,29.8,2019-11-17
大武,24.5,29.8,2019-11-18
大武,24.5,29.8,2019-11-19
大武,24.5,29.8,2019-11-20
大武,24.5,29.8,2019-11-21
大武,24.5,29.8,2019-11-22
大武,24.5,29.8,2019-11-23
大武,24.5,29.8,2019-11-24
大武,24.5,29.8,2019-11-25
大武,24.5,29.8,2019-11-26
大武,24.5,29.8,2019-11-27
大武,24.5,29.8,2019-11-28
大武,24.5,29.8,2019-11-29
大武,24.5,29.8,2019-11-30
大武,21.8,28.5,2019-12-01
大武,21.8,28.5,2019-12-02
大武,21.8,28.5,2019-12-03
大武,21.8,28.5,2019-12-04
大武,21.8,28.5,2019-12-05
大武,21.8,28.5,2019-12-06
大武,21.8,28.5,2019-12-07
大武,21.8,28.5,2019-12-08
大武,21.8,28.5,2019-12-09
大武,21.8,28.5,2019-12-10
大武,21.8,28.5,2019-12-11
大武,21.8,28.5,2019-12-12
大武,21.8,28.5,2019-12-13
大武,21.8,28.5,2019-12-14
大武,21.8,28.5,2019-12-15
大武,21.8,28.5,2019-12-16
大武,21.8,28.5,2019-12-17
大武,21.8,28.5,2019-12-18
大武,21.8,28.5,2019-12-19
大武,21.8,28.5,2019-12-20
大武,21.8,28.5,2019-12-21
大武,21.8,28.5,2019-12-22
大武,21.8,28.5,2019-12-23
大武,21.8,28.5,2019-12-24
大武,21.8,28.5,2019-12-25
