StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
宜蘭,18.3,27.9,2020-01-01
宜蘭,18.3,27.9,2020-01-02
宜蘭,18.3,27.9,2020-01-03
宜蘭,18.3,27.9,2020-01-04
宜蘭,18.3,27.9,2020-01-05
宜蘭,18.3,27.9,2020-01-06
宜蘭,18.3,27.9,2020-01-07
宜蘭,18.3,27.9,2020-01-08
宜蘭,18.3,27.9,2020-01-09
宜蘭,18.3,27.9,2020-01-10
宜蘭,18.3,27.9,2020-01-11
宜蘭,18.3,27.9,2020-01-12
宜蘭,18.3,27.9,2020-01-13
宜蘭,18.3,27.9,2020-01-14
宜蘭,18.3,27.9,2020-01-15
宜蘭,18.3,27.9,2020-01-16
宜蘭,18.3,27.9,2020-01-17
宜蘭,18.3,27.9,2020-01-18
宜蘭,18.3,27.9,2020-01-19
宜蘭,18.3,27.9,2020-01-20
宜蘭,18.3,27.9,2020-01-21
宜蘭,18.3,27.9,2020-01-22
宜蘭,18.3,27.9,2020-01-23
宜蘭,18.3,27.9,2020-01-24
宜蘭,18.3,27.9,2020-01-25
宜蘭,18.3,27.9,2020-01-26
宜蘭,18.3,27.9,2020-01-27
宜蘭,18.3,27.9,2020-01-28
宜蘭,18.3,27.9,2020-01-29
宜蘭,18.3,27.9,2020-01-30
宜蘭,18.3,27.9,2020-01-31
宜蘭,18.4,29.3,2020-02-01
宜蘭,18.4,29.3,2020-02-02
宜蘭,18.4,29.3,2020-02-03
宜蘭,18.4,29.3,2020-02-04
宜蘭,18.4,29.3,2020-02-05
宜蘭,18.4,29.3,2020-02-06
宜蘭,18.4,29.3,2020-02-07
宜蘭,18.4,29.3,2020-02-08
宜蘭,18.4,29.3,2020-02-09
宜蘭,18.4,29.3,2020-02-10
宜蘭,18.4,29.3,2020-02-11
宜蘭,18.4,29.3,2020-02-12
宜蘭,18.4,29.3,2020-02-13
宜蘭,18.4,29.3,2020-02-14
宜蘭,18.4,29.3,2020-02-15
宜蘭,18.4,29.3,2020-02-16
宜蘭,18.4,29.3,2020-02-17
宜蘭,18.4,29.3,2020-02-18
宜蘭,18.4,29.3,2020-02-19
宜蘭,18.4,29.3,2020-02-20
宜蘭,18.4,29.3,2020-02-21
宜蘭,18.4,29.3,2020-02-22
宜蘭,18.4,29.3,2020-02-23
宜蘭,18.4,29.3,2020-02-24
宜蘭,18.4,29.3,2020-02-25
宜蘭,18.4,29.3,2020-02-26
宜蘭,18.4,29.3,2020-02-27
宜蘭,18.4,29.3,2020-02-28
宜蘭,18.4,29.3,2020-02-29
宜蘭,20.5,30.5,2020-03-01
宜蘭,20.5,30.5,2020-03-02
宜蘭,20.5,30.5,2020-03-03
宜蘭,20.5,30.5,2020-03-04
宜蘭,20.5,30.5,2020-03-05
宜蘭,20.5,30.5,2020-03-06
宜蘭,20.5,30.5,2020-03-07
宜蘭,20.5,30.5,2020-03-08
宜蘭,20.5,30.5,2020-03-09
宜蘭,20.5,30.5,2020-03-10
宜蘭,20.5,30.5,2020-03-11
宜蘭,20.5,30.5,2020-03-12
宜蘭,20.5,30.5,2020-03-13
宜蘭,20.5,30.5,2020-03-14
宜蘭,20.5,30.5,2020-03-15
宜蘭,20.5,30.5,2020-03-16
宜蘭,20.5,30.5,2020-03-17
宜蘭,20.5,30.5,2020-03-18
宜蘭,20.5,30.5,2020-03-19
宜蘭,20.5,30.5,2020-03-20
宜蘭,20.5,30.5,2020-03-21
宜蘭,20.5,30.5,2020-03-22
宜蘭,20.5,30.5,2020-03-23
宜蘭,20.5,30.5,2020-03-24
宜蘭,20.5,30.5,2020-03-25
宜蘭,20.5,30.5,2020-03-26
宜蘭,20.5,30.5,2020-03-27
宜蘭,20.5,30.5,2020-03-28
宜蘭,20.5,30.5,2020-03-29
宜蘭,20.5,30.5,2020-03-30
宜蘭,20.5,30.5,2020-03-31
宜蘭,20.4,30.9,2020-04-01
宜蘭,20.4,30.9,2020-04-02
宜蘭,20.4,30.9,2020-04-03
宜蘭,20.4,30.9,2020-04-04
宜蘭,20.4,30.9,2020-04-05
宜蘭,20.4,30.9,2020-04-06
宜蘭,20.4,30.9,2020-04-07
宜蘭,20.4,30.9,2020-04-08
宜蘭,20.4,30.9,2020-04-09
宜蘭,20.4,30.9,2020-04-10
宜蘭,20.4,30.9,2020-04-11
宜蘭,20.4,30.9,2020-04-12
宜蘭,20.4,30.9,2020-04-13
宜蘭,20.4,30.9,2020-04-14
宜蘭,20.4,30.9,2020-04-15
宜蘭,20.4,30.9,2020-04-16
宜蘭,20.4,30.9,2020-04-17
宜蘭,20.4,30.9,2020-04-18
宜蘭,20.4,30.9,2020-04-19
宜蘭,20.4,30.9,2020-04-20
宜蘭,20.4,30.9,2020-04-21
宜蘭,20.4,30.9,2020-04-22
宜蘭,20.4,30.9,2020-04-23
宜蘭,20.4,30.9,2020-04-24
宜蘭,20.4,30.9,2020-04-25
宜蘭,20.4,30.9,2020-04-26
宜蘭,20.4,30.9,2020-04-27
宜蘭,20.4,30.9,2020-04-28
宜蘭,20.4,30.9,2020-04-29
宜蘭,20.4,30.9,2020-04-30
宜蘭,25.8,33.6,2020-05-01
宜蘭,25.8,33.6,2020-05-02
宜蘭,25.8,33.6,2020-05-03
宜蘭,25.8,33.6,2020-05-04
宜蘭,25.8,33.6,2020-05-05
宜蘭,25.8,33.6,2020-05-06
宜蘭,25.8,33.6,2020-05-07
宜蘭,25.8,33.6,2020-05-08
宜蘭,25.8,33.6,2020-05-09
宜蘭,25.8,33.6,2020-05-10
宜蘭,25.8,33.6,2020-05-11
宜蘭,25.8,33.6,2020-05-12
宜蘭,25.8,33.6,2020-05-13
宜蘭,25.8,33.6,2020-05-14
宜蘭,25.8,33.6,2020-05-15
宜蘭,25.8,33.6,2020-05-16
宜蘭,25.8,33.6,2020-05-17
宜蘭,25.8,33.6,2020-05-18
宜蘭,25.8,33.6,2020-05-19
宜蘭,25.8,33.6,2020-05-20
宜蘭,25.8,33.6,2020-05-21
宜蘭,25.8,33.6,2020-05-22
宜蘭,25.8,33.6,2020-05-23
宜蘭,25.8,33.6,2020-05-24
宜蘭,25.8,33.6,2020-05-25
宜蘭,25.8,33.6,2020-05-26
宜蘭,25.8,33.6,2020-05-27
宜蘭,25.8,33.6,2020-05-28
宜蘭,25.8,33.6,2020-05-29
宜蘭,25.8,33.6,2020-05-30
宜蘭,25.8,33.6,2020-05-31
宜蘭,29.0,35.8,2020-06-01
宜蘭,29.0,35.8,2020-06-02
宜蘭,29.0,35.8,2020-06-03
宜蘭,29.0,35.8,2020-06-04
宜蘭,29.0,35.8,2020-06-05
宜蘭,29.0,35.8,2020-06-06
宜蘭,29.0,35.8,2020-06-07
宜蘭,29.0,35.8,2020-06-08
宜蘭,29.0,35.8,2020-06-09
宜蘭,29.0,35.8,2020-06-10
宜蘭,29.0,35.8,2020-06-11
宜蘭,29.0,35.8,2020-06-12
宜蘭,29.0,35.8,2020-06-13
宜蘭,29.0,35.8,2020-06-14
宜蘭,29.0,35.8,2020-06-15
宜蘭,29.0,35.8,2020-06-16
宜蘭,29.0,35.8,2020-06-17
宜蘭,29.0,35.8,2020-06-18
宜蘭,29.0,35.8,2020-06-19
宜蘭,29.0,35.8,2020-06-20
宜蘭,29.0,35.8,2020-06-21
宜蘭,29.0,35.8,2020-06-22
宜蘭,29.0,35.8,2020-06-23
宜蘭,29.0,35.8,2020-06-24
宜蘭,29.0,35.8,2020-06-25
