StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
彭佳嶼,17.6,25.0,2019-01-01
彭佳嶼,17.6,25.0,2019-01-02
彭佳嶼,17.6,25.0,2019-01-03
彭佳嶼,17.6,25.0,2019-01-04
彭佳嶼,17.6,25.0,2019-01-05
彭佳嶼,17.6,25.0,2019-01-06
彭佳嶼,17.6,25.0,2019-01-07
彭佳嶼,17.6,25.0,2019-01-08
彭佳嶼,17.6,25.0,2019-01-09
彭佳嶼,17.6,25.0,2019-01-10
彭佳嶼,17.6,25.0,2019-01-11
彭佳嶼,17.6,25.0,2019-01-12
彭佳嶼,17.6,25.0,2019-01-13
彭佳嶼,17.6,25.0,2019-01-14
彭佳嶼,17.6,25.0,2019-01-15
彭佳嶼,17.6,25.0,2019-01-16
彭佳嶼,17.6,25.0,2019-01-17
彭佳嶼,17.6,25.0,2019-01-18
彭佳嶼,17.6,25.0,2019-01-19
彭佳嶼,17.6,25.0,2019-01-20
彭佳嶼,17.6,25.0,2019-01-21
彭佳嶼,17.6,25.0,2019-01-22
彭佳嶼,17.6,25.0,2019-01-23
彭佳嶼,17.6,25.0,2019-01-24
彭佳嶼,17.6,25.0,2019-01-25
彭佳嶼,17.6,25.0,2019-01-26
彭佳嶼,17.6,25.0,2019-01-27
彭佳嶼,17.6,25.0,2019-01-28
彭佳嶼,17.6,25.0,2019-01-29
彭佳嶼,17.6,25.0,2019-01-30
彭佳嶼,17.6,25.0,2019-01-31
彭佳嶼,16.9,24.5,2019-02-01
彭佳嶼,16.9,24.5,2019-02-02
彭佳嶼,16.9,24.5,2019-02-03
彭佳嶼,16.9,24.5,2019-02-04
彭佳嶼,16.9,24.5,2019-02-05
彭佳嶼,16.9,24.5,2019-02-06
彭佳嶼,16.9,24.5,2019-02-07
彭佳嶼,16.9,24.5,2019-02-08
彭佳嶼,16.9,24.5,2019-02-09
彭佳嶼,16.9,24.5,2019-02-10
彭佳嶼,16.9,24.5,2019-02-11
彭佳嶼,16.9,24.5,2019-02-12
彭佳嶼,16.9,24.5,2019-02-13
彭佳嶼,16.9,24.5,2019-02-14
彭佳嶼,16.9,24.5,2019-02-15
彭佳嶼,16.9,24.5,2019-02-16
彭佳嶼,16.9,24.5,2019-02-17
彭佳嶼,16.9,24.5,2019-02-18
彭佳嶼,16.9,24.5,2019-02-19
彭佳嶼,16.9,24.5,2019-02-20
彭佳嶼,16.9,24.5,2019-02-21
彭佳嶼,16.9,24.5,2019-02-22
彭佳嶼,16.9,24.5,2019-02-23
彭佳嶼,16.9,24.5,2019-02-24
彭佳嶼,16.9,24.5,2019-02-25
彭佳嶼,16.9,24.5,2019-02-26
彭佳嶼,16.9,24.5,2019-02-27
彭佳嶼,16.9,24.5,2019-02-28
彭佳嶼,18.6,27.9,2019-03-01
彭佳嶼,18.6,27.9,2019-03-02
彭佳嶼,18.6,27.9,2019-03-03
彭佳嶼,18.6,27.9,2019-03-04
彭佳嶼,18.6,27.9,2019-03-05
彭佳嶼,18.6,27.9,2019-03-06
彭佳嶼,18.6,27.9,2019-03-07
彭佳嶼,18.6,27.9,2019-03-08
彭佳嶼,18.6,27.9,2019-03-09
彭佳嶼,18.6,27.9,2019-03-10
彭佳嶼,18.6,27.9,2019-03-11
彭佳嶼,18.6,27.9,2019-03-12
彭佳嶼,18.6,27.9,2019-03-13
彭佳嶼,18.6,27.9,2019-03-14
彭佳嶼,18.6,27.9,2019-03-15
彭佳嶼,18.6,27.9,2019-03-16
彭佳嶼,18.6,27.9,2019-03-17
彭佳嶼,18.6,27.9,2019-03-18
彭佳嶼,18.6,27.9,2019-03-19
彭佳嶼,18.6,27.9,2019-03-20
彭佳嶼,18.6,27.9,2019-03-21
彭佳嶼,18.6,27.9,2019-03-22
彭佳嶼,18.6,27.9,2019-03-23
彭佳嶼,18.6,27.9,2019-03-24
彭佳嶼,18.6,27.9,2019-03-25
彭佳嶼,18.6,27.9,2019-03-26
彭佳嶼,18.6,27.9,2019-03-27
彭佳嶼,18.6,27.9,2019-03-28
彭佳嶼,18.6,27.9,2019-03-29
彭佳嶼,18.6,27.9,2019-03-30
彭佳嶼,18.6,27.9,2019-03-31
彭佳嶼,22.4,29.9,2019-04-01
彭佳嶼,22.4,29.9,2019-04-02
彭佳嶼,22.4,29.9,2019-04-03
彭佳嶼,22.4,29.9,2019-04-04
彭佳嶼,22.4,29.9,2019-04-05
彭佳嶼,22.4,29.9,2019-04-06
彭佳嶼,22.4,29.9,2019-04-07
彭佳嶼,22.4,29.9,2019-04-08
彭佳嶼,22.4,29.9,2019-04-09
彭佳嶼,22.4,29.9,2019-04-10
彭佳嶼,22.4,29.9,2019-04-11
彭佳嶼,22.4,29.9,2019-04-12
彭佳嶼,22.4,29.9,2019-04-13
彭佳嶼,22.4,29.9,2019-04-14
彭佳嶼,22.4,29.9,2019-04-15
彭佳嶼,22.4,29.9,2019-04-16
彭佳嶼,22.4,29.9,2019-04-17
彭佳嶼,22.4,29.9,2019-04-18
彭佳嶼,22.4,29.9,2019-04-19
彭佳嶼,22.4,29.9,2019-04-20
彭佳嶼,22.4,29.9,2019-04-21
彭佳嶼,22.4,29.9,2019-04-22
彭佳嶼,22.4,29.9,2019-04-23
彭佳嶼,22.4,29.9,2019-04-24
彭佳嶼,22.4,29.9,2019-04-25
彭佳嶼,22.4,29.9,2019-04-26
彭佳嶼,22.4,29.9,2019-04-27
彭佳嶼,22.4,29.9,2019-04-28
彭佳嶼,22.4,29.9,2019-04-29
彭佳嶼,22.4,29.9,2019-04-30
彭佳嶼,23.4,29.9,2019-05-01
彭佳嶼,23.4,29.9,2019-05-02
彭佳嶼,23.4,29.9,2019-05-03
彭佳嶼,23.4,29.9,2019-05-04
彭佳嶼,23.4,29.9,2019-05-05
彭佳嶼,23.4,29.9,2019-05-06
