StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
恆春,21.9,29.3,2020-01-01
恆春,21.9,29.3,2020-01-02
恆春,21.9,29.3,2020-01-03
恆春,21.9,29.3,2020-01-04
恆春,21.9,29.3,2020-01-05
恆春,21.9,29.3,2020-01-06
恆春,21.9,29.3,2020-01-07
恆春,21.9,29.3,2020-01-08
恆春,21.9,29.3,2020-01-09
恆春,21.9,29.3,2020-01-10
恆春,21.9,29.3,2020-01-11
恆春,21.9,29.3,2020-01-12
恆春,21.9,29.3,2020-01-13
恆春,21.9,29.3,2020-01-14
恆春,21.9,29.3,2020-01-15
恆春,21.9,29.3,2020-01-16
恆春,21.9,29.3,2020-01-17
恆春,21.9,29.3,2020-01-18
恆春,21.9,29.3,2020-01-19
恆春,21.9,29.3,2020-01-20
恆春,21.9,29.3,2020-01-21
恆春,21.9,29.3,2020-01-22
恆春,21.9,29.3,2020-01-23
恆春,21.9,29.3,2020-01-24
恆春,21.9,29.3,2020-01-25
恆春,21.9,29.3,2020-01-26
恆春,21.9,29.3,2020-01-27
恆春,21.9,29.3,2020-01-28
恆春,21.9,29.3,2020-01-29
恆春,21.9,29.3,2020-01-30
恆春,21.9,29.3,2020-01-31
恆春,21.9,29.4,2020-02-01
恆春,21.9,29.4,2020-02-02
恆春,21.9,29.4,2020-02-03
恆春,21.9,29.4,2020-02-04
恆春,21.9,29.4,2020-02-05
恆春,21.9,29.4,2020-02-06
恆春,21.9,29.4,2020-02-07
恆春,21.9,29.4,2020-02-08
恆春,21.9,29.4,2020-02-09
恆春,21.9,29.4,2020-02-10
恆春,21.9,29.4,2020-02-11
恆春,21.9,29.4,2020-02-12
恆春,21.9,29.4,2020-02-13
恆春,21.9,29.4,2020-02-14
恆春,21.9,29.4,2020-02-15
恆春,21.9,29.4,2020-02-16
恆春,21.9,29.4,2020-02-17
恆春,21.9,29.4,2020-02-18
恆春,21.9,29.4,2020-02-19
恆春,21.9,29.4,2020-02-20
恆春,21.9,29.4,2020-02-21
恆春,21.9,29.4,2020-02-22
恆春,21.9,29.4,2020-02-23
恆春,21.9,29.4,2020-02-24
恆春,21.9,29.4,2020-02-25
恆春,21.9,29.4,2020-02-26
恆春,21.9,29.4,2020-02-27
恆春,21.9,29.4,2020-02-28
恆春,21.9,29.4,2020-02-29
恆春,24.0,31.6,2020-03-01
恆春,24.0,31.6,2020-03-02
恆春,24.0,31.6,2020-03-03
恆春,24.0,31.6,2020-03-04
恆春,24.0,31.6,2020-03-05
恆春,24.0,31.6,2020-03-06
恆春,24.0,31.6,2020-03-07
恆春,24.0,31.6,2020-03-08
恆春,24.0,31.6,2020-03-09
恆春,24.0,31.6,2020-03-10
恆春,24.0,31.6,2020-03-11
恆春,24.0,31.6,2020-03-12
恆春,24.0,31.6,2020-03-13
恆春,24.0,31.6,2020-03-14
恆春,24.0,31.6,2020-03-15
恆春,24.0,31.6,2020-03-16
恆春,24.0,31.6,2020-03-17
恆春,24.0,31.6,2020-03-18
恆春,24.0,31.6,2020-03-19
恆春,24.0,31.6,2020-03-20
恆春,24.0,31.6,2020-03-21
恆春,24.0,31.6,2020-03-22
恆春,24.0,31.6,2020-03-23
恆春,24.0,31.6,2020-03-24
恆春,24.0,31.6,2020-03-25
恆春,24.0,31.6,2020-03-26
恆春,24.0,31.6,2020-03-27
恆春,24.0,31.6,2020-03-28
恆春,24.0,31.6,2020-03-29
恆春,24.0,31.6,2020-03-30
恆春,24.0,31.6,2020-03-31
恆春,24.7,32.4,2020-04-01
恆春,24.7,32.4,2020-04-02
恆春,24.7,32.4,2020-04-03
恆春,24.7,32.4,2020-04-04
恆春,24.7,32.4,2020-04-05
恆春,24.7,32.4,2020-04-06
恆春,24.7,32.4,2020-04-07
恆春,24.7,32.4,2020-04-08
恆春,24.7,32.4,2020-04-09
恆春,24.7,32.4,2020-04-10
恆春,24.7,32.4,2020-04-11
恆春,24.7,32.4,2020-04-12
恆春,24.7,32.4,2020-04-13
恆春,24.7,32.4,2020-04-14
恆春,24.7,32.4,2020-04-15
恆春,24.7,32.4,2020-04-16
恆春,24.7,32.4,2020-04-17
恆春,24.7,32.4,2020-04-18
恆春,24.7,32.4,2020-04-19
恆春,24.7,32.4,2020-04-20
恆春,24.7,32.4,2020-04-21
恆春,24.7,32.4,2020-04-22
恆春,24.7,32.4,2020-04-23
恆春,24.7,32.4,2020-04-24
恆春,24.7,32.4,2020-04-25
恆春,24.7,32.4,2020-04-26
恆春,24.7,32.4,2020-04-27
恆春,24.7,32.4,2020-04-28
恆春,24.7,32.4,2020-04-29
恆春,24.7,32.4,2020-04-30
恆春,28.0,34.2,2020-05-01
恆春,28.0,34.2,2020-05-02
恆春,28.0,34.2,2020-05-03
恆春,28.0,34.2,2020-05-04
恆春,28.0,34.2,2020-05-05
恆春,28.0,34.2,2020-05-06
恆春,28.0,34.2,2020-05-07
恆春,28.0,34.2,2020-05-08
恆春,28.0,34.2,2020-05-09
恆春,28.0,34.2,2020-05-10
恆春,28.0,34.2,2020-05-11
恆春,28.0,34.2,2020-05-12
恆春,28.0,34.2,2020-05-13
恆春,28.0,34.2,2020-05-14
恆春,28.0,34.2,2020-05-15
恆春,28.0,34.2,2020-05-16
恆春,28.0,34.2,2020-05-17
恆春,28.0,34.2,2020-05-18
恆春,28.0,34.2,2020-05-19
恆春,28.0,34.2,2020-05-20
恆春,28.0,34.2,2020-05-21
恆春,28.0,34.2,2020-05-22
恆春,28.0,34.2,2020-05-23
恆春,28.0,34.2,2020-05-24
恆春,28.0,34.2,2020-05-25
恆春,28.0,34.2,2020-05-26
恆春,28.0,34.2,2020-05-27
恆春,28.0,34.2,2020-05-28
恆春,28.0,34.2,2020-05-29
恆春,28.0,34.2,2020-05-30
恆春,28.0,34.2,2020-05-31
恆春,29.6,33.9,2020-06-01
恆春,29.6,33.9,2020-06-02
恆春,29.6,33.9,2020-06-03
恆春,29.6,33.9,2020-06-04
恆春,29.6,33.9,2020-06-05
恆春,29.6,33.9,2020-06-06
恆春,29.6,33.9,2020-06-07
恆春,29.6,33.9,2020-06-08
恆春,29.6,33.9,2020-06-09
恆春,29.6,33.9,2020-06-10
恆春,29.6,33.9,2020-06-11
恆春,29.6,33.9,2020-06-12
恆春,29.6,33.9,2020-06-13
恆春,29.6,33.9,2020-06-14
恆春,29.6,33.9,2020-06-15
恆春,29.6,33.9,2020-06-16
恆春,29.6,33.9,2020-06-17
恆春,29.6,33.9,2020-06-18
恆春,29.6,33.9,2020-06-19
恆春,29.6,33.9,2020-06-20
恆春,29.6,33.9,2020-06-21
恆春,29.6,33.9,2020-06-22
恆春,29.6,33.9,2020-06-23
恆春,29.6,33.9,2020-06-24
恆春,29.6,33.9,2020-06-25
恆春,29.6,33.9,2020-06-26
恆春,29.6,33.9,2020-06-27
恆春,29.6,33.9,2020-06-28
恆春,29.6,33.9,2020-06-29
恆春,29.6,33.9,2020-06-30
恆春,29.8,34.8,2020-07-01
恆春,29.8,34.8,2020-07-02
恆春,29.8,34.8,2020-07-03
恆春,29.8,34.8,2020-07-04
恆春,29.8,34.8,2020-07-05
恆春,29.8,34.8,2020-07-06
恆春,29.8,34.8,2020-07-07
恆春,29.8,34.8,2020-07-08
恆春,29.8,34.8,2020-07-09
恆春,29.8,34.8,2020-07-10
恆春,29.8,34.8,2020-07-11
恆春,29.8,34.8,2020-07-12
恆春,29.8,34.8,2020-07-13
恆春,29.8,34.8,2020-07-14
恆春,29.8,34.8,2020-07-15
恆春,29.8,34.8,2020-07-16
恆春,29.8,34.8,2020-07-17
恆春,29.8,34.8,2020-07-18
恆春,29.8,34.8,2020-07-19
恆春,29.8,34.8,2020-07-20
恆春,29.8,34.8,2020-07-21
恆春,29.8,34.8,2020-07-22
恆春,29.8,34.8,2020-07-23
恆春,29.8,34.8,2020-07-24
恆春,29.8,34.8,2020-07-25
恆春,29.8,34.8,2020-07-26
恆春,29.8,34.8,2020-07-27
恆春,29.8,34.8,2020-07-28
恆春,29.8,34.8,2020-07-29
恆春,29.8,34.8,2020-07-30
恆春,29.8,34.8,2020-07-31
恆春,28.5,34.6,2020-08-01
恆春,28.5,34.6,2020-08-02
恆春,28.5,34.6,2020-08-03
恆春,28.5,34.6,2020-08-04
恆春,28.5,34.6,2020-08-05
恆春,28.5,34.6,2020-08-06
恆春,28.5,34.6,2020-08-07
恆春,28.5,34.6,2020-08-08
恆春,28.5,34.6,2020-08-09
恆春,28.5,34.6,2020-08-10
恆春,28.5,34.6,2020-08-11
恆春,28.5,34.6,2020-08-12
恆春,28.5,34.6,2020-08-13
恆春,28.5,34.6,2020-08-14
恆春,28.5,34.6,2020-08-15
恆春,28.5,34.6,2020-08-16
恆春,28.5,34.6,2020-08-17
恆春,28.5,34.6,2020-08-18
恆春,28.5,34.6,2020-08-19
恆春,28.5,34.6,2020-08-20
恆春,28.5,34.6,2020-08-21
