StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
成功,19.3,26.4,2022-01-01
成功,19.3,26.4,2022-01-02
成功,19.3,26.4,2022-01-03
成功,19.3,26.4,2022-01-04
成功,19.3,26.4,2022-01-05
成功,19.3,26.4,2022-01-06
成功,19.3,26.4,2022-01-07
成功,19.3,26.4,2022-01-08
成功,19.3,26.4,2022-01-09
成功,19.3,26.4,2022-01-10
成功,19.3,26.4,2022-01-11
成功,19.3,26.4,2022-01-12
成功,19.3,26.4,2022-01-13
成功,19.3,26.4,2022-01-14
成功,19.3,26.4,2022-01-15
成功,19.3,26.4,2022-01-16
成功,19.3,26.4,2022-01-17
成功,19.3,26.4,2022-01-18
成功,19.3,26.4,2022-01-19
成功,19.3,26.4,2022-01-20
成功,19.3,26.4,2022-01-21
成功,19.3,26.4,2022-01-22
成功,19.3,26.4,2022-01-23
成功,19.3,26.4,2022-01-24
成功,19.3,26.4,2022-01-25
成功,19.3,26.4,2022-01-26
成功,19.3,26.4,2022-01-27
成功,19.3,26.4,2022-01-28
成功,19.3,26.4,2022-01-29
成功,19.3,26.4,2022-01-30
成功,19.3,26.4,2022-01-31
成功,19.2,26.8,2022-02-01
成功,19.2,26.8,2022-02-02
成功,19.2,26.8,2022-02-03
成功,19.2,26.8,2022-02-04
成功,19.2,26.8,2022-02-05
成功,19.2,26.8,2022-02-06
成功,19.2,26.8,2022-02-07
成功,19.2,26.8,2022-02-08
成功,19.2,26.8,2022-02-09
成功,19.2,26.8,2022-02-10
成功,19.2,26.8,2022-02-11
成功,19.2,26.8,2022-02-12
成功,19.2,26.8,2022-02-13
成功,19.2,26.8,2022-02-14
成功,19.2,26.8,2022-02-15
成功,19.2,26.8,2022-02-16
成功,19.2,26.8,2022-02-17
成功,19.2,26.8,2022-02-18
成功,19.2,26.8,2022-02-19
成功,19.2,26.8,2022-02-20
成功,19.2,26.8,2022-02-21
成功,19.2,26.8,2022-02-22
成功,19.2,26.8,2022-02-23
成功,19.2,26.8,2022-02-24
成功,19.2,26.8,2022-02-25
成功,19.2,26.8,2022-02-26
成功,19.2,26.8,2022-02-27
成功,19.2,26.8,2022-02-28
成功,21.8,29.9,2022-03-01
成功,21.8,29.9,2022-03-02
成功,21.8,29.9,2022-03-03
成功,21.8,29.9,2022-03-04
成功,21.8,29.9,2022-03-05
成功,21.8,29.9,2022-03-06
成功,21.8,29.9,2022-03-07
成功,21.8,29.9,2022-03-08
成功,21.8,29.9,2022-03-09
成功,21.8,29.9,2022-03-10
成功,21.8,29.9,2022-03-11
成功,21.8,29.9,2022-03-12
成功,21.8,29.9,2022-03-13
成功,21.8,29.9,2022-03-14
成功,21.8,29.9,2022-03-15
