StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
新屋,17.1,24.0,2019-01-01
新屋,17.1,24.0,2019-01-02
新屋,17.1,24.0,2019-01-03
新屋,17.1,24.0,2019-01-04
新屋,17.1,24.0,2019-01-05
新屋,17.1,24.0,2019-01-06
新屋,17.1,24.0,2019-01-07
新屋,17.1,24.0,2019-01-08
新屋,17.1,24.0,2019-01-09
新屋,17.1,24.0,2019-01-10
新屋,17.1,24.0,2019-01-11
新屋,17.1,24.0,2019-01-12
新屋,17.1,24.0,2019-01-13
新屋,17.1,24.0,2019-01-14
新屋,17.1,24.0,2019-01-15
新屋,17.1,24.0,2019-01-16
新屋,17.1,24.0,2019-01-17
新屋,17.1,24.0,2019-01-18
新屋,17.1,24.0,2019-01-19
新屋,17.1,24.0,2019-01-20
新屋,17.1,24.0,2019-01-21
新屋,17.1,24.0,2019-01-22
新屋,17.1,24.0,2019-01-23
新屋,17.1,24.0,2019-01-24
新屋,17.1,24.0,2019-01-25
新屋,17.1,24.0,2019-01-26
新屋,17.1,24.0,2019-01-27
新屋,17.1,24.0,2019-01-28
新屋,17.1,24.0,2019-01-29
新屋,17.1,24.0,2019-01-30
新屋,17.1,24.0,2019-01-31
新屋,17.5,29.1,2019-02-01
新屋,17.5,29.1,2019-02-02
新屋,17.5,29.1,2019-02-03
新屋,17.5,29.1,2019-02-04
新屋,17.5,29.1,2019-02-05
新屋,17.5,29.1,2019-02-06
新屋,17.5,29.1,2019-02-07
新屋,17.5,29.1,2019-02-08
新屋,17.5,29.1,2019-02-09
新屋,17.5,29.1,2019-02-10
新屋,17.5,29.1,2019-02-11
新屋,17.5,29.1,2019-02-12
新屋,17.5,29.1,2019-02-13
新屋,17.5,29.1,2019-02-14
新屋,17.5,29.1,2019-02-15
新屋,17.5,29.1,2019-02-16
新屋,17.5,29.1,2019-02-17
新屋,17.5,29.1,2019-02-18
新屋,17.5,29.1,2019-02-19
新屋,17.5,29.1,2019-02-20
新屋,17.5,29.1,2019-02-21
新屋,17.5,29.1,2019-02-22
新屋,17.5,29.1,2019-02-23
新屋,17.5,29.1,2019-02-24
新屋,17.5,29.1,2019-02-25
新屋,17.5,29.1,2019-02-26
新屋,17.5,29.1,2019-02-27
新屋,17.5,29.1,2019-02-28
新屋,18.8,27.9,2019-03-01
新屋,18.8,27.9,2019-03-02
新屋,18.8,27.9,2019-03-03
新屋,18.8,27.9,2019-03-04
新屋,18.8,27.9,2019-03-05
新屋,18.8,27.9,2019-03-06
新屋,18.8,27.9,2019-03-07
