StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
新竹,16.3,25.5,2018-01-01
新竹,16.3,25.5,2018-01-02
新竹,16.3,25.5,2018-01-03
新竹,16.3,25.5,2018-01-04
新竹,16.3,25.5,2018-01-05
新竹,16.3,25.5,2018-01-06
新竹,16.3,25.5,2018-01-07
新竹,16.3,25.5,2018-01-08
新竹,16.3,25.5,2018-01-09
新竹,16.3,25.5,2018-01-10
新竹,16.3,25.5,2018-01-11
新竹,16.3,25.5,2018-01-12
新竹,16.3,25.5,2018-01-13
新竹,16.3,25.5,2018-01-14
新竹,16.3,25.5,2018-01-15
新竹,16.3,25.5,2018-01-16
新竹,16.3,25.5,2018-01-17
新竹,16.3,25.5,2018-01-18
新竹,16.3,25.5,2018-01-19
新竹,16.3,25.5,2018-01-20
新竹,16.3,25.5,2018-01-21
新竹,16.3,25.5,2018-01-22
新竹,16.3,25.5,2018-01-23
新竹,16.3,25.5,2018-01-24
新竹,16.3,25.5,2018-01-25
新竹,16.3,25.5,2018-01-26
新竹,16.3,25.5,2018-01-27
新竹,16.3,25.5,2018-01-28
新竹,16.3,25.5,2018-01-29
新竹,16.3,25.5,2018-01-30
新竹,16.3,25.5,2018-01-31
新竹,14.6,27.7,2018-02-01
新竹,14.6,27.7,2018-02-02
新竹,14.6,27.7,2018-02-03
新竹,14.6,27.7,2018-02-04
新竹,14.6,27.7,2018-02-05
新竹,14.6,27.7,2018-02-06
新竹,14.6,27.7,2018-02-07
新竹,14.6,27.7,2018-02-08
新竹,14.6,27.7,2018-02-09
新竹,14.6,27.7,2018-02-10
新竹,14.6,27.7,2018-02-11
新竹,14.6,27.7,2018-02-12
新竹,14.6,27.7,2018-02-13
新竹,14.6,27.7,2018-02-14
新竹,14.6,27.7,2018-02-15
新竹,14.6,27.7,2018-02-16
新竹,14.6,27.7,2018-02-17
新竹,14.6,27.7,2018-02-18
新竹,14.6,27.7,2018-02-19
新竹,14.6,27.7,2018-02-20
新竹,14.6,27.7,2018-02-21
新竹,14.6,27.7,2018-02-22
新竹,14.6,27.7,2018-02-23
新竹,14.6,27.7,2018-02-24
新竹,14.6,27.7,2018-02-25
新竹,14.6,27.7,2018-02-26
新竹,14.6,27.7,2018-02-27
新竹,14.6,27.7,2018-02-28
新竹,19.3,30.0,2018-03-01
新竹,19.3,30.0,2018-03-02
新竹,19.3,30.0,2018-03-03
新竹,19.3,30.0,2018-03-04
新竹,19.3,30.0,2018-03-05
新竹,19.3,30.0,2018-03-06
新竹,19.3,30.0,2018-03-07
新竹,19.3,30.0,2018-03-08
新竹,19.3,30.0,2018-03-09
新竹,19.3,30.0,2018-03-10
新竹,19.3,30.0,2018-03-11
新竹,19.3,30.0,2018-03-12
新竹,19.3,30.0,2018-03-13
新竹,19.3,30.0,2018-03-14
新竹,19.3,30.0,2018-03-15
新竹,19.3,30.0,2018-03-16
新竹,19.3,30.0,2018-03-17
新竹,19.3,30.0,2018-03-18
新竹,19.3,30.0,2018-03-19
新竹,19.3,30.0,2018-03-20
新竹,19.3,30.0,2018-03-21
新竹,19.3,30.0,2018-03-22
新竹,19.3,30.0,2018-03-23
新竹,19.3,30.0,2018-03-24
新竹,19.3,30.0,2018-03-25
新竹,19.3,30.0,2018-03-26
新竹,19.3,30.0,2018-03-27
新竹,19.3,30.0,2018-03-28
新竹,19.3,30.0,2018-03-29
新竹,19.3,30.0,2018-03-30
新竹,19.3,30.0,2018-03-31
新竹,23.0,31.6,2018-04-01
新竹,23.0,31.6,2018-04-02
新竹,23.0,31.6,2018-04-03
新竹,23.0,31.6,2018-04-04
新竹,23.0,31.6,2018-04-05
新竹,23.0,31.6,2018-04-06
新竹,23.0,31.6,2018-04-07
新竹,23.0,31.6,2018-04-08
新竹,23.0,31.6,2018-04-09
新竹,23.0,31.6,2018-04-10
新竹,23.0,31.6,2018-04-11
新竹,23.0,31.6,2018-04-12
新竹,23.0,31.6,2018-04-13
新竹,23.0,31.6,2018-04-14
新竹,23.0,31.6,2018-04-15
新竹,23.0,31.6,2018-04-16
新竹,23.0,31.6,2018-04-17
新竹,23.0,31.6,2018-04-18
新竹,23.0,31.6,2018-04-19
新竹,23.0,31.6,2018-04-20
新竹,23.0,31.6,2018-04-21
新竹,23.0,31.6,2018-04-22
新竹,23.0,31.6,2018-04-23
新竹,23.0,31.6,2018-04-24
新竹,23.0,31.6,2018-04-25
新竹,23.0,31.6,2018-04-26
新竹,23.0,31.6,2018-04-27
新竹,23.0,31.6,2018-04-28
新竹,23.0,31.6,2018-04-29
新竹,23.0,31.6,2018-04-30
新竹,27.4,34.7,2018-05-01
新竹,27.4,34.7,2018-05-02
新竹,27.4,34.7,2018-05-03
新竹,27.4,34.7,2018-05-04
新竹,27.4,34.7,2018-05-05
新竹,27.4,34.7,2018-05-06
新竹,27.4,34.7,2018-05-07
