StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
日月潭,14.9,24.0,2022-01-01
日月潭,14.9,24.0,2022-01-02
日月潭,14.9,24.0,2022-01-03
日月潭,14.9,24.0,2022-01-04
日月潭,14.9,24.0,2022-01-05
日月潭,14.9,24.0,2022-01-06
日月潭,14.9,24.0,2022-01-07
日月潭,14.9,24.0,2022-01-08
日月潭,14.9,24.0,2022-01-09
日月潭,14.9,24.0,2022-01-10
日月潭,14.9,24.0,2022-01-11
日月潭,14.9,24.0,2022-01-12
日月潭,14.9,24.0,2022-01-13
日月潭,14.9,24.0,2022-01-14
日月潭,14.9,24.0,2022-01-15
日月潭,14.9,24.0,2022-01-16
日月潭,14.9,24.0,2022-01-17
日月潭,14.9,24.0,2022-01-18
日月潭,14.9,24.0,2022-01-19
日月潭,14.9,24.0,2022-01-20
日月潭,14.9,24.0,2022-01-21
日月潭,14.9,24.0,2022-01-22
日月潭,14.9,24.0,2022-01-23
日月潭,14.9,24.0,2022-01-24
日月潭,14.9,24.0,2022-01-25
日月潭,14.9,24.0,2022-01-26
日月潭,14.9,24.0,2022-01-27
日月潭,14.9,24.0,2022-01-28
日月潭,14.9,24.0,2022-01-29
日月潭,14.9,24.0,2022-01-30
日月潭,14.9,24.0,2022-01-31
日月潭,14.5,24.0,2022-02-01
日月潭,14.5,24.0,2022-02-02
日月潭,14.5,24.0,2022-02-03
日月潭,14.5,24.0,2022-02-04
日月潭,14.5,24.0,2022-02-05
日月潭,14.5,24.0,2022-02-06
日月潭,14.5,24.0,2022-02-07
日月潭,14.5,24.0,2022-02-08
日月潭,14.5,24.0,2022-02-09
日月潭,14.5,24.0,2022-02-10
日月潭,14.5,24.0,2022-02-11
日月潭,14.5,24.0,2022-02-12
日月潭,14.5,24.0,2022-02-13
日月潭,14.5,24.0,2022-02-14
日月潭,14.5,24.0,2022-02-15
日月潭,14.5,24.0,2022-02-16
日月潭,14.5,24.0,2022-02-17
日月潭,14.5,24.0,2022-02-18
日月潭,14.5,24.0,2022-02-19
日月潭,14.5,24.0,2022-02-20
日月潭,14.5,24.0,2022-02-21
日月潭,14.5,24.0,2022-02-22
日月潭,14.5,24.0,2022-02-23
日月潭,14.5,24.0,2022-02-24
日月潭,14.5,24.0,2022-02-25
日月潭,14.5,24.0,2022-02-26
日月潭,14.5,24.0,2022-02-27
日月潭,14.5,24.0,2022-02-28
日月潭,18.2,28.0,2022-03-01
日月潭,18.2,28.0,2022-03-02
日月潭,18.2,28.0,2022-03-03
日月潭,18.2,28.0,2022-03-04
日月潭,18.2,28.0,2022-03-05
日月潭,18.2,28.0,2022-03-06
日月潭,18.2,28.0,2022-03-07
日月潭,18.2,28.0,2022-03-08
日月潭,18.2,28.0,2022-03-09
日月潭,18.2,28.0,2022-03-10
日月潭,18.2,28.0,2022-03-11
日月潭,18.2,28.0,2022-03-12
日月潭,18.2,28.0,2022-03-13
日月潭,18.2,28.0,2022-03-14
日月潭,18.2,28.0,2022-03-15
日月潭,18.2,28.0,2022-03-16
日月潭,18.2,28.0,2022-03-17
日月潭,18.2,28.0,2022-03-18
日月潭,18.2,28.0,2022-03-19
日月潭,18.2,28.0,2022-03-20
日月潭,18.2,28.0,2022-03-21
日月潭,18.2,28.0,2022-03-22
日月潭,18.2,28.0,2022-03-23
日月潭,18.2,28.0,2022-03-24
日月潭,18.2,28.0,2022-03-25
日月潭,18.2,28.0,2022-03-26
日月潭,18.2,28.0,2022-03-27
日月潭,18.2,28.0,2022-03-28
日月潭,18.2,28.0,2022-03-29
日月潭,18.2,28.0,2022-03-30
日月潭,18.2,28.0,2022-03-31
日月潭,19.2,29.1,2022-04-01
日月潭,19.2,29.1,2022-04-02
日月潭,19.2,29.1,2022-04-03
日月潭,19.2,29.1,2022-04-04
日月潭,19.2,29.1,2022-04-05
日月潭,19.2,29.1,2022-04-06
日月潭,19.2,29.1,2022-04-07
日月潭,19.2,29.1,2022-04-08
日月潭,19.2,29.1,2022-04-09
日月潭,19.2,29.1,2022-04-10
日月潭,19.2,29.1,2022-04-11
日月潭,19.2,29.1,2022-04-12
日月潭,19.2,29.1,2022-04-13
日月潭,19.2,29.1,2022-04-14
日月潭,19.2,29.1,2022-04-15
日月潭,19.2,29.1,2022-04-16
日月潭,19.2,29.1,2022-04-17
日月潭,19.2,29.1,2022-04-18
日月潭,19.2,29.1,2022-04-19
日月潭,19.2,29.1,2022-04-20
日月潭,19.2,29.1,2022-04-21
日月潭,19.2,29.1,2022-04-22
日月潭,19.2,29.1,2022-04-23
日月潭,19.2,29.1,2022-04-24
日月潭,19.2,29.1,2022-04-25
日月潭,19.2,29.1,2022-04-26
日月潭,19.2,29.1,2022-04-27
日月潭,19.2,29.1,2022-04-28
日月潭,19.2,29.1,2022-04-29
日月潭,19.2,29.1,2022-04-30
日月潭,20.3,28.4,2022-05-01
日月潭,20.3,28.4,2022-05-02
日月潭,20.3,28.4,2022-05-03
日月潭,20.3,28.4,2022-05-04
日月潭,20.3,28.4,2022-05-05
日月潭,20.3,28.4,2022-05-06
日月潭,20.3,28.4,2022-05-07
日月潭,20.3,28.4,2022-05-08
日月潭,20.3,28.4,2022-05-09
日月潭,20.3,28.4,2022-05-10
日月潭,20.3,28.4,2022-05-11
日月潭,20.3,28.4,2022-05-12
日月潭,20.3,28.4,2022-05-13
日月潭,20.3,28.4,2022-05-14
日月潭,20.3,28.4,2022-05-15
日月潭,20.3,28.4,2022-05-16
日月潭,20.3,28.4,2022-05-17
日月潭,20.3,28.4,2022-05-18
日月潭,20.3,28.4,2022-05-19
日月潭,20.3,28.4,2022-05-20
日月潭,20.3,28.4,2022-05-21
日月潭,20.3,28.4,2022-05-22
日月潭,20.3,28.4,2022-05-23
日月潭,20.3,28.4,2022-05-24
日月潭,20.3,28.4,2022-05-25
日月潭,20.3,28.4,2022-05-26
日月潭,20.3,28.4,2022-05-27
日月潭,20.3,28.4,2022-05-28
日月潭,20.3,28.4,2022-05-29
日月潭,20.3,28.4,2022-05-30
日月潭,20.3,28.4,2022-05-31
日月潭,22.1,29.6,2022-06-01
日月潭,22.1,29.6,2022-06-02
日月潭,22.1,29.6,2022-06-03
日月潭,22.1,29.6,2022-06-04
日月潭,22.1,29.6,2022-06-05
日月潭,22.1,29.6,2022-06-06
日月潭,22.1,29.6,2022-06-07
日月潭,22.1,29.6,2022-06-08
日月潭,22.1,29.6,2022-06-09
日月潭,22.1,29.6,2022-06-10
日月潭,22.1,29.6,2022-06-11
日月潭,22.1,29.6,2022-06-12
日月潭,22.1,29.6,2022-06-13
日月潭,22.1,29.6,2022-06-14
日月潭,22.1,29.6,2022-06-15
日月潭,22.1,29.6,2022-06-16
日月潭,22.1,29.6,2022-06-17
日月潭,22.1,29.6,2022-06-18
日月潭,22.1,29.6,2022-06-19
日月潭,22.1,29.6,2022-06-20
日月潭,22.1,29.6,2022-06-21
日月潭,22.1,29.6,2022-06-22
日月潭,22.1,29.6,2022-06-23
日月潭,22.1,29.6,2022-06-24
日月潭,22.1,29.6,2022-06-25
日月潭,22.1,29.6,2022-06-26
日月潭,22.1,29.6,2022-06-27
日月潭,22.1,29.6,2022-06-28
日月潭,22.1,29.6,2022-06-29
日月潭,22.1,29.6,2022-06-30
日月潭,23.5,31.8,2022-07-01
日月潭,23.5,31.8,2022-07-02
日月潭,23.5,31.8,2022-07-03
日月潭,23.5,31.8,2022-07-04
日月潭,23.5,31.8,2022-07-05
日月潭,23.5,31.8,2022-07-06
日月潭,23.5,31.8,2022-07-07
日月潭,23.5,31.8,2022-07-08
日月潭,23.5,31.8,2022-07-09
日月潭,23.5,31.8,2022-07-10
日月潭,23.5,31.8,2022-07-11
日月潭,23.5,31.8,2022-07-12
日月潭,23.5,31.8,2022-07-13
日月潭,23.5,31.8,2022-07-14
日月潭,23.5,31.8,2022-07-15
日月潭,23.5,31.8,2022-07-16
日月潭,23.5,31.8,2022-07-17
日月潭,23.5,31.8,2022-07-18
日月潭,23.5,31.8,2022-07-19
日月潭,23.5,31.8,2022-07-20
日月潭,23.5,31.8,2022-07-21
日月潭,23.5,31.8,2022-07-22
日月潭,23.5,31.8,2022-07-23
日月潭,23.5,31.8,2022-07-24
日月潭,23.5,31.8,2022-07-25
日月潭,23.5,31.8,2022-07-26
日月潭,23.5,31.8,2022-07-27
