StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
東吉島,19.6,25.8,2019-01-01
東吉島,19.6,25.8,2019-01-02
東吉島,19.6,25.8,2019-01-03
東吉島,19.6,25.8,2019-01-04
東吉島,19.6,25.8,2019-01-05
東吉島,19.6,25.8,2019-01-06
東吉島,19.6,25.8,2019-01-07
東吉島,19.6,25.8,2019-01-08
東吉島,19.6,25.8,2019-01-09
東吉島,19.6,25.8,2019-01-10
東吉島,19.6,25.8,2019-01-11
東吉島,19.6,25.8,2019-01-12
東吉島,19.6,25.8,2019-01-13
東吉島,19.6,25.8,2019-01-14
東吉島,19.6,25.8,2019-01-15
東吉島,19.6,25.8,2019-01-16
東吉島,19.6,25.8,2019-01-17
東吉島,19.6,25.8,2019-01-18
東吉島,19.6,25.8,2019-01-19
東吉島,19.6,25.8,2019-01-20
東吉島,19.6,25.8,2019-01-21
東吉島,19.6,25.8,2019-01-22
東吉島,19.6,25.8,2019-01-23
東吉島,19.6,25.8,2019-01-24
東吉島,19.6,25.8,2019-01-25
東吉島,19.6,25.8,2019-01-26
東吉島,19.6,25.8,2019-01-27
東吉島,19.6,25.8,2019-01-28
東吉島,19.6,25.8,2019-01-29
東吉島,19.6,25.8,2019-01-30
東吉島,19.6,25.8,2019-01-31
東吉島,21.8,28.3,2019-02-01
東吉島,21.8,28.3,2019-02-02
東吉島,21.8,28.3,2019-02-03
東吉島,21.8,28.3,2019-02-04
東吉島,21.8,28.3,2019-02-05
東吉島,21.8,28.3,2019-02-06
東吉島,21.8,28.3,2019-02-07
東吉島,21.8,28.3,2019-02-08
東吉島,21.8,28.3,2019-02-09
東吉島,21.8,28.3,2019-02-10
東吉島,21.8,28.3,2019-02-11
東吉島,21.8,28.3,2019-02-12
東吉島,21.8,28.3,2019-02-13
東吉島,21.8,28.3,2019-02-14
東吉島,21.8,28.3,2019-02-15
東吉島,21.8,28.3,2019-02-16
東吉島,21.8,28.3,2019-02-17
東吉島,21.8,28.3,2019-02-18
東吉島,21.8,28.3,2019-02-19
東吉島,21.8,28.3,2019-02-20
東吉島,21.8,28.3,2019-02-21
東吉島,21.8,28.3,2019-02-22
東吉島,21.8,28.3,2019-02-23
東吉島,21.8,28.3,2019-02-24
東吉島,21.8,28.3,2019-02-25
東吉島,21.8,28.3,2019-02-26
東吉島,21.8,28.3,2019-02-27
東吉島,21.8,28.3,2019-02-28
東吉島,22.5,28.2,2019-03-01
東吉島,22.5,28.2,2019-03-02
東吉島,22.5,28.2,2019-03-03
東吉島,22.5,28.2,2019-03-04
東吉島,22.5,28.2,2019-03-05
東吉島,22.5,28.2,2019-03-06
東吉島,22.5,28.2,2019-03-07
東吉島,22.5,28.2,2019-03-08
東吉島,22.5,28.2,2019-03-09
東吉島,22.5,28.2,2019-03-10
東吉島,22.5,28.2,2019-03-11
東吉島,22.5,28.2,2019-03-12
東吉島,22.5,28.2,2019-03-13
東吉島,22.5,28.2,2019-03-14
東吉島,22.5,28.2,2019-03-15
東吉島,22.5,28.2,2019-03-16
東吉島,22.5,28.2,2019-03-17
東吉島,22.5,28.2,2019-03-18
東吉島,22.5,28.2,2019-03-19
東吉島,22.5,28.2,2019-03-20
東吉島,22.5,28.2,2019-03-21
東吉島,22.5,28.2,2019-03-22
東吉島,22.5,28.2,2019-03-23
東吉島,22.5,28.2,2019-03-24
東吉島,22.5,28.2,2019-03-25
東吉島,22.5,28.2,2019-03-26
東吉島,22.5,28.2,2019-03-27
東吉島,22.5,28.2,2019-03-28
東吉島,22.5,28.2,2019-03-29
東吉島,22.5,28.2,2019-03-30
東吉島,22.5,28.2,2019-03-31
東吉島,25.0,30.8,2019-04-01
東吉島,25.0,30.8,2019-04-02
東吉島,25.0,30.8,2019-04-03
東吉島,25.0,30.8,2019-04-04
東吉島,25.0,30.8,2019-04-05
東吉島,25.0,30.8,2019-04-06
東吉島,25.0,30.8,2019-04-07
東吉島,25.0,30.8,2019-04-08
東吉島,25.0,30.8,2019-04-09
東吉島,25.0,30.8,2019-04-10
東吉島,25.0,30.8,2019-04-11
東吉島,25.0,30.8,2019-04-12
東吉島,25.0,30.8,2019-04-13
東吉島,25.0,30.8,2019-04-14
東吉島,25.0,30.8,2019-04-15
東吉島,25.0,30.8,2019-04-16
東吉島,25.0,30.8,2019-04-17
東吉島,25.0,30.8,2019-04-18
東吉島,25.0,30.8,2019-04-19
東吉島,25.0,30.8,2019-04-20
東吉島,25.0,30.8,2019-04-21
東吉島,25.0,30.8,2019-04-22
東吉島,25.0,30.8,2019-04-23
東吉島,25.0,30.8,2019-04-24
東吉島,25.0,30.8,2019-04-25
東吉島,25.0,30.8,2019-04-26
東吉島,25.0,30.8,2019-04-27
東吉島,25.0,30.8,2019-04-28
東吉島,25.0,30.8,2019-04-29
東吉島,25.0,30.8,2019-04-30
東吉島,26.2,31.3,2019-05-01
東吉島,26.2,31.3,2019-05-02
東吉島,26.2,31.3,2019-05-03
東吉島,26.2,31.3,2019-05-04
東吉島,26.2,31.3,2019-05-05
東吉島,26.2,31.3,2019-05-06
東吉島,26.2,31.3,2019-05-07
東吉島,26.2,31.3,2019-05-08
東吉島,26.2,31.3,2019-05-09
東吉島,26.2,31.3,2019-05-10
東吉島,26.2,31.3,2019-05-11
東吉島,26.2,31.3,2019-05-12
東吉島,26.2,31.3,2019-05-13
東吉島,26.2,31.3,2019-05-14
東吉島,26.2,31.3,2019-05-15
東吉島,26.2,31.3,2019-05-16
東吉島,26.2,31.3,2019-05-17
東吉島,26.2,31.3,2019-05-18
東吉島,26.2,31.3,2019-05-19
東吉島,26.2,31.3,2019-05-20
東吉島,26.2,31.3,2019-05-21
東吉島,26.2,31.3,2019-05-22
東吉島,26.2,31.3,2019-05-23
東吉島,26.2,31.3,2019-05-24
東吉島,26.2,31.3,2019-05-25
東吉島,26.2,31.3,2019-05-26
東吉島,26.2,31.3,2019-05-27
東吉島,26.2,31.3,2019-05-28
東吉島,26.2,31.3,2019-05-29
