StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
板橋,16.6,25.7,2018-01-01
板橋,16.6,25.7,2018-01-02
板橋,16.6,25.7,2018-01-03
板橋,16.6,25.7,2018-01-04
板橋,16.6,25.7,2018-01-05
板橋,16.6,25.7,2018-01-06
板橋,16.6,25.7,2018-01-07
板橋,16.6,25.7,2018-01-08
板橋,16.6,25.7,2018-01-09
板橋,16.6,25.7,2018-01-10
板橋,16.6,25.7,2018-01-11
板橋,16.6,25.7,2018-01-12
板橋,16.6,25.7,2018-01-13
板橋,16.6,25.7,2018-01-14
板橋,16.6,25.7,2018-01-15
板橋,16.6,25.7,2018-01-16
板橋,16.6,25.7,2018-01-17
板橋,16.6,25.7,2018-01-18
板橋,16.6,25.7,2018-01-19
板橋,16.6,25.7,2018-01-20
板橋,16.6,25.7,2018-01-21
板橋,16.6,25.7,2018-01-22
板橋,16.6,25.7,2018-01-23
板橋,16.6,25.7,2018-01-24
板橋,16.6,25.7,2018-01-25
板橋,16.6,25.7,2018-01-26
板橋,16.6,25.7,2018-01-27
板橋,16.6,25.7,2018-01-28
板橋,16.6,25.7,2018-01-29
板橋,16.6,25.7,2018-01-30
板橋,16.6,25.7,2018-01-31
板橋,15.1,29.8,2018-02-01
板橋,15.1,29.8,2018-02-02
板橋,15.1,29.8,2018-02-03
板橋,15.1,29.8,2018-02-04
板橋,15.1,29.8,2018-02-05
板橋,15.1,29.8,2018-02-06
板橋,15.1,29.8,2018-02-07
板橋,15.1,29.8,2018-02-08
板橋,15.1,29.8,2018-02-09
板橋,15.1,29.8,2018-02-10
板橋,15.1,29.8,2018-02-11
板橋,15.1,29.8,2018-02-12
板橋,15.1,29.8,2018-02-13
板橋,15.1,29.8,2018-02-14
板橋,15.1,29.8,2018-02-15
板橋,15.1,29.8,2018-02-16
板橋,15.1,29.8,2018-02-17
板橋,15.1,29.8,2018-02-18
板橋,15.1,29.8,2018-02-19
板橋,15.1,29.8,2018-02-20
板橋,15.1,29.8,2018-02-21
板橋,15.1,29.8,2018-02-22
板橋,15.1,29.8,2018-02-23
