StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
淡水,16.8,26.8,2020-01-01
淡水,16.8,26.8,2020-01-02
淡水,16.8,26.8,2020-01-03
淡水,16.8,26.8,2020-01-04
淡水,16.8,26.8,2020-01-05
淡水,16.8,26.8,2020-01-06
淡水,16.8,26.8,2020-01-07
淡水,16.8,26.8,2020-01-08
淡水,16.8,26.8,2020-01-09
淡水,16.8,26.8,2020-01-10
淡水,16.8,26.8,2020-01-11
淡水,16.8,26.8,2020-01-12
淡水,16.8,26.8,2020-01-13
淡水,16.8,26.8,2020-01-14
淡水,16.8,26.8,2020-01-15
淡水,16.8,26.8,2020-01-16
淡水,16.8,26.8,2020-01-17
淡水,16.8,26.8,2020-01-18
淡水,16.8,26.8,2020-01-19
淡水,16.8,26.8,2020-01-20
淡水,16.8,26.8,2020-01-21
淡水,16.8,26.8,2020-01-22
淡水,16.8,26.8,2020-01-23
淡水,16.8,26.8,2020-01-24
淡水,16.8,26.8,2020-01-25
淡水,16.8,26.8,2020-01-26
淡水,16.8,26.8,2020-01-27
淡水,16.8,26.8,2020-01-28
淡水,16.8,26.8,2020-01-29
淡水,16.8,26.8,2020-01-30
淡水,16.8,26.8,2020-01-31
淡水,17.3,27.6,2020-02-01
淡水,17.3,27.6,2020-02-02
淡水,17.3,27.6,2020-02-03
淡水,17.3,27.6,2020-02-04
淡水,17.3,27.6,2020-02-05
淡水,17.3,27.6,2020-02-06
淡水,17.3,27.6,2020-02-07
淡水,17.3,27.6,2020-02-08
淡水,17.3,27.6,2020-02-09
淡水,17.3,27.6,2020-02-10
淡水,17.3,27.6,2020-02-11
淡水,17.3,27.6,2020-02-12
淡水,17.3,27.6,2020-02-13
淡水,17.3,27.6,2020-02-14
淡水,17.3,27.6,2020-02-15
淡水,17.3,27.6,2020-02-16
淡水,17.3,27.6,2020-02-17
淡水,17.3,27.6,2020-02-18
淡水,17.3,27.6,2020-02-19
淡水,17.3,27.6,2020-02-20
淡水,17.3,27.6,2020-02-21
淡水,17.3,27.6,2020-02-22
淡水,17.3,27.6,2020-02-23
淡水,17.3,27.6,2020-02-24
淡水,17.3,27.6,2020-02-25
淡水,17.3,27.6,2020-02-26
淡水,17.3,27.6,2020-02-27
淡水,17.3,27.6,2020-02-28
淡水,17.3,27.6,2020-02-29
淡水,19.6,30.8,2020-03-01
淡水,19.6,30.8,2020-03-02
淡水,19.6,30.8,2020-03-03
淡水,19.6,30.8,2020-03-04
淡水,19.6,30.8,2020-03-05
淡水,19.6,30.8,2020-03-06
淡水,19.6,30.8,2020-03-07
淡水,19.6,30.8,2020-03-08
淡水,19.6,30.8,2020-03-09
淡水,19.6,30.8,2020-03-10
淡水,19.6,30.8,2020-03-11
淡水,19.6,30.8,2020-03-12
淡水,19.6,30.8,2020-03-13
淡水,19.6,30.8,2020-03-14
淡水,19.6,30.8,2020-03-15
淡水,19.6,30.8,2020-03-16
淡水,19.6,30.8,2020-03-17
淡水,19.6,30.8,2020-03-18
淡水,19.6,30.8,2020-03-19
淡水,19.6,30.8,2020-03-20
淡水,19.6,30.8,2020-03-21
淡水,19.6,30.8,2020-03-22
淡水,19.6,30.8,2020-03-23
淡水,19.6,30.8,2020-03-24
淡水,19.6,30.8,2020-03-25
淡水,19.6,30.8,2020-03-26
淡水,19.6,30.8,2020-03-27
淡水,19.6,30.8,2020-03-28
淡水,19.6,30.8,2020-03-29
淡水,19.6,30.8,2020-03-30
淡水,19.6,30.8,2020-03-31
淡水,20.1,30.5,2020-04-01
淡水,20.1,30.5,2020-04-02
淡水,20.1,30.5,2020-04-03
淡水,20.1,30.5,2020-04-04
淡水,20.1,30.5,2020-04-05
淡水,20.1,30.5,2020-04-06
淡水,20.1,30.5,2020-04-07
淡水,20.1,30.5,2020-04-08
淡水,20.1,30.5,2020-04-09
淡水,20.1,30.5,2020-04-10
淡水,20.1,30.5,2020-04-11
淡水,20.1,30.5,2020-04-12
淡水,20.1,30.5,2020-04-13
淡水,20.1,30.5,2020-04-14
淡水,20.1,30.5,2020-04-15
淡水,20.1,30.5,2020-04-16
淡水,20.1,30.5,2020-04-17
淡水,20.1,30.5,2020-04-18
淡水,20.1,30.5,2020-04-19
淡水,20.1,30.5,2020-04-20
淡水,20.1,30.5,2020-04-21
淡水,20.1,30.5,2020-04-22
淡水,20.1,30.5,2020-04-23
淡水,20.1,30.5,2020-04-24
淡水,20.1,30.5,2020-04-25
淡水,20.1,30.5,2020-04-26
淡水,20.1,30.5,2020-04-27
淡水,20.1,30.5,2020-04-28
淡水,20.1,30.5,2020-04-29
淡水,20.1,30.5,2020-04-30
淡水,25.9,34.2,2020-05-01
淡水,25.9,34.2,2020-05-02
淡水,25.9,34.2,2020-05-03
淡水,25.9,34.2,2020-05-04
淡水,25.9,34.2,2020-05-05
淡水,25.9,34.2,2020-05-06
淡水,25.9,34.2,2020-05-07
淡水,25.9,34.2,2020-05-08
淡水,25.9,34.2,2020-05-09
淡水,25.9,34.2,2020-05-10
淡水,25.9,34.2,2020-05-11
淡水,25.9,34.2,2020-05-12
淡水,25.9,34.2,2020-05-13
淡水,25.9,34.2,2020-05-14
淡水,25.9,34.2,2020-05-15
淡水,25.9,34.2,2020-05-16
淡水,25.9,34.2,2020-05-17
淡水,25.9,34.2,2020-05-18
淡水,25.9,34.2,2020-05-19
淡水,25.9,34.2,2020-05-20
淡水,25.9,34.2,2020-05-21
淡水,25.9,34.2,2020-05-22
淡水,25.9,34.2,2020-05-23
淡水,25.9,34.2,2020-05-24
淡水,25.9,34.2,2020-05-25
淡水,25.9,34.2,2020-05-26
淡水,25.9,34.2,2020-05-27
淡水,25.9,34.2,2020-05-28
淡水,25.9,34.2,2020-05-29
淡水,25.9,34.2,2020-05-30
淡水,25.9,34.2,2020-05-31
淡水,29.1,35.2,2020-06-01
淡水,29.1,35.2,2020-06-02
淡水,29.1,35.2,2020-06-03
淡水,29.1,35.2,2020-06-04
淡水,29.1,35.2,2020-06-05
淡水,29.1,35.2,2020-06-06
淡水,29.1,35.2,2020-06-07
淡水,29.1,35.2,2020-06-08
淡水,29.1,35.2,2020-06-09
淡水,29.1,35.2,2020-06-10
淡水,29.1,35.2,2020-06-11
淡水,29.1,35.2,2020-06-12
淡水,29.1,35.2,2020-06-13
淡水,29.1,35.2,2020-06-14
淡水,29.1,35.2,2020-06-15
淡水,29.1,35.2,2020-06-16
淡水,29.1,35.2,2020-06-17
淡水,29.1,35.2,2020-06-18
淡水,29.1,35.2,2020-06-19
淡水,29.1,35.2,2020-06-20
淡水,29.1,35.2,2020-06-21
淡水,29.1,35.2,2020-06-22
淡水,29.1,35.2,2020-06-23
淡水,29.1,35.2,2020-06-24
淡水,29.1,35.2,2020-06-25
淡水,29.1,35.2,2020-06-26
淡水,29.1,35.2,2020-06-27
淡水,29.1,35.2,2020-06-28
淡水,29.1,35.2,2020-06-29
淡水,29.1,35.2,2020-06-30
淡水,29.9,36.7,2020-07-01
淡水,29.9,36.7,2020-07-02
淡水,29.9,36.7,2020-07-03
淡水,29.9,36.7,2020-07-04
淡水,29.9,36.7,2020-07-05
淡水,29.9,36.7,2020-07-06
淡水,29.9,36.7,2020-07-07
淡水,29.9,36.7,2020-07-08
淡水,29.9,36.7,2020-07-09
淡水,29.9,36.7,2020-07-10
淡水,29.9,36.7,2020-07-11
淡水,29.9,36.7,2020-07-12
淡水,29.9,36.7,2020-07-13
淡水,29.9,36.7,2020-07-14
淡水,29.9,36.7,2020-07-15
淡水,29.9,36.7,2020-07-16
淡水,29.9,36.7,2020-07-17
淡水,29.9,36.7,2020-07-18
淡水,29.9,36.7,2020-07-19
淡水,29.9,36.7,2020-07-20
淡水,29.9,36.7,2020-07-21
淡水,29.9,36.7,2020-07-22
淡水,29.9,36.7,2020-07-23
淡水,29.9,36.7,2020-07-24
淡水,29.9,36.7,2020-07-25
淡水,29.9,36.7,2020-07-26
淡水,29.9,36.7,2020-07-27
淡水,29.9,36.7,2020-07-28
淡水,29.9,36.7,2020-07-29
淡水,29.9,36.7,2020-07-30
淡水,29.9,36.7,2020-07-31
淡水,29.2,36.1,2020-08-01
淡水,29.2,36.1,2020-08-02
淡水,29.2,36.1,2020-08-03
淡水,29.2,36.1,2020-08-04
淡水,29.2,36.1,2020-08-05
淡水,29.2,36.1,2020-08-06
淡水,29.2,36.1,2020-08-07
淡水,29.2,36.1,2020-08-08
淡水,29.2,36.1,2020-08-09
淡水,29.2,36.1,2020-08-10
