StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
澎湖,15.5,19.9,2021-01-01
澎湖,15.5,19.9,2021-01-02
澎湖,15.5,19.9,2021-01-03
澎湖,15.5,19.9,2021-01-04
澎湖,15.5,19.9,2021-01-05
澎湖,15.5,19.9,2021-01-06
澎湖,15.5,19.9,2021-01-07
澎湖,15.5,19.9,2021-01-08
澎湖,15.5,19.9,2021-01-09
澎湖,15.5,19.9,2021-01-10
澎湖,15.5,19.9,2021-01-11
澎湖,15.5,19.9,2021-01-12
澎湖,15.5,19.9,2021-01-13
澎湖,15.5,19.9,2021-01-14
澎湖,15.5,19.9,2021-01-15
澎湖,15.5,19.9,2021-01-16
澎湖,15.5,19.9,2021-01-17
澎湖,15.5,19.9,2021-01-18
澎湖,15.5,19.9,2021-01-19
澎湖,15.5,19.9,2021-01-20
澎湖,15.5,19.9,2021-01-21
澎湖,15.5,19.9,2021-01-22
澎湖,15.5,19.9,2021-01-23
澎湖,15.5,19.9,2021-01-24
澎湖,15.5,19.9,2021-01-25
澎湖,15.5,19.9,2021-01-26
澎湖,15.5,19.9,2021-01-27
澎湖,15.5,19.9,2021-01-28
澎湖,15.5,19.9,2021-01-29
澎湖,15.5,19.9,2021-01-30
澎湖,15.5,19.9,2021-01-31
澎湖,17.7,24.5,2021-02-01
澎湖,17.7,24.5,2021-02-02
澎湖,17.7,24.5,2021-02-03
澎湖,17.7,24.5,2021-02-04
澎湖,17.7,24.5,2021-02-05
澎湖,17.7,24.5,2021-02-06
澎湖,17.7,24.5,2021-02-07
澎湖,17.7,24.5,2021-02-08
澎湖,17.7,24.5,2021-02-09
澎湖,17.7,24.5,2021-02-10
澎湖,17.7,24.5,2021-02-11
澎湖,17.7,24.5,2021-02-12
澎湖,17.7,24.5,2021-02-13
澎湖,17.7,24.5,2021-02-14
澎湖,17.7,24.5,2021-02-15
澎湖,17.7,24.5,2021-02-16
澎湖,17.7,24.5,2021-02-17
澎湖,17.7,24.5,2021-02-18
澎湖,17.7,24.5,2021-02-19
澎湖,17.7,24.5,2021-02-20
澎湖,17.7,24.5,2021-02-21
澎湖,17.7,24.5,2021-02-22
澎湖,17.7,24.5,2021-02-23
澎湖,17.7,24.5,2021-02-24
澎湖,17.7,24.5,2021-02-25
澎湖,17.7,24.5,2021-02-26
澎湖,17.7,24.5,2021-02-27
澎湖,17.7,24.5,2021-02-28
澎湖,19.7,27.7,2021-03-01
澎湖,19.7,27.7,2021-03-02
澎湖,19.7,27.7,2021-03-03
澎湖,19.7,27.7,2021-03-04
澎湖,19.7,27.7,2021-03-05
澎湖,19.7,27.7,2021-03-06
澎湖,19.7,27.7,2021-03-07
澎湖,19.7,27.7,2021-03-08
澎湖,19.7,27.7,2021-03-09
澎湖,19.7,27.7,2021-03-10
澎湖,19.7,27.7,2021-03-11
澎湖,19.7,27.7,2021-03-12
澎湖,19.7,27.7,2021-03-13
澎湖,19.7,27.7,2021-03-14
澎湖,19.7,27.7,2021-03-15
澎湖,19.7,27.7,2021-03-16
澎湖,19.7,27.7,2021-03-17
澎湖,19.7,27.7,2021-03-18
澎湖,19.7,27.7,2021-03-19
澎湖,19.7,27.7,2021-03-20
澎湖,19.7,27.7,2021-03-21
澎湖,19.7,27.7,2021-03-22
澎湖,19.7,27.7,2021-03-23
澎湖,19.7,27.7,2021-03-24
澎湖,19.7,27.7,2021-03-25
澎湖,19.7,27.7,2021-03-26
澎湖,19.7,27.7,2021-03-27
澎湖,19.7,27.7,2021-03-28
澎湖,19.7,27.7,2021-03-29
澎湖,19.7,27.7,2021-03-30
澎湖,19.7,27.7,2021-03-31
澎湖,22.9,28.4,2021-04-01
澎湖,22.9,28.4,2021-04-02
澎湖,22.9,28.4,2021-04-03
澎湖,22.9,28.4,2021-04-04
澎湖,22.9,28.4,2021-04-05
澎湖,22.9,28.4,2021-04-06
澎湖,22.9,28.4,2021-04-07
澎湖,22.9,28.4,2021-04-08
澎湖,22.9,28.4,2021-04-09
澎湖,22.9,28.4,2021-04-10
澎湖,22.9,28.4,2021-04-11
澎湖,22.9,28.4,2021-04-12
澎湖,22.9,28.4,2021-04-13
澎湖,22.9,28.4,2021-04-14
澎湖,22.9,28.4,2021-04-15
澎湖,22.9,28.4,2021-04-16
澎湖,22.9,28.4,2021-04-17
澎湖,22.9,28.4,2021-04-18
澎湖,22.9,28.4,2021-04-19
澎湖,22.9,28.4,2021-04-20
澎湖,22.9,28.4,2021-04-21
澎湖,22.9,28.4,2021-04-22
澎湖,22.9,28.4,2021-04-23
澎湖,22.9,28.4,2021-04-24
澎湖,22.9,28.4,2021-04-25
澎湖,22.9,28.4,2021-04-26
澎湖,22.9,28.4,2021-04-27
澎湖,22.9,28.4,2021-04-28
澎湖,22.9,28.4,2021-04-29
澎湖,22.9,28.4,2021-04-30
澎湖,27.5,33.2,2021-05-01
澎湖,27.5,33.2,2021-05-02
澎湖,27.5,33.2,2021-05-03
澎湖,27.5,33.2,2021-05-04
澎湖,27.5,33.2,2021-05-05
澎湖,27.5,33.2,2021-05-06
