StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
玉山,0.5,12.8,2018-01-01
玉山,0.5,12.8,2018-01-02
玉山,0.5,12.8,2018-01-03
玉山,0.5,12.8,2018-01-04
玉山,0.5,12.8,2018-01-05
玉山,0.5,12.8,2018-01-06
玉山,0.5,12.8,2018-01-07
玉山,0.5,12.8,2018-01-08
玉山,0.5,12.8,2018-01-09
玉山,0.5,12.8,2018-01-10
玉山,0.5,12.8,2018-01-11
玉山,0.5,12.8,2018-01-12
玉山,0.5,12.8,2018-01-13
玉山,0.5,12.8,2018-01-14
玉山,0.5,12.8,2018-01-15
玉山,0.5,12.8,2018-01-16
玉山,0.5,12.8,2018-01-17
玉山,0.5,12.8,2018-01-18
玉山,0.5,12.8,2018-01-19
玉山,0.5,12.8,2018-01-20
玉山,0.5,12.8,2018-01-21
玉山,0.5,12.8,2018-01-22
玉山,0.5,12.8,2018-01-23
玉山,0.5,12.8,2018-01-24
玉山,0.5,12.8,2018-01-25
玉山,0.5,12.8,2018-01-26
玉山,0.5,12.8,2018-01-27
玉山,0.5,12.8,2018-01-28
玉山,0.5,12.8,2018-01-29
玉山,0.5,12.8,2018-01-30
玉山,0.5,12.8,2018-01-31
玉山,-0.3,12.5,2018-02-01
玉山,-0.3,12.5,2018-02-02
玉山,-0.3,12.5,2018-02-03
玉山,-0.3,12.5,2018-02-04
玉山,-0.3,12.5,2018-02-05
玉山,-0.3,12.5,2018-02-06
玉山,-0.3,12.5,2018-02-07
玉山,-0.3,12.5,2018-02-08
玉山,-0.3,12.5,2018-02-09
玉山,-0.3,12.5,2018-02-10
玉山,-0.3,12.5,2018-02-11
玉山,-0.3,12.5,2018-02-12
玉山,-0.3,12.5,2018-02-13
玉山,-0.3,12.5,2018-02-14
玉山,-0.3,12.5,2018-02-15
玉山,-0.3,12.5,2018-02-16
玉山,-0.3,12.5,2018-02-17
玉山,-0.3,12.5,2018-02-18
玉山,-0.3,12.5,2018-02-19
玉山,-0.3,12.5,2018-02-20
玉山,-0.3,12.5,2018-02-21
玉山,-0.3,12.5,2018-02-22
玉山,-0.3,12.5,2018-02-23
玉山,-0.3,12.5,2018-02-24
玉山,-0.3,12.5,2018-02-25
玉山,-0.3,12.5,2018-02-26
玉山,-0.3,12.5,2018-02-27
玉山,-0.3,12.5,2018-02-28
玉山,1.4,16.6,2018-03-01
玉山,1.4,16.6,2018-03-02
玉山,1.4,16.6,2018-03-03
玉山,1.4,16.6,2018-03-04
玉山,1.4,16.6,2018-03-05
玉山,1.4,16.6,2018-03-06
玉山,1.4,16.6,2018-03-07
玉山,1.4,16.6,2018-03-08
玉山,1.4,16.6,2018-03-09
玉山,1.4,16.6,2018-03-10
玉山,1.4,16.6,2018-03-11
玉山,1.4,16.6,2018-03-12
玉山,1.4,16.6,2018-03-13
玉山,1.4,16.6,2018-03-14
玉山,1.4,16.6,2018-03-15
玉山,1.4,16.6,2018-03-16
玉山,1.4,16.6,2018-03-17
玉山,1.4,16.6,2018-03-18
玉山,1.4,16.6,2018-03-19
玉山,1.4,16.6,2018-03-20
玉山,1.4,16.6,2018-03-21
玉山,1.4,16.6,2018-03-22
玉山,1.4,16.6,2018-03-23
玉山,1.4,16.6,2018-03-24
玉山,1.4,16.6,2018-03-25
玉山,1.4,16.6,2018-03-26
玉山,1.4,16.6,2018-03-27
玉山,1.4,16.6,2018-03-28
玉山,1.4,16.6,2018-03-29
玉山,1.4,16.6,2018-03-30
玉山,1.4,16.6,2018-03-31
玉山,4.8,17.1,2018-04-01
玉山,4.8,17.1,2018-04-02
玉山,4.8,17.1,2018-04-03
玉山,4.8,17.1,2018-04-04
玉山,4.8,17.1,2018-04-05
玉山,4.8,17.1,2018-04-06
玉山,4.8,17.1,2018-04-07
玉山,4.8,17.1,2018-04-08
玉山,4.8,17.1,2018-04-09
玉山,4.8,17.1,2018-04-10
玉山,4.8,17.1,2018-04-11
玉山,4.8,17.1,2018-04-12
玉山,4.8,17.1,2018-04-13
玉山,4.8,17.1,2018-04-14
玉山,4.8,17.1,2018-04-15
玉山,4.8,17.1,2018-04-16
玉山,4.8,17.1,2018-04-17
玉山,4.8,17.1,2018-04-18
玉山,4.8,17.1,2018-04-19
玉山,4.8,17.1,2018-04-20
玉山,4.8,17.1,2018-04-21
