StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
竹子湖,12.7,21.4,2022-01-01
竹子湖,12.7,21.4,2022-01-02
竹子湖,12.7,21.4,2022-01-03
竹子湖,12.7,21.4,2022-01-04
竹子湖,12.7,21.4,2022-01-05
竹子湖,12.7,21.4,2022-01-06
竹子湖,12.7,21.4,2022-01-07
竹子湖,12.7,21.4,2022-01-08
竹子湖,12.7,21.4,2022-01-09
竹子湖,12.7,21.4,2022-01-10
竹子湖,12.7,21.4,2022-01-11
竹子湖,12.7,21.4,2022-01-12
竹子湖,12.7,21.4,2022-01-13
竹子湖,12.7,21.4,2022-01-14
竹子湖,12.7,21.4,2022-01-15
竹子湖,12.7,21.4,2022-01-16
竹子湖,12.7,21.4,2022-01-17
竹子湖,12.7,21.4,2022-01-18
竹子湖,12.7,21.4,2022-01-19
竹子湖,12.7,21.4,2022-01-20
竹子湖,12.7,21.4,2022-01-21
竹子湖,12.7,21.4,2022-01-22
竹子湖,12.7,21.4,2022-01-23
竹子湖,12.7,21.4,2022-01-24
竹子湖,12.7,21.4,2022-01-25
竹子湖,12.7,21.4,2022-01-26
竹子湖,12.7,21.4,2022-01-27
竹子湖,12.7,21.4,2022-01-28
竹子湖,12.7,21.4,2022-01-29
竹子湖,12.7,21.4,2022-01-30
竹子湖,12.7,21.4,2022-01-31
竹子湖,12.2,22.8,2022-02-01
竹子湖,12.2,22.8,2022-02-02
竹子湖,12.2,22.8,2022-02-03
竹子湖,12.2,22.8,2022-02-04
竹子湖,12.2,22.8,2022-02-05
竹子湖,12.2,22.8,2022-02-06
竹子湖,12.2,22.8,2022-02-07
竹子湖,12.2,22.8,2022-02-08
竹子湖,12.2,22.8,2022-02-09
竹子湖,12.2,22.8,2022-02-10
竹子湖,12.2,22.8,2022-02-11
竹子湖,12.2,22.8,2022-02-12
竹子湖,12.2,22.8,2022-02-13
竹子湖,12.2,22.8,2022-02-14
竹子湖,12.2,22.8,2022-02-15
竹子湖,12.2,22.8,2022-02-16
竹子湖,12.2,22.8,2022-02-17
竹子湖,12.2,22.8,2022-02-18
竹子湖,12.2,22.8,2022-02-19
竹子湖,12.2,22.8,2022-02-20
竹子湖,12.2,22.8,2022-02-21
竹子湖,12.2,22.8,2022-02-22
竹子湖,12.2,22.8,2022-02-23
竹子湖,12.2,22.8,2022-02-24
竹子湖,12.2,22.8,2022-02-25
竹子湖,12.2,22.8,2022-02-26
竹子湖,12.2,22.8,2022-02-27
竹子湖,12.2,22.8,2022-02-28
竹子湖,16.9,26.1,2022-03-01
竹子湖,16.9,26.1,2022-03-02
竹子湖,16.9,26.1,2022-03-03
竹子湖,16.9,26.1,2022-03-04
竹子湖,16.9,26.1,2022-03-05
竹子湖,16.9,26.1,2022-03-06
竹子湖,16.9,26.1,2022-03-07
竹子湖,16.9,26.1,2022-03-08
竹子湖,16.9,26.1,2022-03-09
竹子湖,16.9,26.1,2022-03-10
竹子湖,16.9,26.1,2022-03-11
竹子湖,16.9,26.1,2022-03-12
竹子湖,16.9,26.1,2022-03-13
竹子湖,16.9,26.1,2022-03-14
竹子湖,16.9,26.1,2022-03-15
竹子湖,16.9,26.1,2022-03-16
竹子湖,16.9,26.1,2022-03-17
竹子湖,16.9,26.1,2022-03-18
竹子湖,16.9,26.1,2022-03-19
竹子湖,16.9,26.1,2022-03-20
竹子湖,16.9,26.1,2022-03-21
竹子湖,16.9,26.1,2022-03-22
竹子湖,16.9,26.1,2022-03-23
竹子湖,16.9,26.1,2022-03-24
竹子湖,16.9,26.1,2022-03-25
竹子湖,16.9,26.1,2022-03-26
竹子湖,16.9,26.1,2022-03-27
竹子湖,16.9,26.1,2022-03-28
竹子湖,16.9,26.1,2022-03-29
竹子湖,16.9,26.1,2022-03-30
竹子湖,16.9,26.1,2022-03-31
竹子湖,17.8,28.0,2022-04-01
竹子湖,17.8,28.0,2022-04-02
竹子湖,17.8,28.0,2022-04-03
竹子湖,17.8,28.0,2022-04-04
竹子湖,17.8,28.0,2022-04-05
竹子湖,17.8,28.0,2022-04-06
竹子湖,17.8,28.0,2022-04-07
竹子湖,17.8,28.0,2022-04-08
竹子湖,17.8,28.0,2022-04-09
竹子湖,17.8,28.0,2022-04-10
竹子湖,17.8,28.0,2022-04-11
竹子湖,17.8,28.0,2022-04-12
竹子湖,17.8,28.0,2022-04-13
竹子湖,17.8,28.0,2022-04-14
竹子湖,17.8,28.0,2022-04-15
竹子湖,17.8,28.0,2022-04-16
竹子湖,17.8,28.0,2022-04-17
竹子湖,17.8,28.0,2022-04-18
竹子湖,17.8,28.0,2022-04-19
竹子湖,17.8,28.0,2022-04-20
竹子湖,17.8,28.0,2022-04-21
竹子湖,17.8,28.0,2022-04-22
竹子湖,17.8,28.0,2022-04-23
竹子湖,17.8,28.0,2022-04-24
竹子湖,17.8,28.0,2022-04-25
竹子湖,17.8,28.0,2022-04-26
竹子湖,17.8,28.0,2022-04-27
竹子湖,17.8,28.0,2022-04-28
竹子湖,17.8,28.0,2022-04-29
竹子湖,17.8,28.0,2022-04-30
竹子湖,19.4,28.3,2022-05-01
竹子湖,19.4,28.3,2022-05-02
竹子湖,19.4,28.3,2022-05-03
竹子湖,19.4,28.3,2022-05-04
竹子湖,19.4,28.3,2022-05-05
竹子湖,19.4,28.3,2022-05-06
竹子湖,19.4,28.3,2022-05-07
竹子湖,19.4,28.3,2022-05-08
竹子湖,19.4,28.3,2022-05-09
竹子湖,19.4,28.3,2022-05-10
竹子湖,19.4,28.3,2022-05-11
竹子湖,19.4,28.3,2022-05-12
竹子湖,19.4,28.3,2022-05-13
竹子湖,19.4,28.3,2022-05-14
竹子湖,19.4,28.3,2022-05-15
竹子湖,19.4,28.3,2022-05-16
竹子湖,19.4,28.3,2022-05-17
竹子湖,19.4,28.3,2022-05-18
竹子湖,19.4,28.3,2022-05-19
竹子湖,19.4,28.3,2022-05-20
竹子湖,19.4,28.3,2022-05-21
竹子湖,19.4,28.3,2022-05-22
竹子湖,19.4,28.3,2022-05-23
竹子湖,19.4,28.3,2022-05-24
竹子湖,19.4,28.3,2022-05-25
竹子湖,19.4,28.3,2022-05-26
竹子湖,19.4,28.3,2022-05-27
竹子湖,19.4,28.3,2022-05-28
竹子湖,19.4,28.3,2022-05-29
竹子湖,19.4,28.3,2022-05-30
竹子湖,19.4,28.3,2022-05-31
竹子湖,23.7,30.4,2022-06-01
竹子湖,23.7,30.4,2022-06-02
竹子湖,23.7,30.4,2022-06-03
竹子湖,23.7,30.4,2022-06-04
竹子湖,23.7,30.4,2022-06-05
竹子湖,23.7,30.4,2022-06-06
竹子湖,23.7,30.4,2022-06-07
竹子湖,23.7,30.4,2022-06-08
竹子湖,23.7,30.4,2022-06-09
竹子湖,23.7,30.4,2022-06-10
竹子湖,23.7,30.4,2022-06-11
竹子湖,23.7,30.4,2022-06-12
竹子湖,23.7,30.4,2022-06-13
竹子湖,23.7,30.4,2022-06-14
竹子湖,23.7,30.4,2022-06-15
竹子湖,23.7,30.4,2022-06-16
竹子湖,23.7,30.4,2022-06-17
竹子湖,23.7,30.4,2022-06-18
竹子湖,23.7,30.4,2022-06-19
竹子湖,23.7,30.4,2022-06-20
竹子湖,23.7,30.4,2022-06-21
竹子湖,23.7,30.4,2022-06-22
竹子湖,23.7,30.4,2022-06-23
竹子湖,23.7,30.4,2022-06-24
竹子湖,23.7,30.4,2022-06-25
竹子湖,23.7,30.4,2022-06-26
竹子湖,23.7,30.4,2022-06-27
竹子湖,23.7,30.4,2022-06-28
竹子湖,23.7,30.4,2022-06-29
竹子湖,23.7,30.4,2022-06-30
竹子湖,25.6,33.1,2022-07-01
竹子湖,25.6,33.1,2022-07-02
竹子湖,25.6,33.1,2022-07-03
竹子湖,25.6,33.1,2022-07-04
竹子湖,25.6,33.1,2022-07-05
竹子湖,25.6,33.1,2022-07-06
竹子湖,25.6,33.1,2022-07-07
竹子湖,25.6,33.1,2022-07-08
竹子湖,25.6,33.1,2022-07-09
竹子湖,25.6,33.1,2022-07-10
竹子湖,25.6,33.1,2022-07-11
竹子湖,25.6,33.1,2022-07-12
竹子湖,25.6,33.1,2022-07-13
竹子湖,25.6,33.1,2022-07-14
竹子湖,25.6,33.1,2022-07-15
竹子湖,25.6,33.1,2022-07-16
竹子湖,25.6,33.1,2022-07-17
竹子湖,25.6,33.1,2022-07-18
竹子湖,25.6,33.1,2022-07-19
竹子湖,25.6,33.1,2022-07-20
竹子湖,25.6,33.1,2022-07-21
竹子湖,25.6,33.1,2022-07-22
竹子湖,25.6,33.1,2022-07-23
竹子湖,25.6,33.1,2022-07-24
竹子湖,25.6,33.1,2022-07-25
竹子湖,25.6,33.1,2022-07-26
竹子湖,25.6,33.1,2022-07-27
竹子湖,25.6,33.1,2022-07-28
竹子湖,25.6,33.1,2022-07-29
竹子湖,25.6,33.1,2022-07-30
竹子湖,25.6,33.1,2022-07-31
竹子湖,25.4,32.3,2022-08-01
竹子湖,25.4,32.3,2022-08-02
竹子湖,25.4,32.3,2022-08-03
竹子湖,25.4,32.3,2022-08-04
竹子湖,25.4,32.3,2022-08-05
竹子湖,25.4,32.3,2022-08-06
竹子湖,25.4,32.3,2022-08-07
竹子湖,25.4,32.3,2022-08-08
竹子湖,25.4,32.3,2022-08-09
竹子湖,25.4,32.3,2022-08-10
竹子湖,25.4,32.3,2022-08-11
竹子湖,25.4,32.3,2022-08-12
竹子湖,25.4,32.3,2022-08-13
竹子湖,25.4,32.3,2022-08-14
竹子湖,25.4,32.3,2022-08-15
竹子湖,25.4,32.3,2022-08-16
竹子湖,25.4,32.3,2022-08-17
竹子湖,25.4,32.3,2022-08-18
竹子湖,25.4,32.3,2022-08-19
竹子湖,25.4,32.3,2022-08-20
竹子湖,25.4,32.3,2022-08-21
竹子湖,25.4,32.3,2022-08-22
竹子湖,25.4,32.3,2022-08-23
竹子湖,25.4,32.3,2022-08-24
竹子湖,25.4,32.3,2022-08-25
竹子湖,25.4,32.3,2022-08-26
竹子湖,25.4,32.3,2022-08-27
