StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
臺北,16.0,29.8,2021-01-01
臺北,16.0,29.8,2021-01-02
臺北,16.0,29.8,2021-01-03
臺北,16.0,29.8,2021-01-04
臺北,16.0,29.8,2021-01-05
臺北,16.0,29.8,2021-01-06
臺北,16.0,29.8,2021-01-07
臺北,16.0,29.8,2021-01-08
臺北,16.0,29.8,2021-01-09
臺北,16.0,29.8,2021-01-10
臺北,16.0,29.8,2021-01-11
臺北,16.0,29.8,2021-01-12
臺北,16.0,29.8,2021-01-13
臺北,16.0,29.8,2021-01-14
臺北,16.0,29.8,2021-01-15
臺北,16.0,29.8,2021-01-16
臺北,16.0,29.8,2021-01-17
臺北,16.0,29.8,2021-01-18
臺北,16.0,29.8,2021-01-19
臺北,16.0,29.8,2021-01-20
臺北,16.0,29.8,2021-01-21
臺北,16.0,29.8,2021-01-22
臺北,16.0,29.8,2021-01-23
臺北,16.0,29.8,2021-01-24
臺北,16.0,29.8,2021-01-25
臺北,16.0,29.8,2021-01-26
臺北,16.0,29.8,2021-01-27
臺北,16.0,29.8,2021-01-28
臺北,16.0,29.8,2021-01-29
臺北,16.0,29.8,2021-01-30
臺北,16.0,29.8,2021-01-31
臺北,19.1,28.4,2021-02-01
臺北,19.1,28.4,2021-02-02
臺北,19.1,28.4,2021-02-03
臺北,19.1,28.4,2021-02-04
臺北,19.1,28.4,2021-02-05
臺北,19.1,28.4,2021-02-06
臺北,19.1,28.4,2021-02-07
臺北,19.1,28.4,2021-02-08
臺北,19.1,28.4,2021-02-09
臺北,19.1,28.4,2021-02-10
臺北,19.1,28.4,2021-02-11
臺北,19.1,28.4,2021-02-12
臺北,19.1,28.4,2021-02-13
臺北,19.1,28.4,2021-02-14
臺北,19.1,28.4,2021-02-15
臺北,19.1,28.4,2021-02-16
臺北,19.1,28.4,2021-02-17
臺北,19.1,28.4,2021-02-18
臺北,19.1,28.4,2021-02-19
臺北,19.1,28.4,2021-02-20
臺北,19.1,28.4,2021-02-21
臺北,19.1,28.4,2021-02-22
臺北,19.1,28.4,2021-02-23
臺北,19.1,28.4,2021-02-24
臺北,19.1,28.4,2021-02-25
臺北,19.1,28.4,2021-02-26
臺北,19.1,28.4,2021-02-27
臺北,19.1,28.4,2021-02-28
臺北,20.3,30.4,2021-03-01
臺北,20.3,30.4,2021-03-02
臺北,20.3,30.4,2021-03-03
臺北,20.3,30.4,2021-03-04
臺北,20.3,30.4,2021-03-05
臺北,20.3,30.4,2021-03-06
臺北,20.3,30.4,2021-03-07
臺北,20.3,30.4,2021-03-08
臺北,20.3,30.4,2021-03-09
臺北,20.3,30.4,2021-03-10
臺北,20.3,30.4,2021-03-11
臺北,20.3,30.4,2021-03-12
臺北,20.3,30.4,2021-03-13
臺北,20.3,30.4,2021-03-14
臺北,20.3,30.4,2021-03-15
臺北,20.3,30.4,2021-03-16
臺北,20.3,30.4,2021-03-17
臺北,20.3,30.4,2021-03-18
臺北,20.3,30.4,2021-03-19
臺北,20.3,30.4,2021-03-20
臺北,20.3,30.4,2021-03-21
臺北,20.3,30.4,2021-03-22
臺北,20.3,30.4,2021-03-23
臺北,20.3,30.4,2021-03-24
臺北,20.3,30.4,2021-03-25
臺北,20.3,30.4,2021-03-26
臺北,20.3,30.4,2021-03-27
臺北,20.3,30.4,2021-03-28
