StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
臺南,18.5,26.7,2022-01-01
臺南,18.5,26.7,2022-01-02
臺南,18.5,26.7,2022-01-03
臺南,18.5,26.7,2022-01-04
臺南,18.5,26.7,2022-01-05
臺南,18.5,26.7,2022-01-06
臺南,18.5,26.7,2022-01-07
臺南,18.5,26.7,2022-01-08
臺南,18.5,26.7,2022-01-09
臺南,18.5,26.7,2022-01-10
臺南,18.5,26.7,2022-01-11
臺南,18.5,26.7,2022-01-12
臺南,18.5,26.7,2022-01-13
臺南,18.5,26.7,2022-01-14
臺南,18.5,26.7,2022-01-15
臺南,18.5,26.7,2022-01-16
臺南,18.5,26.7,2022-01-17
臺南,18.5,26.7,2022-01-18
臺南,18.5,26.7,2022-01-19
臺南,18.5,26.7,2022-01-20
臺南,18.5,26.7,2022-01-21
臺南,18.5,26.7,2022-01-22
臺南,18.5,26.7,2022-01-23
臺南,18.5,26.7,2022-01-24
臺南,18.5,26.7,2022-01-25
臺南,18.5,26.7,2022-01-26
臺南,18.5,26.7,2022-01-27
臺南,18.5,26.7,2022-01-28
臺南,18.5,26.7,2022-01-29
臺南,18.5,26.7,2022-01-30
臺南,18.5,26.7,2022-01-31
臺南,17.4,28.3,2022-02-01
臺南,17.4,28.3,2022-02-02
臺南,17.4,28.3,2022-02-03
臺南,17.4,28.3,2022-02-04
臺南,17.4,28.3,2022-02-05
臺南,17.4,28.3,2022-02-06
臺南,17.4,28.3,2022-02-07
臺南,17.4,28.3,2022-02-08
臺南,17.4,28.3,2022-02-09
臺南,17.4,28.3,2022-02-10
臺南,17.4,28.3,2022-02-11
臺南,17.4,28.3,2022-02-12
臺南,17.4,28.3,2022-02-13
臺南,17.4,28.3,2022-02-14
臺南,17.4,28.3,2022-02-15
臺南,17.4,28.3,2022-02-16
臺南,17.4,28.3,2022-02-17
臺南,17.4,28.3,2022-02-18
臺南,17.4,28.3,2022-02-19
臺南,17.4,28.3,2022-02-20
臺南,17.4,28.3,2022-02-21
臺南,17.4,28.3,2022-02-22
臺南,17.4,28.3,2022-02-23
臺南,17.4,28.3,2022-02-24
臺南,17.4,28.3,2022-02-25
臺南,17.4,28.3,2022-02-26
臺南,17.4,28.3,2022-02-27
臺南,17.4,28.3,2022-02-28
臺南,23.0,31.9,2022-03-01
臺南,23.0,31.9,2022-03-02
臺南,23.0,31.9,2022-03-03
臺南,23.0,31.9,2022-03-04
臺南,23.0,31.9,2022-03-05
臺南,23.0,31.9,2022-03-06
臺南,23.0,31.9,2022-03-07
臺南,23.0,31.9,2022-03-08
臺南,23.0,31.9,2022-03-09
臺南,23.0,31.9,2022-03-10
臺南,23.0,31.9,2022-03-11
臺南,23.0,31.9,2022-03-12
臺南,23.0,31.9,2022-03-13
臺南,23.0,31.9,2022-03-14
臺南,23.0,31.9,2022-03-15
臺南,23.0,31.9,2022-03-16
臺南,23.0,31.9,2022-03-17
臺南,23.0,31.9,2022-03-18
臺南,23.0,31.9,2022-03-19
臺南,23.0,31.9,2022-03-20
臺南,23.0,31.9,2022-03-21
臺南,23.0,31.9,2022-03-22
臺南,23.0,31.9,2022-03-23
臺南,23.0,31.9,2022-03-24
臺南,23.0,31.9,2022-03-25
臺南,23.0,31.9,2022-03-26
臺南,23.0,31.9,2022-03-27
臺南,23.0,31.9,2022-03-28
臺南,23.0,31.9,2022-03-29
臺南,23.0,31.9,2022-03-30
臺南,23.0,31.9,2022-03-31
臺南,24.6,32.6,2022-04-01
臺南,24.6,32.6,2022-04-02
臺南,24.6,32.6,2022-04-03
臺南,24.6,32.6,2022-04-04
臺南,24.6,32.6,2022-04-05
臺南,24.6,32.6,2022-04-06
臺南,24.6,32.6,2022-04-07
臺南,24.6,32.6,2022-04-08
臺南,24.6,32.6,2022-04-09
臺南,24.6,32.6,2022-04-10
臺南,24.6,32.6,2022-04-11
臺南,24.6,32.6,2022-04-12
臺南,24.6,32.6,2022-04-13
臺南,24.6,32.6,2022-04-14
臺南,24.6,32.6,2022-04-15
臺南,24.6,32.6,2022-04-16
臺南,24.6,32.6,2022-04-17
臺南,24.6,32.6,2022-04-18
臺南,24.6,32.6,2022-04-19
臺南,24.6,32.6,2022-04-20
臺南,24.6,32.6,2022-04-21
臺南,24.6,32.6,2022-04-22
臺南,24.6,32.6,2022-04-23
臺南,24.6,32.6,2022-04-24
臺南,24.6,32.6,2022-04-25
臺南,24.6,32.6,2022-04-26
臺南,24.6,32.6,2022-04-27
臺南,24.6,32.6,2022-04-28
臺南,24.6,32.6,2022-04-29
臺南,24.6,32.6,2022-04-30
臺南,25.8,33.0,2022-05-01
臺南,25.8,33.0,2022-05-02
臺南,25.8,33.0,2022-05-03
臺南,25.8,33.0,2022-05-04
臺南,25.8,33.0,2022-05-05
臺南,25.8,33.0,2022-05-06
臺南,25.8,33.0,2022-05-07
臺南,25.8,33.0,2022-05-08
臺南,25.8,33.0,2022-05-09
臺南,25.8,33.0,2022-05-10
臺南,25.8,33.0,2022-05-11
臺南,25.8,33.0,2022-05-12
臺南,25.8,33.0,2022-05-13
臺南,25.8,33.0,2022-05-14
臺南,25.8,33.0,2022-05-15
臺南,25.8,33.0,2022-05-16
臺南,25.8,33.0,2022-05-17
臺南,25.8,33.0,2022-05-18
臺南,25.8,33.0,2022-05-19
臺南,25.8,33.0,2022-05-20
臺南,25.8,33.0,2022-05-21
臺南,25.8,33.0,2022-05-22
臺南,25.8,33.0,2022-05-23
臺南,25.8,33.0,2022-05-24
臺南,25.8,33.0,2022-05-25
臺南,25.8,33.0,2022-05-26
臺南,25.8,33.0,2022-05-27
臺南,25.8,33.0,2022-05-28
臺南,25.8,33.0,2022-05-29
臺南,25.8,33.0,2022-05-30
臺南,25.8,33.0,2022-05-31
臺南,29.2,33.8,2022-06-01
臺南,29.2,33.8,2022-06-02
臺南,29.2,33.8,2022-06-03
臺南,29.2,33.8,2022-06-04
臺南,29.2,33.8,2022-06-05
臺南,29.2,33.8,2022-06-06
