StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
臺東,21.1,28.3,2019-01-01
臺東,21.1,28.3,2019-01-02
臺東,21.1,28.3,2019-01-03
臺東,21.1,28.3,2019-01-04
臺東,21.1,28.3,2019-01-05
臺東,21.1,28.3,2019-01-06
臺東,21.1,28.3,2019-01-07
臺東,21.1,28.3,2019-01-08
臺東,21.1,28.3,2019-01-09
臺東,21.1,28.3,2019-01-10
臺東,21.1,28.3,2019-01-11
臺東,21.1,28.3,2019-01-12
臺東,21.1,28.3,2019-01-13
臺東,21.1,28.3,2019-01-14
臺東,21.1,28.3,2019-01-15
臺東,21.1,28.3,2019-01-16
臺東,21.1,28.3,2019-01-17
臺東,21.1,28.3,2019-01-18
臺東,21.1,28.3,2019-01-19
臺東,21.1,28.3,2019-01-20
臺東,21.1,28.3,2019-01-21
臺東,21.1,28.3,2019-01-22
臺東,21.1,28.3,2019-01-23
臺東,21.1,28.3,2019-01-24
臺東,21.1,28.3,2019-01-25
臺東,21.1,28.3,2019-01-26
臺東,21.1,28.3,2019-01-27
臺東,21.1,28.3,2019-01-28
臺東,21.1,28.3,2019-01-29
臺東,21.1,28.3,2019-01-30
臺東,21.1,28.3,2019-01-31
臺東,22.8,29.2,2019-02-01
臺東,22.8,29.2,2019-02-02
臺東,22.8,29.2,2019-02-03
臺東,22.8,29.2,2019-02-04
臺東,22.8,29.2,2019-02-05
臺東,22.8,29.2,2019-02-06
臺東,22.8,29.2,2019-02-07
臺東,22.8,29.2,2019-02-08
臺東,22.8,29.2,2019-02-09
臺東,22.8,29.2,2019-02-10
臺東,22.8,29.2,2019-02-11
臺東,22.8,29.2,2019-02-12
臺東,22.8,29.2,2019-02-13
臺東,22.8,29.2,2019-02-14
臺東,22.8,29.2,2019-02-15
臺東,22.8,29.2,2019-02-16
臺東,22.8,29.2,2019-02-17
臺東,22.8,29.2,2019-02-18
臺東,22.8,29.2,2019-02-19
臺東,22.8,29.2,2019-02-20
臺東,22.8,29.2,2019-02-21
臺東,22.8,29.2,2019-02-22
臺東,22.8,29.2,2019-02-23
臺東,22.8,29.2,2019-02-24
臺東,22.8,29.2,2019-02-25
臺東,22.8,29.2,2019-02-26
臺東,22.8,29.2,2019-02-27
臺東,22.8,29.2,2019-02-28
臺東,22.6,31.8,2019-03-01
臺東,22.6,31.8,2019-03-02
臺東,22.6,31.8,2019-03-03
臺東,22.6,31.8,2019-03-04
臺東,22.6,31.8,2019-03-05
臺東,22.6,31.8,2019-03-06
臺東,22.6,31.8,2019-03-07
臺東,22.6,31.8,2019-03-08
臺東,22.6,31.8,2019-03-09
臺東,22.6,31.8,2019-03-10
臺東,22.6,31.8,2019-03-11
臺東,22.6,31.8,2019-03-12
臺東,22.6,31.8,2019-03-13
臺東,22.6,31.8,2019-03-14
