StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
花蓮,19.5,27.2,2020-01-01
花蓮,19.5,27.2,2020-01-02
花蓮,19.5,27.2,2020-01-03
花蓮,19.5,27.2,2020-01-04
花蓮,19.5,27.2,2020-01-05
花蓮,19.5,27.2,2020-01-06
花蓮,19.5,27.2,2020-01-07
花蓮,19.5,27.2,2020-01-08
花蓮,19.5,27.2,2020-01-09
花蓮,19.5,27.2,2020-01-10
花蓮,19.5,27.2,2020-01-11
花蓮,19.5,27.2,2020-01-12
花蓮,19.5,27.2,2020-01-13
花蓮,19.5,27.2,2020-01-14
花蓮,19.5,27.2,2020-01-15
花蓮,19.5,27.2,2020-01-16
花蓮,19.5,27.2,2020-01-17
花蓮,19.5,27.2,2020-01-18
花蓮,19.5,27.2,2020-01-19
花蓮,19.5,27.2,2020-01-20
花蓮,19.5,27.2,2020-01-21
花蓮,19.5,27.2,2020-01-22
花蓮,19.5,27.2,2020-01-23
花蓮,19.5,27.2,2020-01-24
花蓮,19.5,27.2,2020-01-25
花蓮,19.5,27.2,2020-01-26
花蓮,19.5,27.2,2020-01-27
花蓮,19.5,27.2,2020-01-28
花蓮,19.5,27.2,2020-01-29
花蓮,19.5,27.2,2020-01-30
花蓮,19.5,27.2,2020-01-31
花蓮,19.6,27.8,2020-02-01
花蓮,19.6,27.8,2020-02-02
花蓮,19.6,27.8,2020-02-03
花蓮,19.6,27.8,2020-02-04
花蓮,19.6,27.8,2020-02-05
花蓮,19.6,27.8,2020-02-06
花蓮,19.6,27.8,2020-02-07
花蓮,19.6,27.8,2020-02-08
花蓮,19.6,27.8,2020-02-09
花蓮,19.6,27.8,2020-02-10
花蓮,19.6,27.8,2020-02-11
花蓮,19.6,27.8,2020-02-12
花蓮,19.6,27.8,2020-02-13
花蓮,19.6,27.8,2020-02-14
花蓮,19.6,27.8,2020-02-15
花蓮,19.6,27.8,2020-02-16
花蓮,19.6,27.8,2020-02-17
花蓮,19.6,27.8,2020-02-18
花蓮,19.6,27.8,2020-02-19
花蓮,19.6,27.8,2020-02-20
花蓮,19.6,27.8,2020-02-21
花蓮,19.6,27.8,2020-02-22
花蓮,19.6,27.8,2020-02-23
花蓮,19.6,27.8,2020-02-24
花蓮,19.6,27.8,2020-02-25
花蓮,19.6,27.8,2020-02-26
花蓮,19.6,27.8,2020-02-27
花蓮,19.6,27.8,2020-02-28
花蓮,19.6,27.8,2020-02-29
花蓮,21.4,29.5,2020-03-01
花蓮,21.4,29.5,2020-03-02
花蓮,21.4,29.5,2020-03-03
花蓮,21.4,29.5,2020-03-04
花蓮,21.4,29.5,2020-03-05
花蓮,21.4,29.5,2020-03-06
花蓮,21.4,29.5,2020-03-07
花蓮,21.4,29.5,2020-03-08
花蓮,21.4,29.5,2020-03-09
花蓮,21.4,29.5,2020-03-10
花蓮,21.4,29.5,2020-03-11
花蓮,21.4,29.5,2020-03-12
花蓮,21.4,29.5,2020-03-13
花蓮,21.4,29.5,2020-03-14
花蓮,21.4,29.5,2020-03-15
花蓮,21.4,29.5,2020-03-16
花蓮,21.4,29.5,2020-03-17
花蓮,21.4,29.5,2020-03-18
花蓮,21.4,29.5,2020-03-19
花蓮,21.4,29.5,2020-03-20
花蓮,21.4,29.5,2020-03-21
花蓮,21.4,29.5,2020-03-22
花蓮,21.4,29.5,2020-03-23
花蓮,21.4,29.5,2020-03-24
花蓮,21.4,29.5,2020-03-25
花蓮,21.4,29.5,2020-03-26
花蓮,21.4,29.5,2020-03-27
花蓮,21.4,29.5,2020-03-28
花蓮,21.4,29.5,2020-03-29
花蓮,21.4,29.5,2020-03-30
花蓮,21.4,29.5,2020-03-31
花蓮,21.5,30.1,2020-04-01
花蓮,21.5,30.1,2020-04-02
花蓮,21.5,30.1,2020-04-03
花蓮,21.5,30.1,2020-04-04
花蓮,21.5,30.1,2020-04-05
花蓮,21.5,30.1,2020-04-06
花蓮,21.5,30.1,2020-04-07
花蓮,21.5,30.1,2020-04-08
花蓮,21.5,30.1,2020-04-09
花蓮,21.5,30.1,2020-04-10
花蓮,21.5,30.1,2020-04-11
花蓮,21.5,30.1,2020-04-12
花蓮,21.5,30.1,2020-04-13
花蓮,21.5,30.1,2020-04-14
花蓮,21.5,30.1,2020-04-15
花蓮,21.5,30.1,2020-04-16
花蓮,21.5,30.1,2020-04-17
花蓮,21.5,30.1,2020-04-18
花蓮,21.5,30.1,2020-04-19
花蓮,21.5,30.1,2020-04-20
花蓮,21.5,30.1,2020-04-21
花蓮,21.5,30.1,2020-04-22
花蓮,21.5,30.1,2020-04-23
花蓮,21.5,30.1,2020-04-24
花蓮,21.5,30.1,2020-04-25
花蓮,21.5,30.1,2020-04-26
花蓮,21.5,30.1,2020-04-27
花蓮,21.5,30.1,2020-04-28
花蓮,21.5,30.1,2020-04-29
花蓮,21.5,30.1,2020-04-30
花蓮,26.1,32.8,2020-05-01
花蓮,26.1,32.8,2020-05-02
花蓮,26.1,32.8,2020-05-03
花蓮,26.1,32.8,2020-05-04
花蓮,26.1,32.8,2020-05-05
花蓮,26.1,32.8,2020-05-06
花蓮,26.1,32.8,2020-05-07
花蓮,26.1,32.8,2020-05-08
花蓮,26.1,32.8,2020-05-09
花蓮,26.1,32.8,2020-05-10
花蓮,26.1,32.8,2020-05-11
花蓮,26.1,32.8,2020-05-12
花蓮,26.1,32.8,2020-05-13
花蓮,26.1,32.8,2020-05-14
花蓮,26.1,32.8,2020-05-15
花蓮,26.1,32.8,2020-05-16
花蓮,26.1,32.8,2020-05-17
花蓮,26.1,32.8,2020-05-18
花蓮,26.1,32.8,2020-05-19
花蓮,26.1,32.8,2020-05-20
花蓮,26.1,32.8,2020-05-21
花蓮,26.1,32.8,2020-05-22
花蓮,26.1,32.8,2020-05-23
花蓮,26.1,32.8,2020-05-24
花蓮,26.1,32.8,2020-05-25
花蓮,26.1,32.8,2020-05-26
花蓮,26.1,32.8,2020-05-27
花蓮,26.1,32.8,2020-05-28
花蓮,26.1,32.8,2020-05-29
花蓮,26.1,32.8,2020-05-30
花蓮,26.1,32.8,2020-05-31
花蓮,29.3,34.7,2020-06-01
花蓮,29.3,34.7,2020-06-02
花蓮,29.3,34.7,2020-06-03
花蓮,29.3,34.7,2020-06-04
花蓮,29.3,34.7,2020-06-05
花蓮,29.3,34.7,2020-06-06
花蓮,29.3,34.7,2020-06-07
花蓮,29.3,34.7,2020-06-08
花蓮,29.3,34.7,2020-06-09
花蓮,29.3,34.7,2020-06-10
花蓮,29.3,34.7,2020-06-11
花蓮,29.3,34.7,2020-06-12
花蓮,29.3,34.7,2020-06-13
花蓮,29.3,34.7,2020-06-14
花蓮,29.3,34.7,2020-06-15
花蓮,29.3,34.7,2020-06-16
花蓮,29.3,34.7,2020-06-17
花蓮,29.3,34.7,2020-06-18
花蓮,29.3,34.7,2020-06-19
花蓮,29.3,34.7,2020-06-20
花蓮,29.3,34.7,2020-06-21
花蓮,29.3,34.7,2020-06-22
花蓮,29.3,34.7,2020-06-23
花蓮,29.3,34.7,2020-06-24
花蓮,29.3,34.7,2020-06-25
花蓮,29.3,34.7,2020-06-26
花蓮,29.3,34.7,2020-06-27
花蓮,29.3,34.7,2020-06-28
花蓮,29.3,34.7,2020-06-29
花蓮,29.3,34.7,2020-06-30
花蓮,29.5,35.3,2020-07-01
花蓮,29.5,35.3,2020-07-02
花蓮,29.5,35.3,2020-07-03
花蓮,29.5,35.3,2020-07-04
花蓮,29.5,35.3,2020-07-05
花蓮,29.5,35.3,2020-07-06
花蓮,29.5,35.3,2020-07-07
花蓮,29.5,35.3,2020-07-08
花蓮,29.5,35.3,2020-07-09
花蓮,29.5,35.3,2020-07-10
花蓮,29.5,35.3,2020-07-11
花蓮,29.5,35.3,2020-07-12
花蓮,29.5,35.3,2020-07-13
花蓮,29.5,35.3,2020-07-14
花蓮,29.5,35.3,2020-07-15
花蓮,29.5,35.3,2020-07-16
花蓮,29.5,35.3,2020-07-17
花蓮,29.5,35.3,2020-07-18
花蓮,29.5,35.3,2020-07-19
花蓮,29.5,35.3,2020-07-20
花蓮,29.5,35.3,2020-07-21
花蓮,29.5,35.3,2020-07-22
花蓮,29.5,35.3,2020-07-23
花蓮,29.5,35.3,2020-07-24
花蓮,29.5,35.3,2020-07-25
花蓮,29.5,35.3,2020-07-26
花蓮,29.5,35.3,2020-07-27
花蓮,29.5,35.3,2020-07-28
花蓮,29.5,35.3,2020-07-29
花蓮,29.5,35.3,2020-07-30
花蓮,29.5,35.3,2020-07-31
花蓮,29.1,34.1,2020-08-01
花蓮,29.1,34.1,2020-08-02
花蓮,29.1,34.1,2020-08-03
花蓮,29.1,34.1,2020-08-04
花蓮,29.1,34.1,2020-08-05
花蓮,29.1,34.1,2020-08-06
花蓮,29.1,34.1,2020-08-07
花蓮,29.1,34.1,2020-08-08
花蓮,29.1,34.1,2020-08-09
花蓮,29.1,34.1,2020-08-10
花蓮,29.1,34.1,2020-08-11
花蓮,29.1,34.1,2020-08-12
花蓮,29.1,34.1,2020-08-13
花蓮,29.1,34.1,2020-08-14
花蓮,29.1,34.1,2020-08-15
花蓮,29.1,34.1,2020-08-16
花蓮,29.1,34.1,2020-08-17
花蓮,29.1,34.1,2020-08-18
花蓮,29.1,34.1,2020-08-19
花蓮,29.1,34.1,2020-08-20
花蓮,29.1,34.1,2020-08-21
花蓮,29.1,34.1,2020-08-22
花蓮,29.1,34.1,2020-08-23
花蓮,29.1,34.1,2020-08-24
花蓮,29.1,34.1,2020-08-25
花蓮,29.1,34.1,2020-08-26
花蓮,29.1,34.1,2020-08-27
花蓮,29.1,34.1,2020-08-28
花蓮,29.1,34.1,2020-08-29
花蓮,29.1,34.1,2020-08-30
花蓮,29.1,34.1,2020-08-31
花蓮,27.4,34.0,2020-09-01
花蓮,27.4,34.0,2020-09-02
花蓮,27.4,34.0,2020-09-03
花蓮,27.4,34.0,2020-09-04
花蓮,27.4,34.0,2020-09-05
花蓮,27.4,34.0,2020-09-06
花蓮,27.4,34.0,2020-09-07
花蓮,27.4,34.0,2020-09-08
花蓮,27.4,34.0,2020-09-09
花蓮,27.4,34.0,2020-09-10
花蓮,27.4,34.0,2020-09-11
花蓮,27.4,34.0,2020-09-12
花蓮,27.4,34.0,2020-09-13
花蓮,27.4,34.0,2020-09-14
花蓮,27.4,34.0,2020-09-15
花蓮,27.4,34.0,2020-09-16
花蓮,27.4,34.0,2020-09-17
花蓮,27.4,34.0,2020-09-18
花蓮,27.4,34.0,2020-09-19
花蓮,27.4,34.0,2020-09-20
花蓮,27.4,34.0,2020-09-21
花蓮,27.4,34.0,2020-09-22
花蓮,27.4,34.0,2020-09-23
花蓮,27.4,34.0,2020-09-24
花蓮,27.4,34.0,2020-09-25
花蓮,27.4,34.0,2020-09-26
花蓮,27.4,34.0,2020-09-27
