StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
蘇澳,18.1,26.0,2020-01-01
蘇澳,18.1,26.0,2020-01-02
蘇澳,18.1,26.0,2020-01-03
蘇澳,18.1,26.0,2020-01-04
蘇澳,18.1,26.0,2020-01-05
蘇澳,18.1,26.0,2020-01-06
蘇澳,18.1,26.0,2020-01-07
蘇澳,18.1,26.0,2020-01-08
蘇澳,18.1,26.0,2020-01-09
蘇澳,18.1,26.0,2020-01-10
蘇澳,18.1,26.0,2020-01-11
蘇澳,18.1,26.0,2020-01-12
蘇澳,18.1,26.0,2020-01-13
蘇澳,18.1,26.0,2020-01-14
蘇澳,18.1,26.0,2020-01-15
蘇澳,18.1,26.0,2020-01-16
蘇澳,18.1,26.0,2020-01-17
蘇澳,18.1,26.0,2020-01-18
蘇澳,18.1,26.0,2020-01-19
蘇澳,18.1,26.0,2020-01-20
蘇澳,18.1,26.0,2020-01-21
蘇澳,18.1,26.0,2020-01-22
蘇澳,18.1,26.0,2020-01-23
蘇澳,18.1,26.0,2020-01-24
蘇澳,18.1,26.0,2020-01-25
蘇澳,18.1,26.0,2020-01-26
蘇澳,18.1,26.0,2020-01-27
蘇澳,18.1,26.0,2020-01-28
蘇澳,18.1,26.0,2020-01-29
蘇澳,18.1,26.0,2020-01-30
蘇澳,18.1,26.0,2020-01-31
蘇澳,18.2,27.1,2020-02-01
蘇澳,18.2,27.1,2020-02-02
蘇澳,18.2,27.1,2020-02-03
蘇澳,18.2,27.1,2020-02-04
蘇澳,18.2,27.1,2020-02-05
蘇澳,18.2,27.1,2020-02-06
蘇澳,18.2,27.1,2020-02-07
蘇澳,18.2,27.1,2020-02-08
蘇澳,18.2,27.1,2020-02-09
蘇澳,18.2,27.1,2020-02-10
蘇澳,18.2,27.1,2020-02-11
蘇澳,18.2,27.1,2020-02-12
蘇澳,18.2,27.1,2020-02-13
蘇澳,18.2,27.1,2020-02-14
蘇澳,18.2,27.1,2020-02-15
蘇澳,18.2,27.1,2020-02-16
蘇澳,18.2,27.1,2020-02-17
蘇澳,18.2,27.1,2020-02-18
蘇澳,18.2,27.1,2020-02-19
蘇澳,18.2,27.1,2020-02-20
蘇澳,18.2,27.1,2020-02-21
蘇澳,18.2,27.1,2020-02-22
蘇澳,18.2,27.1,2020-02-23
蘇澳,18.2,27.1,2020-02-24
蘇澳,18.2,27.1,2020-02-25
蘇澳,18.2,27.1,2020-02-26
蘇澳,18.2,27.1,2020-02-27
蘇澳,18.2,27.1,2020-02-28
蘇澳,18.2,27.1,2020-02-29
蘇澳,20.0,28.7,2020-03-01
蘇澳,20.0,28.7,2020-03-02
蘇澳,20.0,28.7,2020-03-03
蘇澳,20.0,28.7,2020-03-04
蘇澳,20.0,28.7,2020-03-05
蘇澳,20.0,28.7,2020-03-06
蘇澳,20.0,28.7,2020-03-07
蘇澳,20.0,28.7,2020-03-08
蘇澳,20.0,28.7,2020-03-09
蘇澳,20.0,28.7,2020-03-10
蘇澳,20.0,28.7,2020-03-11
蘇澳,20.0,28.7,2020-03-12
蘇澳,20.0,28.7,2020-03-13
蘇澳,20.0,28.7,2020-03-14
蘇澳,20.0,28.7,2020-03-15
蘇澳,20.0,28.7,2020-03-16
蘇澳,20.0,28.7,2020-03-17
蘇澳,20.0,28.7,2020-03-18
蘇澳,20.0,28.7,2020-03-19
蘇澳,20.0,28.7,2020-03-20
蘇澳,20.0,28.7,2020-03-21
蘇澳,20.0,28.7,2020-03-22
蘇澳,20.0,28.7,2020-03-23
蘇澳,20.0,28.7,2020-03-24
蘇澳,20.0,28.7,2020-03-25
蘇澳,20.0,28.7,2020-03-26
蘇澳,20.0,28.7,2020-03-27
蘇澳,20.0,28.7,2020-03-28
蘇澳,20.0,28.7,2020-03-29
蘇澳,20.0,28.7,2020-03-30
蘇澳,20.0,28.7,2020-03-31
蘇澳,20.3,30.7,2020-04-01
蘇澳,20.3,30.7,2020-04-02
蘇澳,20.3,30.7,2020-04-03
蘇澳,20.3,30.7,2020-04-04
蘇澳,20.3,30.7,2020-04-05
蘇澳,20.3,30.7,2020-04-06
蘇澳,20.3,30.7,2020-04-07
蘇澳,20.3,30.7,2020-04-08
蘇澳,20.3,30.7,2020-04-09
蘇澳,20.3,30.7,2020-04-10
蘇澳,20.3,30.7,2020-04-11
蘇澳,20.3,30.7,2020-04-12
蘇澳,20.3,30.7,2020-04-13
蘇澳,20.3,30.7,2020-04-14
蘇澳,20.3,30.7,2020-04-15
蘇澳,20.3,30.7,2020-04-16
蘇澳,20.3,30.7,2020-04-17
蘇澳,20.3,30.7,2020-04-18
蘇澳,20.3,30.7,2020-04-19
蘇澳,20.3,30.7,2020-04-20
蘇澳,20.3,30.7,2020-04-21
蘇澳,20.3,30.7,2020-04-22
蘇澳,20.3,30.7,2020-04-23
蘇澳,20.3,30.7,2020-04-24
蘇澳,20.3,30.7,2020-04-25
蘇澳,20.3,30.7,2020-04-26
蘇澳,20.3,30.7,2020-04-27
蘇澳,20.3,30.7,2020-04-28
蘇澳,20.3,30.7,2020-04-29
蘇澳,20.3,30.7,2020-04-30
蘇澳,25.5,31.4,2020-05-01
蘇澳,25.5,31.4,2020-05-02
蘇澳,25.5,31.4,2020-05-03
蘇澳,25.5,31.4,2020-05-04
蘇澳,25.5,31.4,2020-05-05
蘇澳,25.5,31.4,2020-05-06
蘇澳,25.5,31.4,2020-05-07
蘇澳,25.5,31.4,2020-05-08
蘇澳,25.5,31.4,2020-05-09
蘇澳,25.5,31.4,2020-05-10
蘇澳,25.5,31.4,2020-05-11
蘇澳,25.5,31.4,2020-05-12
蘇澳,25.5,31.4,2020-05-13
蘇澳,25.5,31.4,2020-05-14
蘇澳,25.5,31.4,2020-05-15
蘇澳,25.5,31.4,2020-05-16
蘇澳,25.5,31.4,2020-05-17
蘇澳,25.5,31.4,2020-05-18
蘇澳,25.5,31.4,2020-05-19
蘇澳,25.5,31.4,2020-05-20
蘇澳,25.5,31.4,2020-05-21
蘇澳,25.5,31.4,2020-05-22
蘇澳,25.5,31.4,2020-05-23
蘇澳,25.5,31.4,2020-05-24
蘇澳,25.5,31.4,2020-05-25
蘇澳,25.5,31.4,2020-05-26
蘇澳,25.5,31.4,2020-05-27
蘇澳,25.5,31.4,2020-05-28
蘇澳,25.5,31.4,2020-05-29
蘇澳,25.5,31.4,2020-05-30
蘇澳,25.5,31.4,2020-05-31
蘇澳,28.8,34.7,2020-06-01
蘇澳,28.8,34.7,2020-06-02
蘇澳,28.8,34.7,2020-06-03
蘇澳,28.8,34.7,2020-06-04
蘇澳,28.8,34.7,2020-06-05
蘇澳,28.8,34.7,2020-06-06
蘇澳,28.8,34.7,2020-06-07
蘇澳,28.8,34.7,2020-06-08
蘇澳,28.8,34.7,2020-06-09
蘇澳,28.8,34.7,2020-06-10
蘇澳,28.8,34.7,2020-06-11
蘇澳,28.8,34.7,2020-06-12
蘇澳,28.8,34.7,2020-06-13
蘇澳,28.8,34.7,2020-06-14
蘇澳,28.8,34.7,2020-06-15
蘇澳,28.8,34.7,2020-06-16
蘇澳,28.8,34.7,2020-06-17
蘇澳,28.8,34.7,2020-06-18
蘇澳,28.8,34.7,2020-06-19
蘇澳,28.8,34.7,2020-06-20
蘇澳,28.8,34.7,2020-06-21
蘇澳,28.8,34.7,2020-06-22
蘇澳,28.8,34.7,2020-06-23
蘇澳,28.8,34.7,2020-06-24
蘇澳,28.8,34.7,2020-06-25
蘇澳,28.8,34.7,2020-06-26
蘇澳,28.8,34.7,2020-06-27
蘇澳,28.8,34.7,2020-06-28
蘇澳,28.8,34.7,2020-06-29
蘇澳,28.8,34.7,2020-06-30
蘇澳,29.4,34.3,2020-07-01
蘇澳,29.4,34.3,2020-07-02
蘇澳,29.4,34.3,2020-07-03
蘇澳,29.4,34.3,2020-07-04
蘇澳,29.4,34.3,2020-07-05
