StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
蘭嶼,19.7,27.0,2019-01-01
蘭嶼,19.7,27.0,2019-01-02
蘭嶼,19.7,27.0,2019-01-03
蘭嶼,19.7,27.0,2019-01-04
蘭嶼,19.7,27.0,2019-01-05
蘭嶼,19.7,27.0,2019-01-06
蘭嶼,19.7,27.0,2019-01-07
蘭嶼,19.7,27.0,2019-01-08
蘭嶼,19.7,27.0,2019-01-09
蘭嶼,19.7,27.0,2019-01-10
蘭嶼,19.7,27.0,2019-01-11
蘭嶼,19.7,27.0,2019-01-12
蘭嶼,19.7,27.0,2019-01-13
蘭嶼,19.7,27.0,2019-01-14
蘭嶼,19.7,27.0,2019-01-15
蘭嶼,19.7,27.0,2019-01-16
蘭嶼,19.7,27.0,2019-01-17
蘭嶼,19.7,27.0,2019-01-18
蘭嶼,19.7,27.0,2019-01-19
蘭嶼,19.7,27.0,2019-01-20
蘭嶼,19.7,27.0,2019-01-21
蘭嶼,19.7,27.0,2019-01-22
蘭嶼,19.7,27.0,2019-01-23
蘭嶼,19.7,27.0,2019-01-24
蘭嶼,19.7,27.0,2019-01-25
蘭嶼,19.7,27.0,2019-01-26
蘭嶼,19.7,27.0,2019-01-27
蘭嶼,19.7,27.0,2019-01-28
蘭嶼,19.7,27.0,2019-01-29
蘭嶼,19.7,27.0,2019-01-30
蘭嶼,19.7,27.0,2019-01-31
蘭嶼,21.2,27.1,2019-02-01
蘭嶼,21.2,27.1,2019-02-02
蘭嶼,21.2,27.1,2019-02-03
蘭嶼,21.2,27.1,2019-02-04
蘭嶼,21.2,27.1,2019-02-05
蘭嶼,21.2,27.1,2019-02-06
蘭嶼,21.2,27.1,2019-02-07
蘭嶼,21.2,27.1,2019-02-08
蘭嶼,21.2,27.1,2019-02-09
蘭嶼,21.2,27.1,2019-02-10
蘭嶼,21.2,27.1,2019-02-11
蘭嶼,21.2,27.1,2019-02-12
蘭嶼,21.2,27.1,2019-02-13
蘭嶼,21.2,27.1,2019-02-14
蘭嶼,21.2,27.1,2019-02-15
蘭嶼,21.2,27.1,2019-02-16
蘭嶼,21.2,27.1,2019-02-17
蘭嶼,21.2,27.1,2019-02-18
蘭嶼,21.2,27.1,2019-02-19
蘭嶼,21.2,27.1,2019-02-20
蘭嶼,21.2,27.1,2019-02-21
蘭嶼,21.2,27.1,2019-02-22
蘭嶼,21.2,27.1,2019-02-23
蘭嶼,21.2,27.1,2019-02-24
蘭嶼,21.2,27.1,2019-02-25
蘭嶼,21.2,27.1,2019-02-26
蘭嶼,21.2,27.1,2019-02-27
蘭嶼,21.2,27.1,2019-02-28
蘭嶼,21.2,26.4,2019-03-01
蘭嶼,21.2,26.4,2019-03-02
蘭嶼,21.2,26.4,2019-03-03
蘭嶼,21.2,26.4,2019-03-04
蘭嶼,21.2,26.4,2019-03-05
蘭嶼,21.2,26.4,2019-03-06
蘭嶼,21.2,26.4,2019-03-07
蘭嶼,21.2,26.4,2019-03-08
蘭嶼,21.2,26.4,2019-03-09
蘭嶼,21.2,26.4,2019-03-10
蘭嶼,21.2,26.4,2019-03-11
蘭嶼,21.2,26.4,2019-03-12
蘭嶼,21.2,26.4,2019-03-13
蘭嶼,21.2,26.4,2019-03-14
蘭嶼,21.2,26.4,2019-03-15
蘭嶼,21.2,26.4,2019-03-16
蘭嶼,21.2,26.4,2019-03-17
蘭嶼,21.2,26.4,2019-03-18
蘭嶼,21.2,26.4,2019-03-19
蘭嶼,21.2,26.4,2019-03-20
蘭嶼,21.2,26.4,2019-03-21
蘭嶼,21.2,26.4,2019-03-22
蘭嶼,21.2,26.4,2019-03-23
蘭嶼,21.2,26.4,2019-03-24
蘭嶼,21.2,26.4,2019-03-25
蘭嶼,21.2,26.4,2019-03-26
蘭嶼,21.2,26.4,2019-03-27
蘭嶼,21.2,26.4,2019-03-28
蘭嶼,21.2,26.4,2019-03-29
蘭嶼,21.2,26.4,2019-03-30
蘭嶼,21.2,26.4,2019-03-31
蘭嶼,23.6,28.9,2019-04-01
蘭嶼,23.6,28.9,2019-04-02
蘭嶼,23.6,28.9,2019-04-03
蘭嶼,23.6,28.9,2019-04-04
蘭嶼,23.6,28.9,2019-04-05
蘭嶼,23.6,28.9,2019-04-06
蘭嶼,23.6,28.9,2019-04-07
蘭嶼,23.6,28.9,2019-04-08
蘭嶼,23.6,28.9,2019-04-09
蘭嶼,23.6,28.9,2019-04-10
蘭嶼,23.6,28.9,2019-04-11
蘭嶼,23.6,28.9,2019-04-12
蘭嶼,23.6,28.9,2019-04-13
蘭嶼,23.6,28.9,2019-04-14
蘭嶼,23.6,28.9,2019-04-15
蘭嶼,23.6,28.9,2019-04-16
蘭嶼,23.6,28.9,2019-04-17
蘭嶼,23.6,28.9,2019-04-18
蘭嶼,23.6,28.9,2019-04-19
蘭嶼,23.6,28.9,2019-04-20
蘭嶼,23.6,28.9,2019-04-21
蘭嶼,23.6,28.9,2019-04-22
蘭嶼,23.6,28.9,2019-04-23
蘭嶼,23.6,28.9,2019-04-24
蘭嶼,23.6,28.9,2019-04-25
蘭嶼,23.6,28.9,2019-04-26
蘭嶼,23.6,28.9,2019-04-27
蘭嶼,23.6,28.9,2019-04-28
蘭嶼,23.6,28.9,2019-04-29
蘭嶼,23.6,28.9,2019-04-30
蘭嶼,23.9,29.1,2019-05-01
蘭嶼,23.9,29.1,2019-05-02
蘭嶼,23.9,29.1,2019-05-03
蘭嶼,23.9,29.1,2019-05-04
蘭嶼,23.9,29.1,2019-05-05
蘭嶼,23.9,29.1,2019-05-06
蘭嶼,23.9,29.1,2019-05-07
蘭嶼,23.9,29.1,2019-05-08
蘭嶼,23.9,29.1,2019-05-09
蘭嶼,23.9,29.1,2019-05-10
蘭嶼,23.9,29.1,2019-05-11
蘭嶼,23.9,29.1,2019-05-12
蘭嶼,23.9,29.1,2019-05-13
蘭嶼,23.9,29.1,2019-05-14
蘭嶼,23.9,29.1,2019-05-15
蘭嶼,23.9,29.1,2019-05-16
蘭嶼,23.9,29.1,2019-05-17
蘭嶼,23.9,29.1,2019-05-18
蘭嶼,23.9,29.1,2019-05-19
蘭嶼,23.9,29.1,2019-05-20
蘭嶼,23.9,29.1,2019-05-21
蘭嶼,23.9,29.1,2019-05-22
蘭嶼,23.9,29.1,2019-05-23
蘭嶼,23.9,29.1,2019-05-24
蘭嶼,23.9,29.1,2019-05-25
蘭嶼,23.9,29.1,2019-05-26
蘭嶼,23.9,29.1,2019-05-27
蘭嶼,23.9,29.1,2019-05-28
蘭嶼,23.9,29.1,2019-05-29
蘭嶼,23.9,29.1,2019-05-30
蘭嶼,23.9,29.1,2019-05-31
蘭嶼,26.5,30.7,2019-06-01
蘭嶼,26.5,30.7,2019-06-02
蘭嶼,26.5,30.7,2019-06-03
蘭嶼,26.5,30.7,2019-06-04
蘭嶼,26.5,30.7,2019-06-05
蘭嶼,26.5,30.7,2019-06-06
蘭嶼,26.5,30.7,2019-06-07
蘭嶼,26.5,30.7,2019-06-08
蘭嶼,26.5,30.7,2019-06-09
蘭嶼,26.5,30.7,2019-06-10
蘭嶼,26.5,30.7,2019-06-11
蘭嶼,26.5,30.7,2019-06-12
蘭嶼,26.5,30.7,2019-06-13
蘭嶼,26.5,30.7,2019-06-14
蘭嶼,26.5,30.7,2019-06-15
蘭嶼,26.5,30.7,2019-06-16
蘭嶼,26.5,30.7,2019-06-17
蘭嶼,26.5,30.7,2019-06-18
蘭嶼,26.5,30.7,2019-06-19
蘭嶼,26.5,30.7,2019-06-20
蘭嶼,26.5,30.7,2019-06-21
蘭嶼,26.5,30.7,2019-06-22
蘭嶼,26.5,30.7,2019-06-23
蘭嶼,26.5,30.7,2019-06-24
蘭嶼,26.5,30.7,2019-06-25
蘭嶼,26.5,30.7,2019-06-26
蘭嶼,26.5,30.7,2019-06-27
蘭嶼,26.5,30.7,2019-06-28
蘭嶼,26.5,30.7,2019-06-29
蘭嶼,26.5,30.7,2019-06-30
蘭嶼,26.6,30.8,2019-07-01
蘭嶼,26.6,30.8,2019-07-02
蘭嶼,26.6,30.8,2019-07-03
蘭嶼,26.6,30.8,2019-07-04
蘭嶼,26.6,30.8,2019-07-05
蘭嶼,26.6,30.8,2019-07-06
蘭嶼,26.6,30.8,2019-07-07
蘭嶼,26.6,30.8,2019-07-08
蘭嶼,26.6,30.8,2019-07-09
蘭嶼,26.6,30.8,2019-07-10
蘭嶼,26.6,30.8,2019-07-11
蘭嶼,26.6,30.8,2019-07-12
蘭嶼,26.6,30.8,2019-07-13
蘭嶼,26.6,30.8,2019-07-14
蘭嶼,26.6,30.8,2019-07-15
蘭嶼,26.6,30.8,2019-07-16
蘭嶼,26.6,30.8,2019-07-17
蘭嶼,26.6,30.8,2019-07-18
蘭嶼,26.6,30.8,2019-07-19
蘭嶼,26.6,30.8,2019-07-20
蘭嶼,26.6,30.8,2019-07-21
蘭嶼,26.6,30.8,2019-07-22
蘭嶼,26.6,30.8,2019-07-23
蘭嶼,26.6,30.8,2019-07-24
蘭嶼,26.6,30.8,2019-07-25
蘭嶼,26.6,30.8,2019-07-26
蘭嶼,26.6,30.8,2019-07-27
蘭嶼,26.6,30.8,2019-07-28
蘭嶼,26.6,30.8,2019-07-29
蘭嶼,26.6,30.8,2019-07-30
蘭嶼,26.6,30.8,2019-07-31
蘭嶼,26.3,31.5,2019-08-01
蘭嶼,26.3,31.5,2019-08-02
蘭嶼,26.3,31.5,2019-08-03
蘭嶼,26.3,31.5,2019-08-04
蘭嶼,26.3,31.5,2019-08-05
蘭嶼,26.3,31.5,2019-08-06
蘭嶼,26.3,31.5,2019-08-07
蘭嶼,26.3,31.5,2019-08-08
蘭嶼,26.3,31.5,2019-08-09
蘭嶼,26.3,31.5,2019-08-10
蘭嶼,26.3,31.5,2019-08-11
蘭嶼,26.3,31.5,2019-08-12
蘭嶼,26.3,31.5,2019-08-13
蘭嶼,26.3,31.5,2019-08-14
蘭嶼,26.3,31.5,2019-08-15
蘭嶼,26.3,31.5,2019-08-16
蘭嶼,26.3,31.5,2019-08-17
蘭嶼,26.3,31.5,2019-08-18
蘭嶼,26.3,31.5,2019-08-19
蘭嶼,26.3,31.5,2019-08-20
蘭嶼,26.3,31.5,2019-08-21
蘭嶼,26.3,31.5,2019-08-22
蘭嶼,26.3,31.5,2019-08-23
蘭嶼,26.3,31.5,2019-08-24
蘭嶼,26.3,31.5,2019-08-25
蘭嶼,26.3,31.5,2019-08-26
蘭嶼,26.3,31.5,2019-08-27
蘭嶼,26.3,31.5,2019-08-28
蘭嶼,26.3,31.5,2019-08-29
蘭嶼,26.3,31.5,2019-08-30
蘭嶼,26.3,31.5,2019-08-31
蘭嶼,25.1,30.0,2019-09-01
蘭嶼,25.1,30.0,2019-09-02
蘭嶼,25.1,30.0,2019-09-03
蘭嶼,25.1,30.0,2019-09-04
蘭嶼,25.1,30.0,2019-09-05
蘭嶼,25.1,30.0,2019-09-06
蘭嶼,25.1,30.0,2019-09-07
蘭嶼,25.1,30.0,2019-09-08
蘭嶼,25.1,30.0,2019-09-09
蘭嶼,25.1,30.0,2019-09-10
蘭嶼,25.1,30.0,2019-09-11
蘭嶼,25.1,30.0,2019-09-12
蘭嶼,25.1,30.0,2019-09-13
蘭嶼,25.1,30.0,2019-09-14
蘭嶼,25.1,30.0,2019-09-15
蘭嶼,25.1,30.0,2019-09-16
蘭嶼,25.1,30.0,2019-09-17
蘭嶼,25.1,30.0,2019-09-18
蘭嶼,25.1,30.0,2019-09-19
