StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
金門,14.8,23.4,2022-01-01
金門,14.8,23.4,2022-01-02
金門,14.8,23.4,2022-01-03
金門,14.8,23.4,2022-01-04
金門,14.8,23.4,2022-01-05
金門,14.8,23.4,2022-01-06
金門,14.8,23.4,2022-01-07
金門,14.8,23.4,2022-01-08
金門,14.8,23.4,2022-01-09
金門,14.8,23.4,2022-01-10
金門,14.8,23.4,2022-01-11
金門,14.8,23.4,2022-01-12
金門,14.8,23.4,2022-01-13
金門,14.8,23.4,2022-01-14
金門,14.8,23.4,2022-01-15
金門,14.8,23.4,2022-01-16
金門,14.8,23.4,2022-01-17
金門,14.8,23.4,2022-01-18
金門,14.8,23.4,2022-01-19
金門,14.8,23.4,2022-01-20
金門,14.8,23.4,2022-01-21
金門,14.8,23.4,2022-01-22
金門,14.8,23.4,2022-01-23
金門,14.8,23.4,2022-01-24
金門,14.8,23.4,2022-01-25
金門,14.8,23.4,2022-01-26
金門,14.8,23.4,2022-01-27
金門,14.8,23.4,2022-01-28
金門,14.8,23.4,2022-01-29
金門,14.8,23.4,2022-01-30
金門,14.8,23.4,2022-01-31
金門,12.4,24.4,2022-02-01
金門,12.4,24.4,2022-02-02
金門,12.4,24.4,2022-02-03
金門,12.4,24.4,2022-02-04
金門,12.4,24.4,2022-02-05
金門,12.4,24.4,2022-02-06
金門,12.4,24.4,2022-02-07
金門,12.4,24.4,2022-02-08
金門,12.4,24.4,2022-02-09
金門,12.4,24.4,2022-02-10
金門,12.4,24.4,2022-02-11
金門,12.4,24.4,2022-02-12
金門,12.4,24.4,2022-02-13
金門,12.4,24.4,2022-02-14
金門,12.4,24.4,2022-02-15
金門,12.4,24.4,2022-02-16
金門,12.4,24.4,2022-02-17
金門,12.4,24.4,2022-02-18
金門,12.4,24.4,2022-02-19
金門,12.4,24.4,2022-02-20
金門,12.4,24.4,2022-02-21
金門,12.4,24.4,2022-02-22
金門,12.4,24.4,2022-02-23
金門,12.4,24.4,2022-02-24
金門,12.4,24.4,2022-02-25
金門,12.4,24.4,2022-02-26
金門,12.4,24.4,2022-02-27
金門,12.4,24.4,2022-02-28
金門,17.3,28.3,2022-03-01
金門,17.3,28.3,2022-03-02
金門,17.3,28.3,2022-03-03
金門,17.3,28.3,2022-03-04
金門,17.3,28.3,2022-03-05
金門,17.3,28.3,2022-03-06
金門,17.3,28.3,2022-03-07
金門,17.3,28.3,2022-03-08
金門,17.3,28.3,2022-03-09
金門,17.3,28.3,2022-03-10
金門,17.3,28.3,2022-03-11
金門,17.3,28.3,2022-03-12
金門,17.3,28.3,2022-03-13
金門,17.3,28.3,2022-03-14
金門,17.3,28.3,2022-03-15
金門,17.3,28.3,2022-03-16
金門,17.3,28.3,2022-03-17
金門,17.3,28.3,2022-03-18
金門,17.3,28.3,2022-03-19
金門,17.3,28.3,2022-03-20
金門,17.3,28.3,2022-03-21
金門,17.3,28.3,2022-03-22
金門,17.3,28.3,2022-03-23
金門,17.3,28.3,2022-03-24
金門,17.3,28.3,2022-03-25
金門,17.3,28.3,2022-03-26
金門,17.3,28.3,2022-03-27
金門,17.3,28.3,2022-03-28
金門,17.3,28.3,2022-03-29
金門,17.3,28.3,2022-03-30
金門,17.3,28.3,2022-03-31
金門,19.8,30.1,2022-04-01
金門,19.8,30.1,2022-04-02
金門,19.8,30.1,2022-04-03
金門,19.8,30.1,2022-04-04
金門,19.8,30.1,2022-04-05
金門,19.8,30.1,2022-04-06
金門,19.8,30.1,2022-04-07
金門,19.8,30.1,2022-04-08
金門,19.8,30.1,2022-04-09
金門,19.8,30.1,2022-04-10
金門,19.8,30.1,2022-04-11
金門,19.8,30.1,2022-04-12
金門,19.8,30.1,2022-04-13
金門,19.8,30.1,2022-04-14
金門,19.8,30.1,2022-04-15
金門,19.8,30.1,2022-04-16
金門,19.8,30.1,2022-04-17
金門,19.8,30.1,2022-04-18
金門,19.8,30.1,2022-04-19
金門,19.8,30.1,2022-04-20
金門,19.8,30.1,2022-04-21
金門,19.8,30.1,2022-04-22
金門,19.8,30.1,2022-04-23
金門,19.8,30.1,2022-04-24
金門,19.8,30.1,2022-04-25
金門,19.8,30.1,2022-04-26
金門,19.8,30.1,2022-04-27
金門,19.8,30.1,2022-04-28
金門,19.8,30.1,2022-04-29
金門,19.8,30.1,2022-04-30
金門,21.2,29.8,2022-05-01
金門,21.2,29.8,2022-05-02
金門,21.2,29.8,2022-05-03
金門,21.2,29.8,2022-05-04
金門,21.2,29.8,2022-05-05
金門,21.2,29.8,2022-05-06
金門,21.2,29.8,2022-05-07
金門,21.2,29.8,2022-05-08
金門,21.2,29.8,2022-05-09
金門,21.2,29.8,2022-05-10
金門,21.2,29.8,2022-05-11
金門,21.2,29.8,2022-05-12
金門,21.2,29.8,2022-05-13
