StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
阿里山,8.4,16.7,2018-01-01
阿里山,8.4,16.7,2018-01-02
阿里山,8.4,16.7,2018-01-03
阿里山,8.4,16.7,2018-01-04
阿里山,8.4,16.7,2018-01-05
阿里山,8.4,16.7,2018-01-06
阿里山,8.4,16.7,2018-01-07
阿里山,8.4,16.7,2018-01-08
阿里山,8.4,16.7,2018-01-09
阿里山,8.4,16.7,2018-01-10
阿里山,8.4,16.7,2018-01-11
阿里山,8.4,16.7,2018-01-12
阿里山,8.4,16.7,2018-01-13
阿里山,8.4,16.7,2018-01-14
阿里山,8.4,16.7,2018-01-15
阿里山,8.4,16.7,2018-01-16
阿里山,8.4,16.7,2018-01-17
阿里山,8.4,16.7,2018-01-18
阿里山,8.4,16.7,2018-01-19
阿里山,8.4,16.7,2018-01-20
阿里山,8.4,16.7,2018-01-21
阿里山,8.4,16.7,2018-01-22
阿里山,8.4,16.7,2018-01-23
阿里山,8.4,16.7,2018-01-24
阿里山,8.4,16.7,2018-01-25
阿里山,8.4,16.7,2018-01-26
阿里山,8.4,16.7,2018-01-27
阿里山,8.4,16.7,2018-01-28
阿里山,8.4,16.7,2018-01-29
阿里山,8.4,16.7,2018-01-30
阿里山,8.4,16.7,2018-01-31
阿里山,7.8,16.7,2018-02-01
阿里山,7.8,16.7,2018-02-02
阿里山,7.8,16.7,2018-02-03
阿里山,7.8,16.7,2018-02-04
阿里山,7.8,16.7,2018-02-05
阿里山,7.8,16.7,2018-02-06
阿里山,7.8,16.7,2018-02-07
阿里山,7.8,16.7,2018-02-08
阿里山,7.8,16.7,2018-02-09
阿里山,7.8,16.7,2018-02-10
阿里山,7.8,16.7,2018-02-11
阿里山,7.8,16.7,2018-02-12
阿里山,7.8,16.7,2018-02-13
阿里山,7.8,16.7,2018-02-14
阿里山,7.8,16.7,2018-02-15
阿里山,7.8,16.7,2018-02-16
阿里山,7.8,16.7,2018-02-17
阿里山,7.8,16.7,2018-02-18
阿里山,7.8,16.7,2018-02-19
阿里山,7.8,16.7,2018-02-20
阿里山,7.8,16.7,2018-02-21
阿里山,7.8,16.7,2018-02-22
阿里山,7.8,16.7,2018-02-23
阿里山,7.8,16.7,2018-02-24
阿里山,7.8,16.7,2018-02-25
阿里山,7.8,16.7,2018-02-26
阿里山,7.8,16.7,2018-02-27
阿里山,7.8,16.7,2018-02-28
阿里山,8.9,18.6,2018-03-01
阿里山,8.9,18.6,2018-03-02
阿里山,8.9,18.6,2018-03-03
阿里山,8.9,18.6,2018-03-04
阿里山,8.9,18.6,2018-03-05
阿里山,8.9,18.6,2018-03-06
阿里山,8.9,18.6,2018-03-07
阿里山,8.9,18.6,2018-03-08
阿里山,8.9,18.6,2018-03-09
阿里山,8.9,18.6,2018-03-10
阿里山,8.9,18.6,2018-03-11
阿里山,8.9,18.6,2018-03-12
阿里山,8.9,18.6,2018-03-13
阿里山,8.9,18.6,2018-03-14
阿里山,8.9,18.6,2018-03-15
阿里山,8.9,18.6,2018-03-16
阿里山,8.9,18.6,2018-03-17
阿里山,8.9,18.6,2018-03-18
阿里山,8.9,18.6,2018-03-19
阿里山,8.9,18.6,2018-03-20
阿里山,8.9,18.6,2018-03-21
阿里山,8.9,18.6,2018-03-22
阿里山,8.9,18.6,2018-03-23
阿里山,8.9,18.6,2018-03-24
阿里山,8.9,18.6,2018-03-25
阿里山,8.9,18.6,2018-03-26
阿里山,8.9,18.6,2018-03-27
阿里山,8.9,18.6,2018-03-28
阿里山,8.9,18.6,2018-03-29
阿里山,8.9,18.6,2018-03-30
阿里山,8.9,18.6,2018-03-31
阿里山,12.0,19.3,2018-04-01
阿里山,12.0,19.3,2018-04-02
阿里山,12.0,19.3,2018-04-03
阿里山,12.0,19.3,2018-04-04
阿里山,12.0,19.3,2018-04-05
阿里山,12.0,19.3,2018-04-06
阿里山,12.0,19.3,2018-04-07
阿里山,12.0,19.3,2018-04-08
阿里山,12.0,19.3,2018-04-09
阿里山,12.0,19.3,2018-04-10
阿里山,12.0,19.3,2018-04-11
阿里山,12.0,19.3,2018-04-12
阿里山,12.0,19.3,2018-04-13
阿里山,12.0,19.3,2018-04-14
阿里山,12.0,19.3,2018-04-15
阿里山,12.0,19.3,2018-04-16
阿里山,12.0,19.3,2018-04-17
阿里山,12.0,19.3,2018-04-18
阿里山,12.0,19.3,2018-04-19
阿里山,12.0,19.3,2018-04-20
阿里山,12.0,19.3,2018-04-21
阿里山,12.0,19.3,2018-04-22
阿里山,12.0,19.3,2018-04-23
阿里山,12.0,19.3,2018-04-24
阿里山,12.0,19.3,2018-04-25
阿里山,12.0,19.3,2018-04-26
阿里山,12.0,19.3,2018-04-27
阿里山,12.0,19.3,2018-04-28
阿里山,12.0,19.3,2018-04-29
阿里山,12.0,19.3,2018-04-30
阿里山,14.1,20.8,2018-05-01
阿里山,14.1,20.8,2018-05-02
阿里山,14.1,20.8,2018-05-03
阿里山,14.1,20.8,2018-05-04
阿里山,14.1,20.8,2018-05-05
阿里山,14.1,20.8,2018-05-06
阿里山,14.1,20.8,2018-05-07
阿里山,14.1,20.8,2018-05-08
阿里山,14.1,20.8,2018-05-09
阿里山,14.1,20.8,2018-05-10
阿里山,14.1,20.8,2018-05-11
阿里山,14.1,20.8,2018-05-12
阿里山,14.1,20.8,2018-05-13
阿里山,14.1,20.8,2018-05-14
阿里山,14.1,20.8,2018-05-15
阿里山,14.1,20.8,2018-05-16
阿里山,14.1,20.8,2018-05-17
阿里山,14.1,20.8,2018-05-18
阿里山,14.1,20.8,2018-05-19
阿里山,14.1,20.8,2018-05-20
阿里山,14.1,20.8,2018-05-21
阿里山,14.1,20.8,2018-05-22
阿里山,14.1,20.8,2018-05-23
阿里山,14.1,20.8,2018-05-24
阿里山,14.1,20.8,2018-05-25
阿里山,14.1,20.8,2018-05-26
阿里山,14.1,20.8,2018-05-27
阿里山,14.1,20.8,2018-05-28
阿里山,14.1,20.8,2018-05-29
阿里山,14.1,20.8,2018-05-30
阿里山,14.1,20.8,2018-05-31
阿里山,14.4,22.0,2018-06-01
阿里山,14.4,22.0,2018-06-02
阿里山,14.4,22.0,2018-06-03
阿里山,14.4,22.0,2018-06-04
阿里山,14.4,22.0,2018-06-05
阿里山,14.4,22.0,2018-06-06
阿里山,14.4,22.0,2018-06-07
阿里山,14.4,22.0,2018-06-08
阿里山,14.4,22.0,2018-06-09
阿里山,14.4,22.0,2018-06-10
阿里山,14.4,22.0,2018-06-11
阿里山,14.4,22.0,2018-06-12
阿里山,14.4,22.0,2018-06-13
阿里山,14.4,22.0,2018-06-14
阿里山,14.4,22.0,2018-06-15
阿里山,14.4,22.0,2018-06-16
阿里山,14.4,22.0,2018-06-17
阿里山,14.4,22.0,2018-06-18
阿里山,14.4,22.0,2018-06-19
阿里山,14.4,22.0,2018-06-20
阿里山,14.4,22.0,2018-06-21
阿里山,14.4,22.0,2018-06-22
阿里山,14.4,22.0,2018-06-23
阿里山,14.4,22.0,2018-06-24
阿里山,14.4,22.0,2018-06-25
阿里山,14.4,22.0,2018-06-26
阿里山,14.4,22.0,2018-06-27
阿里山,14.4,22.0,2018-06-28
阿里山,14.4,22.0,2018-06-29
阿里山,14.4,22.0,2018-06-30
阿里山,14.2,22.9,2018-07-01
阿里山,14.2,22.9,2018-07-02
阿里山,14.2,22.9,2018-07-03
阿里山,14.2,22.9,2018-07-04
阿里山,14.2,22.9,2018-07-05
阿里山,14.2,22.9,2018-07-06
阿里山,14.2,22.9,2018-07-07
阿里山,14.2,22.9,2018-07-08
阿里山,14.2,22.9,2018-07-09
阿里山,14.2,22.9,2018-07-10
阿里山,14.2,22.9,2018-07-11
阿里山,14.2,22.9,2018-07-12
阿里山,14.2,22.9,2018-07-13
阿里山,14.2,22.9,2018-07-14
阿里山,14.2,22.9,2018-07-15
阿里山,14.2,22.9,2018-07-16
阿里山,14.2,22.9,2018-07-17
阿里山,14.2,22.9,2018-07-18
阿里山,14.2,22.9,2018-07-19
阿里山,14.2,22.9,2018-07-20
阿里山,14.2,22.9,2018-07-21
阿里山,14.2,22.9,2018-07-22
阿里山,14.2,22.9,2018-07-23
阿里山,14.2,22.9,2018-07-24
阿里山,14.2,22.9,2018-07-25
阿里山,14.2,22.9,2018-07-26
阿里山,14.2,22.9,2018-07-27
阿里山,14.2,22.9,2018-07-28
阿里山,14.2,22.9,2018-07-29
阿里山,14.2,22.9,2018-07-30
阿里山,14.2,22.9,2018-07-31
阿里山,14.1,20.2,2018-08-01
阿里山,14.1,20.2,2018-08-02
阿里山,14.1,20.2,2018-08-03
阿里山,14.1,20.2,2018-08-04
阿里山,14.1,20.2,2018-08-05
阿里山,14.1,20.2,2018-08-06
阿里山,14.1,20.2,2018-08-07
阿里山,14.1,20.2,2018-08-08
阿里山,14.1,20.2,2018-08-09
阿里山,14.1,20.2,2018-08-10
阿里山,14.1,20.2,2018-08-11
阿里山,14.1,20.2,2018-08-12
阿里山,14.1,20.2,2018-08-13
阿里山,14.1,20.2,2018-08-14
阿里山,14.1,20.2,2018-08-15
阿里山,14.1,20.2,2018-08-16
阿里山,14.1,20.2,2018-08-17
阿里山,14.1,20.2,2018-08-18
阿里山,14.1,20.2,2018-08-19
阿里山,14.1,20.2,2018-08-20
阿里山,14.1,20.2,2018-08-21
阿里山,14.1,20.2,2018-08-22
阿里山,14.1,20.2,2018-08-23
阿里山,14.1,20.2,2018-08-24
阿里山,14.1,20.2,2018-08-25
阿里山,14.1,20.2,2018-08-26
阿里山,14.1,20.2,2018-08-27
阿里山,14.1,20.2,2018-08-28
阿里山,14.1,20.2,2018-08-29
阿里山,14.1,20.2,2018-08-30
阿里山,14.1,20.2,2018-08-31
阿里山,14.1,21.5,2018-09-01
阿里山,14.1,21.5,2018-09-02
阿里山,14.1,21.5,2018-09-03
阿里山,14.1,21.5,2018-09-04
阿里山,14.1,21.5,2018-09-05
阿里山,14.1,21.5,2018-09-06
阿里山,14.1,21.5,2018-09-07
阿里山,14.1,21.5,2018-09-08
阿里山,14.1,21.5,2018-09-09
阿里山,14.1,21.5,2018-09-10
阿里山,14.1,21.5,2018-09-11
阿里山,14.1,21.5,2018-09-12
阿里山,14.1,21.5,2018-09-13
阿里山,14.1,21.5,2018-09-14
阿里山,14.1,21.5,2018-09-15
阿里山,14.1,21.5,2018-09-16
阿里山,14.1,21.5,2018-09-17
阿里山,14.1,21.5,2018-09-18
阿里山,14.1,21.5,2018-09-19
阿里山,14.1,21.5,2018-09-20
阿里山,14.1,21.5,2018-09-21
阿里山,14.1,21.5,2018-09-22
阿里山,14.1,21.5,2018-09-23
阿里山,14.1,21.5,2018-09-24
阿里山,14.1,21.5,2018-09-25
阿里山,14.1,21.5,2018-09-26
阿里山,14.1,21.5,2018-09-27
阿里山,14.1,21.5,2018-09-28
阿里山,14.1,21.5,2018-09-29
阿里山,14.1,21.5,2018-09-30
阿里山,11.8,19.4,2018-10-01
阿里山,11.8,19.4,2018-10-02
阿里山,11.8,19.4,2018-10-03
阿里山,11.8,19.4,2018-10-04
阿里山,11.8,19.4,2018-10-05
阿里山,11.8,19.4,2018-10-06
阿里山,11.8,19.4,2018-10-07
阿里山,11.8,19.4,2018-10-08
阿里山,11.8,19.4,2018-10-09
阿里山,11.8,19.4,2018-10-10
阿里山,11.8,19.4,2018-10-11
阿里山,11.8,19.4,2018-10-12
阿里山,11.8,19.4,2018-10-13
阿里山,11.8,19.4,2018-10-14
阿里山,11.8,19.4,2018-10-15
阿里山,11.8,19.4,2018-10-16
阿里山,11.8,19.4,2018-10-17
阿里山,11.8,19.4,2018-10-18
阿里山,11.8,19.4,2018-10-19
阿里山,11.8,19.4,2018-10-20
阿里山,11.8,19.4,2018-10-21
阿里山,11.8,19.4,2018-10-22
阿里山,11.8,19.4,2018-10-23
阿里山,11.8,19.4,2018-10-24
阿里山,11.8,19.4,2018-10-25
阿里山,11.8,19.4,2018-10-26
阿里山,11.8,19.4,2018-10-27
阿里山,11.8,19.4,2018-10-28
阿里山,11.8,19.4,2018-10-29
阿里山,11.8,19.4,2018-10-30
阿里山,11.8,19.4,2018-10-31
阿里山,11.0,18.2,2018-11-01
阿里山,11.0,18.2,2018-11-02
阿里山,11.0,18.2,2018-11-03
阿里山,11.0,18.2,2018-11-04
阿里山,11.0,18.2,2018-11-05
阿里山,11.0,18.2,2018-11-06
阿里山,11.0,18.2,2018-11-07
阿里山,11.0,18.2,2018-11-08
阿里山,11.0,18.2,2018-11-09
阿里山,11.0,18.2,2018-11-10
阿里山,11.0,18.2,2018-11-11
阿里山,11.0,18.2,2018-11-12
阿里山,11.0,18.2,2018-11-13
阿里山,11.0,18.2,2018-11-14
阿里山,11.0,18.2,2018-11-15
阿里山,11.0,18.2,2018-11-16
阿里山,11.0,18.2,2018-11-17
阿里山,11.0,18.2,2018-11-18
阿里山,11.0,18.2,2018-11-19
阿里山,11.0,18.2,2018-11-20
阿里山,11.0,18.2,2018-11-21
阿里山,11.0,18.2,2018-11-22
阿里山,11.0,18.2,2018-11-23
阿里山,11.0,18.2,2018-11-24
阿里山,11.0,18.2,2018-11-25
阿里山,11.0,18.2,2018-11-26
阿里山,11.0,18.2,2018-11-27
阿里山,11.0,18.2,2018-11-28
阿里山,11.0,18.2,2018-11-29
阿里山,11.0,18.2,2018-11-30
阿里山,10.0,18.3,2018-12-01
阿里山,10.0,18.3,2018-12-02
阿里山,10.0,18.3,2018-12-03
阿里山,10.0,18.3,2018-12-04
阿里山,10.0,18.3,2018-12-05
阿里山,10.0,18.3,2018-12-06
阿里山,10.0,18.3,2018-12-07
阿里山,10.0,18.3,2018-12-08
阿里山,10.0,18.3,2018-12-09
阿里山,10.0,18.3,2018-12-10
阿里山,10.0,18.3,2018-12-11
阿里山,10.0,18.3,2018-12-12
阿里山,10.0,18.3,2018-12-13
阿里山,10.0,18.3,2018-12-14
阿里山,10.0,18.3,2018-12-15
阿里山,10.0,18.3,2018-12-16
阿里山,10.0,18.3,2018-12-17
阿里山,10.0,18.3,2018-12-18
阿里山,10.0,18.3,2018-12-19
阿里山,10.0,18.3,2018-12-20
阿里山,10.0,18.3,2018-12-21
阿里山,10.0,18.3,2018-12-22
阿里山,10.0,18.3,2018-12-23
阿里山,10.0,18.3,2018-12-24
阿里山,10.0,18.3,2018-12-25
阿里山,10.0,18.3,2018-12-26
阿里山,10.0,18.3,2018-12-27
阿里山,10.0,18.3,2018-12-28
阿里山,10.0,18.3,2018-12-29
阿里山,10.0,18.3,2018-12-30
阿里山,10.0,18.3,2018-12-31
