StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
鞍部,11.7,22.1,2020-01-01
鞍部,11.7,22.1,2020-01-02
鞍部,11.7,22.1,2020-01-03
鞍部,11.7,22.1,2020-01-04
鞍部,11.7,22.1,2020-01-05
鞍部,11.7,22.1,2020-01-06
鞍部,11.7,22.1,2020-01-07
鞍部,11.7,22.1,2020-01-08
鞍部,11.7,22.1,2020-01-09
鞍部,11.7,22.1,2020-01-10
鞍部,11.7,22.1,2020-01-11
鞍部,11.7,22.1,2020-01-12
鞍部,11.7,22.1,2020-01-13
鞍部,11.7,22.1,2020-01-14
鞍部,11.7,22.1,2020-01-15
鞍部,11.7,22.1,2020-01-16
鞍部,11.7,22.1,2020-01-17
鞍部,11.7,22.1,2020-01-18
鞍部,11.7,22.1,2020-01-19
鞍部,11.7,22.1,2020-01-20
鞍部,11.7,22.1,2020-01-21
鞍部,11.7,22.1,2020-01-22
鞍部,11.7,22.1,2020-01-23
鞍部,11.7,22.1,2020-01-24
鞍部,11.7,22.1,2020-01-25
鞍部,11.7,22.1,2020-01-26
鞍部,11.7,22.1,2020-01-27
鞍部,11.7,22.1,2020-01-28
鞍部,11.7,22.1,2020-01-29
鞍部,11.7,22.1,2020-01-30
鞍部,11.7,22.1,2020-01-31
鞍部,12.4,22.7,2020-02-01
鞍部,12.4,22.7,2020-02-02
鞍部,12.4,22.7,2020-02-03
鞍部,12.4,22.7,2020-02-04
鞍部,12.4,22.7,2020-02-05
鞍部,12.4,22.7,2020-02-06
鞍部,12.4,22.7,2020-02-07
鞍部,12.4,22.7,2020-02-08
鞍部,12.4,22.7,2020-02-09
鞍部,12.4,22.7,2020-02-10
鞍部,12.4,22.7,2020-02-11
鞍部,12.4,22.7,2020-02-12
鞍部,12.4,22.7,2020-02-13
鞍部,12.4,22.7,2020-02-14
鞍部,12.4,22.7,2020-02-15
鞍部,12.4,22.7,2020-02-16
鞍部,12.4,22.7,2020-02-17
鞍部,12.4,22.7,2020-02-18
鞍部,12.4,22.7,2020-02-19
鞍部,12.4,22.7,2020-02-20
鞍部,12.4,22.7,2020-02-21
鞍部,12.4,22.7,2020-02-22
鞍部,12.4,22.7,2020-02-23
鞍部,12.4,22.7,2020-02-24
鞍部,12.4,22.7,2020-02-25
鞍部,12.4,22.7,2020-02-26
鞍部,12.4,22.7,2020-02-27
鞍部,12.4,22.7,2020-02-28
鞍部,12.4,22.7,2020-02-29
鞍部,14.6,26.5,2020-03-01
鞍部,14.6,26.5,2020-03-02
鞍部,14.6,26.5,2020-03-03
鞍部,14.6,26.5,2020-03-04
鞍部,14.6,26.5,2020-03-05
鞍部,14.6,26.5,2020-03-06
鞍部,14.6,26.5,2020-03-07
鞍部,14.6,26.5,2020-03-08
鞍部,14.6,26.5,2020-03-09
鞍部,14.6,26.5,2020-03-10
鞍部,14.6,26.5,2020-03-11
鞍部,14.6,26.5,2020-03-12
鞍部,14.6,26.5,2020-03-13
鞍部,14.6,26.5,2020-03-14
鞍部,14.6,26.5,2020-03-15
鞍部,14.6,26.5,2020-03-16
鞍部,14.6,26.5,2020-03-17
鞍部,14.6,26.5,2020-03-18
鞍部,14.6,26.5,2020-03-19
鞍部,14.6,26.5,2020-03-20
鞍部,14.6,26.5,2020-03-21
鞍部,14.6,26.5,2020-03-22
鞍部,14.6,26.5,2020-03-23
鞍部,14.6,26.5,2020-03-24
鞍部,14.6,26.5,2020-03-25
鞍部,14.6,26.5,2020-03-26
鞍部,14.6,26.5,2020-03-27
鞍部,14.6,26.5,2020-03-28
鞍部,14.6,26.5,2020-03-29
鞍部,14.6,26.5,2020-03-30
鞍部,14.6,26.5,2020-03-31
鞍部,14.5,24.9,2020-04-01
鞍部,14.5,24.9,2020-04-02
鞍部,14.5,24.9,2020-04-03
鞍部,14.5,24.9,2020-04-04
鞍部,14.5,24.9,2020-04-05
鞍部,14.5,24.9,2020-04-06
鞍部,14.5,24.9,2020-04-07
鞍部,14.5,24.9,2020-04-08
鞍部,14.5,24.9,2020-04-09
鞍部,14.5,24.9,2020-04-10
鞍部,14.5,24.9,2020-04-11
鞍部,14.5,24.9,2020-04-12
鞍部,14.5,24.9,2020-04-13
鞍部,14.5,24.9,2020-04-14
鞍部,14.5,24.9,2020-04-15
鞍部,14.5,24.9,2020-04-16
鞍部,14.5,24.9,2020-04-17
鞍部,14.5,24.9,2020-04-18
鞍部,14.5,24.9,2020-04-19
鞍部,14.5,24.9,2020-04-20
鞍部,14.5,24.9,2020-04-21
鞍部,14.5,24.9,2020-04-22
鞍部,14.5,24.9,2020-04-23
鞍部,14.5,24.9,2020-04-24
鞍部,14.5,24.9,2020-04-25
鞍部,14.5,24.9,2020-04-26
鞍部,14.5,24.9,2020-04-27
鞍部,14.5,24.9,2020-04-28
鞍部,14.5,24.9,2020-04-29
鞍部,14.5,24.9,2020-04-30
鞍部,21.2,28.3,2020-05-01
鞍部,21.2,28.3,2020-05-02
鞍部,21.2,28.3,2020-05-03
鞍部,21.2,28.3,2020-05-04
鞍部,21.2,28.3,2020-05-05
鞍部,21.2,28.3,2020-05-06
鞍部,21.2,28.3,2020-05-07
鞍部,21.2,28.3,2020-05-08
鞍部,21.2,28.3,2020-05-09
鞍部,21.2,28.3,2020-05-10
鞍部,21.2,28.3,2020-05-11
鞍部,21.2,28.3,2020-05-12
鞍部,21.2,28.3,2020-05-13
鞍部,21.2,28.3,2020-05-14
鞍部,21.2,28.3,2020-05-15
鞍部,21.2,28.3,2020-05-16
鞍部,21.2,28.3,2020-05-17
鞍部,21.2,28.3,2020-05-18
鞍部,21.2,28.3,2020-05-19
鞍部,21.2,28.3,2020-05-20
鞍部,21.2,28.3,2020-05-21
鞍部,21.2,28.3,2020-05-22
鞍部,21.2,28.3,2020-05-23
鞍部,21.2,28.3,2020-05-24
鞍部,21.2,28.3,2020-05-25
鞍部,21.2,28.3,2020-05-26
鞍部,21.2,28.3,2020-05-27
鞍部,21.2,28.3,2020-05-28
鞍部,21.2,28.3,2020-05-29
鞍部,21.2,28.3,2020-05-30
鞍部,21.2,28.3,2020-05-31
鞍部,23.7,29.7,2020-06-01
鞍部,23.7,29.7,2020-06-02
鞍部,23.7,29.7,2020-06-03
鞍部,23.7,29.7,2020-06-04
鞍部,23.7,29.7,2020-06-05
鞍部,23.7,29.7,2020-06-06
鞍部,23.7,29.7,2020-06-07
鞍部,23.7,29.7,2020-06-08
鞍部,23.7,29.7,2020-06-09
鞍部,23.7,29.7,2020-06-10
鞍部,23.7,29.7,2020-06-11
鞍部,23.7,29.7,2020-06-12
鞍部,23.7,29.7,2020-06-13
鞍部,23.7,29.7,2020-06-14
鞍部,23.7,29.7,2020-06-15
鞍部,23.7,29.7,2020-06-16
鞍部,23.7,29.7,2020-06-17
鞍部,23.7,29.7,2020-06-18
鞍部,23.7,29.7,2020-06-19
鞍部,23.7,29.7,2020-06-20
鞍部,23.7,29.7,2020-06-21
鞍部,23.7,29.7,2020-06-22
鞍部,23.7,29.7,2020-06-23
鞍部,23.7,29.7,2020-06-24
鞍部,23.7,29.7,2020-06-25
鞍部,23.7,29.7,2020-06-26
鞍部,23.7,29.7,2020-06-27
鞍部,23.7,29.7,2020-06-28
鞍部,23.7,29.7,2020-06-29
鞍部,23.7,29.7,2020-06-30
鞍部,24.3,30.9,2020-07-01
鞍部,24.3,30.9,2020-07-02
鞍部,24.3,30.9,2020-07-03
鞍部,24.3,30.9,2020-07-04
鞍部,24.3,30.9,2020-07-05
鞍部,24.3,30.9,2020-07-06
鞍部,24.3,30.9,2020-07-07
鞍部,24.3,30.9,2020-07-08
鞍部,24.3,30.9,2020-07-09
鞍部,24.3,30.9,2020-07-10
鞍部,24.3,30.9,2020-07-11
鞍部,24.3,30.9,2020-07-12
鞍部,24.3,30.9,2020-07-13
鞍部,24.3,30.9,2020-07-14
鞍部,24.3,30.9,2020-07-15
鞍部,24.3,30.9,2020-07-16
鞍部,24.3,30.9,2020-07-17
鞍部,24.3,30.9,2020-07-18
鞍部,24.3,30.9,2020-07-19
鞍部,24.3,30.9,2020-07-20
鞍部,24.3,30.9,2020-07-21
鞍部,24.3,30.9,2020-07-22
鞍部,24.3,30.9,2020-07-23
鞍部,24.3,30.9,2020-07-24
鞍部,24.3,30.9,2020-07-25
鞍部,24.3,30.9,2020-07-26
鞍部,24.3,30.9,2020-07-27
鞍部,24.3,30.9,2020-07-28
鞍部,24.3,30.9,2020-07-29
鞍部,24.3,30.9,2020-07-30
鞍部,24.3,30.9,2020-07-31
鞍部,23.4,29.3,2020-08-01
鞍部,23.4,29.3,2020-08-02
鞍部,23.4,29.3,2020-08-03
鞍部,23.4,29.3,2020-08-04
鞍部,23.4,29.3,2020-08-05
鞍部,23.4,29.3,2020-08-06
鞍部,23.4,29.3,2020-08-07
鞍部,23.4,29.3,2020-08-08
鞍部,23.4,29.3,2020-08-09
鞍部,23.4,29.3,2020-08-10
鞍部,23.4,29.3,2020-08-11
鞍部,23.4,29.3,2020-08-12
鞍部,23.4,29.3,2020-08-13
鞍部,23.4,29.3,2020-08-14
鞍部,23.4,29.3,2020-08-15
鞍部,23.4,29.3,2020-08-16
鞍部,23.4,29.3,2020-08-17
鞍部,23.4,29.3,2020-08-18
鞍部,23.4,29.3,2020-08-19
鞍部,23.4,29.3,2020-08-20
鞍部,23.4,29.3,2020-08-21
鞍部,23.4,29.3,2020-08-22
鞍部,23.4,29.3,2020-08-23
鞍部,23.4,29.3,2020-08-24
鞍部,23.4,29.3,2020-08-25
鞍部,23.4,29.3,2020-08-26
鞍部,23.4,29.3,2020-08-27
鞍部,23.4,29.3,2020-08-28
鞍部,23.4,29.3,2020-08-29
鞍部,23.4,29.3,2020-08-30
鞍部,23.4,29.3,2020-08-31
鞍部,21.2,28.2,2020-09-01
鞍部,21.2,28.2,2020-09-02
鞍部,21.2,28.2,2020-09-03
鞍部,21.2,28.2,2020-09-04
鞍部,21.2,28.2,2020-09-05
鞍部,21.2,28.2,2020-09-06
鞍部,21.2,28.2,2020-09-07
鞍部,21.2,28.2,2020-09-08
鞍部,21.2,28.2,2020-09-09
鞍部,21.2,28.2,2020-09-10
鞍部,21.2,28.2,2020-09-11
鞍部,21.2,28.2,2020-09-12
鞍部,21.2,28.2,2020-09-13
鞍部,21.2,28.2,2020-09-14
鞍部,21.2,28.2,2020-09-15
鞍部,21.2,28.2,2020-09-16
鞍部,21.2,28.2,2020-09-17
鞍部,21.2,28.2,2020-09-18
鞍部,21.2,28.2,2020-09-19
鞍部,21.2,28.2,2020-09-20
鞍部,21.2,28.2,2020-09-21
鞍部,21.2,28.2,2020-09-22
鞍部,21.2,28.2,2020-09-23
鞍部,21.2,28.2,2020-09-24
鞍部,21.2,28.2,2020-09-25
鞍部,21.2,28.2,2020-09-26
鞍部,21.2,28.2,2020-09-27
鞍部,21.2,28.2,2020-09-28
鞍部,21.2,28.2,2020-09-29
鞍部,21.2,28.2,2020-09-30
鞍部,17.9,27.6,2020-10-01
鞍部,17.9,27.6,2020-10-02
鞍部,17.9,27.6,2020-10-03
鞍部,17.9,27.6,2020-10-04
鞍部,17.9,27.6,2020-10-05
鞍部,17.9,27.6,2020-10-06
鞍部,17.9,27.6,2020-10-07
鞍部,17.9,27.6,2020-10-08
鞍部,17.9,27.6,2020-10-09
鞍部,17.9,27.6,2020-10-10
鞍部,17.9,27.6,2020-10-11
鞍部,17.9,27.6,2020-10-12
鞍部,17.9,27.6,2020-10-13
鞍部,17.9,27.6,2020-10-14
鞍部,17.9,27.6,2020-10-15
鞍部,17.9,27.6,2020-10-16
鞍部,17.9,27.6,2020-10-17
鞍部,17.9,27.6,2020-10-18
鞍部,17.9,27.6,2020-10-19
鞍部,17.9,27.6,2020-10-20
鞍部,17.9,27.6,2020-10-21
鞍部,17.9,27.6,2020-10-22
鞍部,17.9,27.6,2020-10-23
鞍部,17.9,27.6,2020-10-24
鞍部,17.9,27.6,2020-10-25
鞍部,17.9,27.6,2020-10-26
鞍部,17.9,27.6,2020-10-27
鞍部,17.9,27.6,2020-10-28
鞍部,17.9,27.6,2020-10-29
鞍部,17.9,27.6,2020-10-30
鞍部,17.9,27.6,2020-10-31
鞍部,16.5,24.8,2020-11-01
鞍部,16.5,24.8,2020-11-02
鞍部,16.5,24.8,2020-11-03
鞍部,16.5,24.8,2020-11-04
鞍部,16.5,24.8,2020-11-05
鞍部,16.5,24.8,2020-11-06
鞍部,16.5,24.8,2020-11-07
鞍部,16.5,24.8,2020-11-08
鞍部,16.5,24.8,2020-11-09
鞍部,16.5,24.8,2020-11-10
鞍部,16.5,24.8,2020-11-11
鞍部,16.5,24.8,2020-11-12
鞍部,16.5,24.8,2020-11-13
鞍部,16.5,24.8,2020-11-14
鞍部,16.5,24.8,2020-11-15
鞍部,16.5,24.8,2020-11-16
鞍部,16.5,24.8,2020-11-17
鞍部,16.5,24.8,2020-11-18
鞍部,16.5,24.8,2020-11-19
鞍部,16.5,24.8,2020-11-20
鞍部,16.5,24.8,2020-11-21
鞍部,16.5,24.8,2020-11-22
鞍部,16.5,24.8,2020-11-23
鞍部,16.5,24.8,2020-11-24
鞍部,16.5,24.8,2020-11-25
鞍部,16.5,24.8,2020-11-26
