StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
馬祖,10.7,21.8,2018-01-01
馬祖,10.7,21.8,2018-01-02
馬祖,10.7,21.8,2018-01-03
馬祖,10.7,21.8,2018-01-04
馬祖,10.7,21.8,2018-01-05
馬祖,10.7,21.8,2018-01-06
馬祖,10.7,21.8,2018-01-07
馬祖,10.7,21.8,2018-01-08
馬祖,10.7,21.8,2018-01-09
馬祖,10.7,21.8,2018-01-10
馬祖,10.7,21.8,2018-01-11
馬祖,10.7,21.8,2018-01-12
馬祖,10.7,21.8,2018-01-13
馬祖,10.7,21.8,2018-01-14
馬祖,10.7,21.8,2018-01-15
馬祖,10.7,21.8,2018-01-16
馬祖,10.7,21.8,2018-01-17
馬祖,10.7,21.8,2018-01-18
馬祖,10.7,21.8,2018-01-19
馬祖,10.7,21.8,2018-01-20
馬祖,10.7,21.8,2018-01-21
馬祖,10.7,21.8,2018-01-22
馬祖,10.7,21.8,2018-01-23
馬祖,10.7,21.8,2018-01-24
馬祖,10.7,21.8,2018-01-25
馬祖,10.7,21.8,2018-01-26
馬祖,10.7,21.8,2018-01-27
馬祖,10.7,21.8,2018-01-28
馬祖,10.7,21.8,2018-01-29
馬祖,10.7,21.8,2018-01-30
馬祖,10.7,21.8,2018-01-31
馬祖,9.7,20.8,2018-02-01
馬祖,9.7,20.8,2018-02-02
馬祖,9.7,20.8,2018-02-03
馬祖,9.7,20.8,2018-02-04
馬祖,9.7,20.8,2018-02-05
馬祖,9.7,20.8,2018-02-06
馬祖,9.7,20.8,2018-02-07
馬祖,9.7,20.8,2018-02-08
馬祖,9.7,20.8,2018-02-09
馬祖,9.7,20.8,2018-02-10
馬祖,9.7,20.8,2018-02-11
馬祖,9.7,20.8,2018-02-12
馬祖,9.7,20.8,2018-02-13
馬祖,9.7,20.8,2018-02-14
馬祖,9.7,20.8,2018-02-15
馬祖,9.7,20.8,2018-02-16
馬祖,9.7,20.8,2018-02-17
馬祖,9.7,20.8,2018-02-18
馬祖,9.7,20.8,2018-02-19
馬祖,9.7,20.8,2018-02-20
馬祖,9.7,20.8,2018-02-21
馬祖,9.7,20.8,2018-02-22
馬祖,9.7,20.8,2018-02-23
馬祖,9.7,20.8,2018-02-24
馬祖,9.7,20.8,2018-02-25
馬祖,9.7,20.8,2018-02-26
馬祖,9.7,20.8,2018-02-27
馬祖,9.7,20.8,2018-02-28
馬祖,14.0,25.7,2018-03-01
馬祖,14.0,25.7,2018-03-02
馬祖,14.0,25.7,2018-03-03
馬祖,14.0,25.7,2018-03-04
馬祖,14.0,25.7,2018-03-05
馬祖,14.0,25.7,2018-03-06
馬祖,14.0,25.7,2018-03-07
馬祖,14.0,25.7,2018-03-08
馬祖,14.0,25.7,2018-03-09
馬祖,14.0,25.7,2018-03-10
馬祖,14.0,25.7,2018-03-11
馬祖,14.0,25.7,2018-03-12
馬祖,14.0,25.7,2018-03-13
馬祖,14.0,25.7,2018-03-14
馬祖,14.0,25.7,2018-03-15
馬祖,14.0,25.7,2018-03-16
馬祖,14.0,25.7,2018-03-17
馬祖,14.0,25.7,2018-03-18
馬祖,14.0,25.7,2018-03-19
馬祖,14.0,25.7,2018-03-20
馬祖,14.0,25.7,2018-03-21
馬祖,14.0,25.7,2018-03-22
馬祖,14.0,25.7,2018-03-23
馬祖,14.0,25.7,2018-03-24
馬祖,14.0,25.7,2018-03-25
馬祖,14.0,25.7,2018-03-26
馬祖,14.0,25.7,2018-03-27
馬祖,14.0,25.7,2018-03-28
馬祖,14.0,25.7,2018-03-29
馬祖,14.0,25.7,2018-03-30
馬祖,14.0,25.7,2018-03-31
馬祖,18.9,28.9,2018-04-01
馬祖,18.9,28.9,2018-04-02
馬祖,18.9,28.9,2018-04-03
馬祖,18.9,28.9,2018-04-04
馬祖,18.9,28.9,2018-04-05
馬祖,18.9,28.9,2018-04-06
馬祖,18.9,28.9,2018-04-07
馬祖,18.9,28.9,2018-04-08
馬祖,18.9,28.9,2018-04-09
馬祖,18.9,28.9,2018-04-10
馬祖,18.9,28.9,2018-04-11
馬祖,18.9,28.9,2018-04-12
馬祖,18.9,28.9,2018-04-13
馬祖,18.9,28.9,2018-04-14
馬祖,18.9,28.9,2018-04-15
馬祖,18.9,28.9,2018-04-16
馬祖,18.9,28.9,2018-04-17
馬祖,18.9,28.9,2018-04-18
馬祖,18.9,28.9,2018-04-19
馬祖,18.9,28.9,2018-04-20
馬祖,18.9,28.9,2018-04-21
馬祖,18.9,28.9,2018-04-22
馬祖,18.9,28.9,2018-04-23
馬祖,18.9,28.9,2018-04-24
馬祖,18.9,28.9,2018-04-25
馬祖,18.9,28.9,2018-04-26
馬祖,18.9,28.9,2018-04-27
馬祖,18.9,28.9,2018-04-28
馬祖,18.9,28.9,2018-04-29
馬祖,18.9,28.9,2018-04-30
馬祖,24.0,31.3,2018-05-01
馬祖,24.0,31.3,2018-05-02
馬祖,24.0,31.3,2018-05-03
馬祖,24.0,31.3,2018-05-04
馬祖,24.0,31.3,2018-05-05
馬祖,24.0,31.3,2018-05-06
馬祖,24.0,31.3,2018-05-07
馬祖,24.0,31.3,2018-05-08
馬祖,24.0,31.3,2018-05-09
馬祖,24.0,31.3,2018-05-10
馬祖,24.0,31.3,2018-05-11
馬祖,24.0,31.3,2018-05-12
馬祖,24.0,31.3,2018-05-13
馬祖,24.0,31.3,2018-05-14
馬祖,24.0,31.3,2018-05-15
馬祖,24.0,31.3,2018-05-16
馬祖,24.0,31.3,2018-05-17
馬祖,24.0,31.3,2018-05-18
馬祖,24.0,31.3,2018-05-19
馬祖,24.0,31.3,2018-05-20
馬祖,24.0,31.3,2018-05-21
馬祖,24.0,31.3,2018-05-22
馬祖,24.0,31.3,2018-05-23
馬祖,24.0,31.3,2018-05-24
馬祖,24.0,31.3,2018-05-25
馬祖,24.0,31.3,2018-05-26
馬祖,24.0,31.3,2018-05-27
馬祖,24.0,31.3,2018-05-28
馬祖,24.0,31.3,2018-05-29
馬祖,24.0,31.3,2018-05-30
馬祖,24.0,31.3,2018-05-31
馬祖,25.2,32.8,2018-06-01
馬祖,25.2,32.8,2018-06-02
馬祖,25.2,32.8,2018-06-03
馬祖,25.2,32.8,2018-06-04
馬祖,25.2,32.8,2018-06-05
馬祖,25.2,32.8,2018-06-06
馬祖,25.2,32.8,2018-06-07
馬祖,25.2,32.8,2018-06-08
馬祖,25.2,32.8,2018-06-09
馬祖,25.2,32.8,2018-06-10
馬祖,25.2,32.8,2018-06-11
馬祖,25.2,32.8,2018-06-12
馬祖,25.2,32.8,2018-06-13
馬祖,25.2,32.8,2018-06-14
馬祖,25.2,32.8,2018-06-15
馬祖,25.2,32.8,2018-06-16
馬祖,25.2,32.8,2018-06-17
馬祖,25.2,32.8,2018-06-18
馬祖,25.2,32.8,2018-06-19
馬祖,25.2,32.8,2018-06-20
馬祖,25.2,32.8,2018-06-21
馬祖,25.2,32.8,2018-06-22
馬祖,25.2,32.8,2018-06-23
馬祖,25.2,32.8,2018-06-24
馬祖,25.2,32.8,2018-06-25
馬祖,25.2,32.8,2018-06-26
馬祖,25.2,32.8,2018-06-27
馬祖,25.2,32.8,2018-06-28
馬祖,25.2,32.8,2018-06-29
馬祖,25.2,32.8,2018-06-30
馬祖,27.9,35.0,2018-07-01
馬祖,27.9,35.0,2018-07-02
馬祖,27.9,35.0,2018-07-03
馬祖,27.9,35.0,2018-07-04
馬祖,27.9,35.0,2018-07-05
馬祖,27.9,35.0,2018-07-06
馬祖,27.9,35.0,2018-07-07
馬祖,27.9,35.0,2018-07-08
馬祖,27.9,35.0,2018-07-09
馬祖,27.9,35.0,2018-07-10
馬祖,27.9,35.0,2018-07-11
馬祖,27.9,35.0,2018-07-12
馬祖,27.9,35.0,2018-07-13
馬祖,27.9,35.0,2018-07-14
馬祖,27.9,35.0,2018-07-15
馬祖,27.9,35.0,2018-07-16
馬祖,27.9,35.0,2018-07-17
馬祖,27.9,35.0,2018-07-18
馬祖,27.9,35.0,2018-07-19
馬祖,27.9,35.0,2018-07-20
馬祖,27.9,35.0,2018-07-21
馬祖,27.9,35.0,2018-07-22
馬祖,27.9,35.0,2018-07-23
馬祖,27.9,35.0,2018-07-24
馬祖,27.9,35.0,2018-07-25
馬祖,27.9,35.0,2018-07-26
馬祖,27.9,35.0,2018-07-27
馬祖,27.9,35.0,2018-07-28
馬祖,27.9,35.0,2018-07-29
馬祖,27.9,35.0,2018-07-30
馬祖,27.9,35.0,2018-07-31
馬祖,28.1,36.0,2018-08-01
馬祖,28.1,36.0,2018-08-02
馬祖,28.1,36.0,2018-08-03
馬祖,28.1,36.0,2018-08-04
馬祖,28.1,36.0,2018-08-05
馬祖,28.1,36.0,2018-08-06
馬祖,28.1,36.0,2018-08-07
馬祖,28.1,36.0,2018-08-08
馬祖,28.1,36.0,2018-08-09
馬祖,28.1,36.0,2018-08-10
馬祖,28.1,36.0,2018-08-11
馬祖,28.1,36.0,2018-08-12
馬祖,28.1,36.0,2018-08-13
馬祖,28.1,36.0,2018-08-14
馬祖,28.1,36.0,2018-08-15
馬祖,28.1,36.0,2018-08-16
馬祖,28.1,36.0,2018-08-17
馬祖,28.1,36.0,2018-08-18
馬祖,28.1,36.0,2018-08-19
馬祖,28.1,36.0,2018-08-20
馬祖,28.1,36.0,2018-08-21
馬祖,28.1,36.0,2018-08-22
馬祖,28.1,36.0,2018-08-23
馬祖,28.1,36.0,2018-08-24
馬祖,28.1,36.0,2018-08-25
馬祖,28.1,36.0,2018-08-26
馬祖,28.1,36.0,2018-08-27
馬祖,28.1,36.0,2018-08-28
馬祖,28.1,36.0,2018-08-29
馬祖,28.1,36.0,2018-08-30
馬祖,28.1,36.0,2018-08-31
馬祖,26.4,32.5,2018-09-01
馬祖,26.4,32.5,2018-09-02
馬祖,26.4,32.5,2018-09-03
馬祖,26.4,32.5,2018-09-04
馬祖,26.4,32.5,2018-09-05
馬祖,26.4,32.5,2018-09-06
馬祖,26.4,32.5,2018-09-07
馬祖,26.4,32.5,2018-09-08
馬祖,26.4,32.5,2018-09-09
馬祖,26.4,32.5,2018-09-10
馬祖,26.4,32.5,2018-09-11
馬祖,26.4,32.5,2018-09-12
馬祖,26.4,32.5,2018-09-13
馬祖,26.4,32.5,2018-09-14
馬祖,26.4,32.5,2018-09-15
馬祖,26.4,32.5,2018-09-16
馬祖,26.4,32.5,2018-09-17
馬祖,26.4,32.5,2018-09-18
馬祖,26.4,32.5,2018-09-19
馬祖,26.4,32.5,2018-09-20
馬祖,26.4,32.5,2018-09-21
馬祖,26.4,32.5,2018-09-22
馬祖,26.4,32.5,2018-09-23
馬祖,26.4,32.5,2018-09-24
馬祖,26.4,32.5,2018-09-25
馬祖,26.4,32.5,2018-09-26
馬祖,26.4,32.5,2018-09-27
馬祖,26.4,32.5,2018-09-28
馬祖,26.4,32.5,2018-09-29
馬祖,26.4,32.5,2018-09-30
馬祖,21.6,30.4,2018-10-01
馬祖,21.6,30.4,2018-10-02
馬祖,21.6,30.4,2018-10-03
馬祖,21.6,30.4,2018-10-04
馬祖,21.6,30.4,2018-10-05
馬祖,21.6,30.4,2018-10-06
馬祖,21.6,30.4,2018-10-07
馬祖,21.6,30.4,2018-10-08
馬祖,21.6,30.4,2018-10-09
