StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
高雄,20.9,29.0,2020-01-01
高雄,20.9,29.0,2020-01-02
高雄,20.9,29.0,2020-01-03
高雄,20.9,29.0,2020-01-04
高雄,20.9,29.0,2020-01-05
高雄,20.9,29.0,2020-01-06
高雄,20.9,29.0,2020-01-07
高雄,20.9,29.0,2020-01-08
高雄,20.9,29.0,2020-01-09
高雄,20.9,29.0,2020-01-10
高雄,20.9,29.0,2020-01-11
高雄,20.9,29.0,2020-01-12
高雄,20.9,29.0,2020-01-13
高雄,20.9,29.0,2020-01-14
高雄,20.9,29.0,2020-01-15
高雄,20.9,29.0,2020-01-16
高雄,20.9,29.0,2020-01-17
高雄,20.9,29.0,2020-01-18
高雄,20.9,29.0,2020-01-19
高雄,20.9,29.0,2020-01-20
高雄,20.9,29.0,2020-01-21
高雄,20.9,29.0,2020-01-22
高雄,20.9,29.0,2020-01-23
高雄,20.9,29.0,2020-01-24
高雄,20.9,29.0,2020-01-25
高雄,20.9,29.0,2020-01-26
高雄,20.9,29.0,2020-01-27
高雄,20.9,29.0,2020-01-28
高雄,20.9,29.0,2020-01-29
高雄,20.9,29.0,2020-01-30
高雄,20.9,29.0,2020-01-31
高雄,21.8,29.9,2020-02-01
高雄,21.8,29.9,2020-02-02
高雄,21.8,29.9,2020-02-03
高雄,21.8,29.9,2020-02-04
高雄,21.8,29.9,2020-02-05
高雄,21.8,29.9,2020-02-06
高雄,21.8,29.9,2020-02-07
高雄,21.8,29.9,2020-02-08
高雄,21.8,29.9,2020-02-09
高雄,21.8,29.9,2020-02-10
高雄,21.8,29.9,2020-02-11
高雄,21.8,29.9,2020-02-12
高雄,21.8,29.9,2020-02-13
高雄,21.8,29.9,2020-02-14
高雄,21.8,29.9,2020-02-15
高雄,21.8,29.9,2020-02-16
高雄,21.8,29.9,2020-02-17
高雄,21.8,29.9,2020-02-18
高雄,21.8,29.9,2020-02-19
高雄,21.8,29.9,2020-02-20
高雄,21.8,29.9,2020-02-21
高雄,21.8,29.9,2020-02-22
高雄,21.8,29.9,2020-02-23
高雄,21.8,29.9,2020-02-24
高雄,21.8,29.9,2020-02-25
高雄,21.8,29.9,2020-02-26
高雄,21.8,29.9,2020-02-27
高雄,21.8,29.9,2020-02-28
高雄,21.8,29.9,2020-02-29
高雄,24.7,32.0,2020-03-01
高雄,24.7,32.0,2020-03-02
高雄,24.7,32.0,2020-03-03
高雄,24.7,32.0,2020-03-04
高雄,24.7,32.0,2020-03-05
高雄,24.7,32.0,2020-03-06
高雄,24.7,32.0,2020-03-07
高雄,24.7,32.0,2020-03-08
高雄,24.7,32.0,2020-03-09
高雄,24.7,32.0,2020-03-10
高雄,24.7,32.0,2020-03-11
高雄,24.7,32.0,2020-03-12
高雄,24.7,32.0,2020-03-13
高雄,24.7,32.0,2020-03-14
高雄,24.7,32.0,2020-03-15
高雄,24.7,32.0,2020-03-16
高雄,24.7,32.0,2020-03-17
高雄,24.7,32.0,2020-03-18
高雄,24.7,32.0,2020-03-19
高雄,24.7,32.0,2020-03-20
高雄,24.7,32.0,2020-03-21
高雄,24.7,32.0,2020-03-22
高雄,24.7,32.0,2020-03-23
高雄,24.7,32.0,2020-03-24
高雄,24.7,32.0,2020-03-25
高雄,24.7,32.0,2020-03-26
高雄,24.7,32.0,2020-03-27
高雄,24.7,32.0,2020-03-28
高雄,24.7,32.0,2020-03-29
高雄,24.7,32.0,2020-03-30
高雄,24.7,32.0,2020-03-31
高雄,25.0,31.0,2020-04-01
高雄,25.0,31.0,2020-04-02
高雄,25.0,31.0,2020-04-03
高雄,25.0,31.0,2020-04-04
高雄,25.0,31.0,2020-04-05
高雄,25.0,31.0,2020-04-06
高雄,25.0,31.0,2020-04-07
高雄,25.0,31.0,2020-04-08
高雄,25.0,31.0,2020-04-09
高雄,25.0,31.0,2020-04-10
高雄,25.0,31.0,2020-04-11
高雄,25.0,31.0,2020-04-12
高雄,25.0,31.0,2020-04-13
高雄,25.0,31.0,2020-04-14
高雄,25.0,31.0,2020-04-15
高雄,25.0,31.0,2020-04-16
高雄,25.0,31.0,2020-04-17
高雄,25.0,31.0,2020-04-18
高雄,25.0,31.0,2020-04-19
高雄,25.0,31.0,2020-04-20
高雄,25.0,31.0,2020-04-21
高雄,25.0,31.0,2020-04-22
高雄,25.0,31.0,2020-04-23
高雄,25.0,31.0,2020-04-24
高雄,25.0,31.0,2020-04-25
高雄,25.0,31.0,2020-04-26
高雄,25.0,31.0,2020-04-27
高雄,25.0,31.0,2020-04-28
高雄,25.0,31.0,2020-04-29
高雄,25.0,31.0,2020-04-30
高雄,28.6,34.5,2020-05-01
高雄,28.6,34.5,2020-05-02
高雄,28.6,34.5,2020-05-03
高雄,28.6,34.5,2020-05-04
高雄,28.6,34.5,2020-05-05
高雄,28.6,34.5,2020-05-06
高雄,28.6,34.5,2020-05-07
高雄,28.6,34.5,2020-05-08
高雄,28.6,34.5,2020-05-09
高雄,28.6,34.5,2020-05-10
高雄,28.6,34.5,2020-05-11
高雄,28.6,34.5,2020-05-12
高雄,28.6,34.5,2020-05-13
高雄,28.6,34.5,2020-05-14
高雄,28.6,34.5,2020-05-15
高雄,28.6,34.5,2020-05-16
高雄,28.6,34.5,2020-05-17
高雄,28.6,34.5,2020-05-18
高雄,28.6,34.5,2020-05-19
高雄,28.6,34.5,2020-05-20
高雄,28.6,34.5,2020-05-21
高雄,28.6,34.5,2020-05-22
高雄,28.6,34.5,2020-05-23
高雄,28.6,34.5,2020-05-24
高雄,28.6,34.5,2020-05-25
高雄,28.6,34.5,2020-05-26
高雄,28.6,34.5,2020-05-27
高雄,28.6,34.5,2020-05-28
高雄,28.6,34.5,2020-05-29
高雄,28.6,34.5,2020-05-30
高雄,28.6,34.5,2020-05-31
高雄,30.3,35.9,2020-06-01
高雄,30.3,35.9,2020-06-02
高雄,30.3,35.9,2020-06-03
高雄,30.3,35.9,2020-06-04
高雄,30.3,35.9,2020-06-05
高雄,30.3,35.9,2020-06-06
高雄,30.3,35.9,2020-06-07
高雄,30.3,35.9,2020-06-08
高雄,30.3,35.9,2020-06-09
高雄,30.3,35.9,2020-06-10
高雄,30.3,35.9,2020-06-11
高雄,30.3,35.9,2020-06-12
高雄,30.3,35.9,2020-06-13
