年,月,日, 玉米粒, 黃豆粉 ,玉米粉 ,脫殼豆粉,高蛋白豆粉
2022,1,1,15.45,16,15.15,20.9,17.9
2022,1,2,15.45,16.7,15.35,20.9,17.9
2022,1,3,15.45,16,15.15,20.9,17.9
2022,1,4,15.45,16.7,15.35,20.9,17.9
2022,1,5,15.4,17.1,15.5,20.9,18.15
2022,1,6,15.4,17.1,15.6,21.2,18.25
2022,1,7,15.35,17.15,15.7,21.2,18.35
2022,1,8,15.35,17.15,15.7,21.2,18.35
2022,1,9,15.35,17.3,15.8,21.3,18.4
2022,1,10,15.35,17.3,15.8,21.3,18.4
2022,1,11,15.2,17.3,15.8,21.3,18.4
2022,1,12,15.1,17.3,15.8,21.3,18.4
2022,1,13,15,17.3,15.8,21.3,18.4
2022,1,14,14.95,17.3,15.8,21.3,18.4
2022,1,15,14.95,17.3,15.8,21.3,18.4
2022,1,16,14.95,17.3,15.8,21.3,18.4
2022,1,17,14.9,17.3,15.8,21.3,18.4
2022,1,18,14.85,17.3,15.8,21.3,18.4
2022,1,19,14.8,17.3,15.8,21.3,18.4
2022,1,20,14.8,17.3,15.8,21.3,18.4
2022,1,21,14.8,17.3,15.8,21.3,18.4
2022,1,22,14.8,17.3,15.8,21.3,18.4
2022,1,23,14.8,17.3,15.8,21.3,18.4
2022,1,24,14.8,17.3,15.8,21.3,18.4
2022,1,25,14.8,17.3,15.8,21.3,18.4
2022,1,26,15,17.3,15.8,21.3,18.4
2022,1,27,15,17.3,15.8,21.3,18.4
2022,1,28,15,17.3,15.8,21.3,18.4
2022,1,29,15,17.3,15.8,21.3,18.4
2022,1,30,15,17.3,15.8,21.3,18.4
2022,1,31,15,17.3,15.8,21.3,18.4
2022,2,1,15,17.3,15.8,21.3,18.4
2022,2,2,15,17.3,15.8,21.3,18.4
2022,2,3,15,17.3,15.8,21.3,18.4
2022,2,4,15,17.3,15.8,21.3,18.4
2022,2,5,15,17.3,15.8,21.3,18.4
2022,2,6,15,17.3,15.8,21.3,18.4
2022,2,7,15,17.5,15.8,21.3,18.4
2022,2,8,15,17.5,15.8,21.3,18.8
2022,2,9,15,17.7,15.8,21.6,18.8
2022,2,10,15,17.7,15.8,21.6,18.8
2022,2,11,15,17.7,15.8,21.6,19
2022,2,12,15,17.7,15.8,21.6,19
2022,2,13,15,17.7,15.8,21.6,19
2022,2,14,15,17.7,15.8,21.6,19
2022,2,15,15,17.7,15.65,21.6,19
2022,2,16,15,17.7,15.6,21.6,19
2022,2,17,15,17.8,15.6,21.7,19
2022,2,18,15,17.8,15.5,21.7,19
2022,2,19,15,17.8,15.5,21.7,19
2022,2,20,15,17.8,15.5,21.7,19
2022,2,21,15,17.8,15.4,21.7,19
2022,2,22,15,17.8,15.3,21.7,19
2022,2,23,15,17.9,14.8,21.8,19.1
2022,2,24,15,18,14.3,21.8,19.1
2022,2,25,15,18,13.8,21.8,19.3
2022,2,26,15,18,13.8,21.8,19.3
2022,2,27,15,18,13.8,21.8,19.3
2022,2,28,15,18,13.8,21.8,19.3
2022,3,1,15,18.4,13.3,22.7,19.5
2022,3,2,15,18.4,13.3,22.1,19.4
2022,3,3,15,18.3,12.8,22.3,19.55
2022,3,4,15,18.4,12.8,22.3,19.5
2022,3,5,15,18.4,12.8,22.3,19.5
2022,3,6,15,18.4,12.8,22.3,19.5
2022,3,7,15,18.4,12.8,22.6,19.5
2022,3,8,15,18.4,12.8,22.6,19.5
2022,3,9,15,18.4,12.8,22.6,19.5
2022,3,10,15,18.4,12.8,22.6,19.5
2022,3,11,15,18.4,12.8,22.6,19.5
2022,3,12,15,18.4,12.8,22.6,19.5
2022,3,13,15,18.4,12.8,22.6,19.5
2022,3,14,15,18.4,12.83,22.7,19.5
2022,3,15,15,18.4,12.85,22.7,19.5
2022,3,16,15,18.4,12.85,22.7,19.5
2022,3,17,15,18.4,12.85,22.7,19.5
2022,3,18,15,18.4,12.85,22.7,19.5
2022,3,19,15,18.4,12.85,22.7,19.5
2022,3,20,15,18.4,12.85,22.7,19.5
2022,3,21,15,18.4,12.85,22.7,19.5
2022,3,22,15,18.4,12.85,22.7,19.5
2022,3,23,15,18.4,12.85,22.7,19.5
2022,3,24,12.05,18.3,12.7,22.7,19.5
2022,3,25,11.95,18.3,12.7,22.7,19.5
2022,3,26,11.95,18.3,12.7,22.7,19.5
2022,3,27,11.9,18.3,12.55,22.7,19.5
2022,3,28,11.9,18.3,12.55,22.7,19.5
2022,3,29,11.9,18.3,12.45,22.7,19.5
2022,3,30,11.8,18.2,12.45,22.6,19.5
2022,3,31,11.75,18.3,12.4,22.7,19.5
2022,4,1,11.7,18.3,12.4,22.7,19.4
2022,4,2,11.7,18.3,12.4,22.7,19.4
2022,4,3,11.7,18.3,12.4,22.7,19.4
2022,4,4,11.7,18.2,12.4,22.7,19.35
2022,4,5,11.7,18.2,12.4,22.6,19.3
2022,4,6,11.7,18.2,12.4,22.7,19.35
2022,4,7,11.7,18.2,12.4,22.6,19.3
2022,4,8,11.7,18.2,12.4,22.6,19.3
2022,4,9,11.7,18.2,12.4,22.6,19.3
2022,4,10,11.8,18.1,12.4,22.4,19.35
2022,4,11,11.8,18.1,12.4,22.4,19.35
2022,4,12,11.9,18.1,12.4,22.4,19.25
2022,4,13,12,18,12.4,22.4,19.2
2022,4,14,12.1,18,12.55,22.4,19.2
2022,4,15,12.1,18,12.7,22.4,19.15
2022,4,16,12.1,18,12.7,22.4,19.15
2022,4,17,12.7,17.8,12.9,22.2,19.05
2022,4,18,12.7,17.8,12.9,22.2,19.05
2022,4,19,12.7,17.8,13.2,22.2,19.05
2022,4,20,12.7,17.7,13.5,22.2,18.9
2022,4,21,12.7,17.7,13.8,22.2,18.9
2022,4,22,12.7,17.7,13.9,22.2,18.9
2022,4,23,13.6,17.7,13.9,22.2,18.85
2022,4,24,13.6,17.7,13.9,22.2,18.85
2022,4,25,13.6,17.7,13.9,22.2,18.85
2022,4,26,13.6,17.7,13.9,22.2,18.85
2022,4,27,13.6,17.7,13.9,22.2,18.85
2022,4,28,13.6,17.6,13.9,22.2,18.8
2022,4,29,13.6,17.6,13.9,22.2,18.75
2022,4,30,13.6,17.6,13.9,22.2,18.75
2022,5,1,13.6,17.6,13.9,22.2,18.75
2022,5,2,13.5,17.5,13.9,22.1,18.65
2022,5,3,13.5,17.5,13.9,22.1,18.65
2022,5,4,13.5,17.4,13.85,22.1,18.6
2022,5,5,13.35,17.4,13.78,22.1,18.6
2022,5,6,13.3,17.4,13.78,22.1,18.6
2022,5,7,13.3,17.4,13.78,22.1,18.6
2022,5,8,13.3,17.4,13.78,22.1,18.6
2022,5,9,13.2,17.3,13.75,22,18.5
2022,5,10,13.15,17.2,13.7,22,18.4
2022,5,11,13.1,17.2,13.67,22,18.35
2022,5,12,13.1,17.2,13.62,22,18.35
2022,5,13,13.1,17.2,13.62,21.9,18.3
2022,5,14,13.1,17.2,13.62,21.9,18.3
2022,5,15,13,17.1,13.62,21.9,18.3
2022,5,16,13,17.1,13.62,21.9,18.3
2022,5,17,13,17.1,13.59,21.9,18.2
2022,5,18,13,17,13.59,21.9,18.2
2022,5,19,12.95,17,13.59,21.9,18.15
2022,5,20,12.9,16.9,13.59,21.9,18.1
2022,5,21,12.9,16.9,13.59,21.9,18.1
2022,5,22,12.85,16.9,13.54,21.9,18.1
2022,5,23,12.85,16.9,13.54,21.9,18.1
2022,5,24,12.85,16.9,13.54,21.9,18.05
2022,5,25,12.8,16.9,13.49,21.9,18.05
2022,5,26,12.75,16.9,13.43,21.9,18.05
2022,5,27,12.7,17,13.38,22,18.05
2022,5,28,12.7,17,13.38,22,18.05
2022,5,29,12.7,17,13.38,22,18.05
2022,5,30,12.65,17,13.31,22,18.1
2022,5,31,12.6,17,13.26,22,18.15
2022,6,1,12.5,17,13.21,22,18.15
2022,6,2,12.4,17,13.16,22.6,18.15
2022,6,3,12.4,17,13.16,22.6,18.15
2022,6,4,12.4,17,13.16,22.6,18.15
2022,6,5,12.3,17,12.98,22.6,18.2
2022,6,6,12.3,17,12.98,22.6,18.2
2022,6,7,12.3,17,12.93,22.6,18.2
2022,6,8,12.35,17,12.93,22.6,18.25
2022,6,9,12.35,17.2,12.93,22.6,18.3
2022,6,10,12.35,17.2,12.93,22.6,18.3
2022,6,11,12.35,17.2,12.93,22.6,18.3
2022,6,12,12.35,17.2,12.93,22.6,18.3
2022,6,13,12.35,17.5,12.93,23.3,18.77
2022,6,14,12.35,17.5,12.93,23.3,18.77
2022,6,15,12.35,17.5,12.93,23.3,18.75
2022,6,16,12.35,17.5,12.93,23.3,18.75
2022,6,17,12.35,17.5,12.93,23.3,18.75
2022,6,18,12.35,17.5,12.93,23.3,18.75
2022,6,19,12.4,17.5,12.93,23.3,18.75
2022,6,20,12.4,17.5,12.93,23.3,18.75
2022,6,21,12.4,17.5,12.93,23.3,18.75
2022,6,22,12.4,17.5,12.98,23.3,18.75
2022,6,23,12.4,17.5,12.98,23.3,18.7
2022,6,24,12.4,17.5,13.01,23.3,18.75
2022,6,25,12.4,17.5,13.01,23.3,18.75
2022,6,26,12.4,17.5,13.01,23.3,18.75
2022,6,27,12.4,17.5,13.01,23.3,18.75
2022,6,28,12.4,17.5,13.01,23.6,18.7
2022,6,29,12.4,17.5,13.01,23.6,18.7
2022,6,30,12.35,17.5,13.01,23.6,18.7
2022,7,1,12.3,17.5,12.98,18.7,18.7
2022,7,2,12.3,17.5,12.98,18.7,18.7
2022,7,3,12.2,17.5,12.93,18.7,18.7
2022,7,4,12.2,17.5,12.93,18.7,18.7
2022,7,5,12.1,17.5,12.88,18.7,18.7
2022,7,6,12,17.5,12.78,18.7,18.7
2022,7,7,12,17.5,12.68,18.7,18.7
2022,7,8,12,17.5,12.68,18.7,18.7
2022,7,9,12,17.5,12.68,18.7,18.7
2022,7,10,12,17.5,12.68,18.7,18.7
2022,7,11,12,17.5,12.68,18.7,18.7
2022,7,12,12,17.5,12.66,18.7,18.7
2022,7,13,11.9,17.5,12.66,18.7,18.7
2022,7,14,11.9,17.5,12.6,18.7,18.7
2022,7,15,11.9,17.5,12.6,18.7,18.7
2022,7,16,11.9,17.5,12.6,18.7,18.7
2022,7,17,11.9,17.5,12.6,18.7,18.7
2022,7,18,11.9,17.5,12.6,18.7,18.7
2022,7,19,11.9,17.5,12.6,18.7,18.7
2022,7,20,11.8,17.5,12.6,18.7,18.7
2022,7,21,11.7,17.5,12.48,18.7,18.7
2022,7,22,11.55,17.5,12.4,18.7,18.7
2022,7,23,11.55,17.5,12.4,18.7,18.7
2022,7,24,11.4,17.5,12.25,18.7,18.7
2022,7,25,11.4,17.5,12.25,18.7,18.7
2022,7,26,11.2,17.5,12.15,18.7,18.7
2022,7,27,11,17.5,12.05,18.7,18.7
2022,7,28,10.95,18,12.05,19.2,18.7
2022,7,29,10.85,18,11.8,19.2,18.7
2022,7,30,10.85,18,11.8,19.2,18.7
2022,7,31,10.85,18,11.8,19.2,18.7
2022,8,1,10.75,18.2,11.7,11.7,19.55
2022,8,2,10.65,18.2,11.6,11.6,19.55
2022,8,3,10.55,18.2,11.5,11.5,19.35
2022,8,4,10.5,18.2,11.4,19.4,19.35
2022,8,5,10.5,18.2,11.35,19.4,19.35
2022,8,6,10.5,18.2,11.35,19.4,19.35
2022,8,7,10.45,18.2,11.35,19.4,19.4
2022,8,8,10.45,18.2,11.35,19.4,19.4
2022,8,9,10.45,18.2,11.3,19.4,19.4
2022,8,10,10.45,18.2,11.3,19.4,19.45
2022,8,11,10.45,18.2,11.3,19.4,19.45
2022,8,12,10.5,18.2,11.3,19.4,19.65
2022,8,13,10.5,18.2,11.3,19.4,19.65
2022,8,14,10.6,18.5,11.35,19.7,19.65
2022,8,15,10.6,18.5,11.35,19.7,19.65
2022,8,16,10.65,18.5,11.45,19.7,19.65
2022,8,17,10.65,18.5,11.45,19.7,19.65
2022,8,18,10.65,18.5,11.45,19.7,19.65
2022,8,19,10.65,18.5,11.45,19.7,19.65
2022,8,20,10.65,18.5,11.45,19.7,19.65
2022,8,21,10.65,18.5,11.45,19.7,19.65
2022,8,22,10.65,18.5,11.5,19.7,19.65
2022,8,23,10.65,18.5,11.55,19.7,19.65
2022,8,24,10.65,18.7,11.6,19.9,19.73
2022,8,25,10.65,18.7,11.7,19.9,19.73
2022,8,26,10.65,18.7,11.8,19.9,19.73
2022,8,27,10.65,18.7,11.8,19.9,19.73
