年,月,日, 玉米粒, 黃豆粉 ,玉米粉 ,脫殼豆粉,高蛋白豆粉
2018,1,1,,,,,
2018,1,2,6.1,12.15,6.65,13.3,13.21
2018,1,3,6.1,12.15,6.65,13.3,13.21
2018,1,4,6.1,12.15,6.63,13.3,13.21
2018,1,5,6.1,12.15,6.63,13.3,13.2
2018,1,6,,,,,
2018,1,7,,,,,
2018,1,8,6.1,12.15,6.63,13.3,13.18
2018,1,9,6.1,12.15,6.6,13.3,13.16
2018,1,10,6.1,12.15,6.6,13.25,13.14
2018,1,11,6.05,12.1,6.6,13.2,13.11
2018,1,12,6.05,12.1,6.6,13.2,13.11
2018,1,13,,,,,
2018,1,14,,,,,
2018,1,15,6.05,12.15,6.6,13.25,13.15
2018,1,16,6.05,12.15,6.6,13.25,13.15
2018,1,17,6.05,12.15,6.6,13.25,13.15
2018,1,18,6.05,12.15,6.6,13.25,13.15
2018,1,19,6.07,12.15,6.6,13.25,13.15
2018,1,20,,,,,
2018,1,21,,,,,
2018,1,22,6.07,12.15,6.6,13.25,13.15
2018,1,23,6.1,12.2,6.6,13.3,13.18
2018,1,24,6.13,12.2,6.62,13.3,13.18
2018,1,25,6.2,12.2,6.65,13.3,13.2
2018,1,26,6.2,12.2,6.68,13.3,13.25
2018,1,27,,,,,
2018,1,28,,,,,
2018,1,29,6.2,12.2,6.7,13.3,13.35
2018,1,30,6.2,12.3,6.7,13.4,13.36
2018,1,31,6.23,12.3,6.7,13.4,13.4
2018,2,1,6.23,12.3,6.7,13.4,13.38
2018,2,2,6.23,12.3,6.7,13.4,13.35
2018,2,3,,,,,
2018,2,4,,,,,
2018,2,5,6.3,12.3,6.7,13.4,13.33
2018,2,6,6.3,12.3,6.75,13.4,13.29
2018,2,7,6.32,12.3,6.78,13.4,13.37
2018,2,8,6.34,12.3,6.8,13.4,13.15
2018,2,9,6.38,12.3,6.82,13.4,13.37
2018,2,10,,,,,
2018,2,11,,,,,
2018,2,12,6.4,12.3,6.85,13.4,13.33
2018,2,13,6.45,12.4,6.85,13.5,13.4
2018,2,14,6.45,12.4,6.9,13.5,13.47
2018,2,15,,,,,
2018,2,16,,,,,
2018,2,17,,,,,
2018,2,18,,,,,
2018,2,19,,,,,
2018,2,20,,,,,
2018,2,21,6.5,12.5,6.9,13.6,13.67
2018,2,22,6.5,12.7,6.9,13.8,13.74
2018,2,23,6.5,13,6.9,14.1,13.9
2018,2,24,,,,,
2018,2,25,,,,,
2018,2,26,6.55,13,6.97,14.1,13.92
2018,2,27,6.7,13.1,7,14.2,14.05
2018,2,28,,,,,
2018,3,1,6.8,13.1,7.05,14.2,14.1
2018,3,2,6.9,13.3,7.08,14.4,14.16
2018,3,3,,,,,
2018,3,4,,,,,
2018,3,5,7.05,13.4,7.13,14.5,14.25
2018,3,6,7.1,13.4,7.2,14.5,14.4
2018,3,7,7.15,13.4,7.3,14.5,14.4
2018,3,8,7.2,13.4,7.35,14.5,14.36
2018,3,9,7.25,13.4,7.35,14.5,14.36
2018,3,10,,,,,
2018,3,11,,,,,
2018,3,12,7.65,13.4,7.45,14.5,14.36
2018,3,13,8.2,13.4,7.6,14.5,14.39
2018,3,14,8.25,13.4,7.8,14.5,14.43
2018,3,15,8.25,13.4,7.95,14.5,14.37
2018,3,16,8.25,13.4,8.05,14.5,14.41
2018,3,17,,,,,
2018,3,18,,,,,
2018,3,19,8.25,13.4,8.1,14.5,14.41
2018,3,20,8.25,13.4,8.17,14.5,14.31
2018,3,21,8.25,13.4,8.17,14.5,14.47
2018,3,22,8.25,13.4,8.3,14.5,14.47
2018,3,23,8.25,13.4,8.35,14.5,14.44
2018,3,24,,,,,
2018,3,25,,,,,
2018,3,26,8.25,13.45,8.4,14.55,14.47
2018,3,27,8.25,13.5,8.45,14.6,14.52
2018,3,28,8.2,13.5,8.48,14.6,14.5
2018,3,29,8.15,13.5,8.48,14.6,14.49
2018,3,30,8.1,13.6,8.48,14.7,14.62
2018,3,31,8.1,13.6,8.48,14.7,14.62
2018,4,1,,,,,
2018,4,2,8.05,13.7,8.48,14.8,14.7
2018,4,3,8.05,13.7,8.45,14.8,14.67
2018,4,4,,,,,
2018,4,5,,,,,
2018,4,6,,,,,
2018,4,7,,,,,
2018,4,8,,,,,
2018,4,9,8.05,13.7,8.45,14.8,14.76
2018,4,10,8,13.8,8.4,14.9,14.81
2018,4,11,8,13.8,8.35,14.9,14.87
2018,4,12,7.95,13.8,8.3,14.9,14.84
2018,4,13,7.9,13.9,8.3,15,14.89
2018,4,14,,,,,
2018,4,15,,,,,
2018,4,16,7.85,13.9,8.3,15,14.9
2018,4,17,7.8,13.9,8.27,15,14.9
2018,4,18,7.75,13.9,8.25,15,14.9
2018,4,19,7.7,13.9,8.22,15,14.83
2018,4,20,7.55,13.9,8.2,15,14.81
2018,4,21,,,,,
2018,4,22,,,,,
2018,4,23,7.35,13.9,8.15,15,14.78
2018,4,24,7.2,13.8,8,14.9,14.72
2018,4,25,7.15,13.8,7.85,14.9,14.73
2018,4,26,7.05,13.8,7.75,14.9,14.76
2018,4,27,7,13.8,7.65,14.9,14.76
2018,4,28,,,,,
2018,4,29,,,,,
2018,4,30,7,13.9,7.6,15,14.86
2018,5,1,,,,,
2018,5,2,7.05,13.9,7.55,15,14.76
2018,5,3,7.15,13.9,7.55,15,14.73
2018,5,4,7.3,13.9,7.58,15,14.78
2018,5,5,,,,,
2018,5,6,,,,,
2018,5,7,7.3,13.7,7.6,14.8,14.7
2018,5,8,7.3,13.7,7.6,14.8,14.68
2018,5,9,7.25,13.7,7.6,14.8,14.72
2018,5,10,7.23,13.7,7.6,14.8,14.7
2018,5,11,7.2,13.7,7.6,14.8,14.7
2018,5,12,,,,,
2018,5,13,,,,,
2018,5,14,7.15,13.7,7.6,14.8,14.68
2018,5,15,7.15,13.7,7.55,14.8,14.7
2018,5,16,7.15,13.7,7.55,14.8,14.68
2018,5,17,7.15,13.7,7.55,14.8,14.63
2018,5,18,7.15,13.7,7.55,14.8,14.63
2018,5,19,,,,,
2018,5,20,,,,,
2018,5,21,7.3,13.7,7.55,14.8,14.72
2018,5,22,7.33,13.7,7.55,14.8,14.72
2018,5,23,7.33,13.7,7.6,14.8,14.77
2018,5,24,7.33,13.75,7.65,14.85,14.77
2018,5,25,7.33,13.75,7.7,14.85,14.75
2018,5,26,,,,,
2018,5,27,,,,,
2018,5,28,7.35,13.8,7.7,14.9,14.78
2018,5,29,7.33,13.8,7.7,14.9,14.8
2018,5,30,7.33,13.8,7.7,14.9,14.7
2018,5,31,7.33,13.8,7.68,14.9,14.73
2018,6,1,7.3,13.8,7.68,14.9,14.75
2018,6,2,,,,,
2018,6,3,,,,,
2018,6,4,7.3,13.8,7.68,14.9,14.75
2018,6,5,7.3,13.8,7.68,14.9,14.75
2018,6,6,7.3,13.8,7.68,14.9,14.77
2018,6,7,7.3,13.8,7.68,14.9,14.74
2018,6,8,7.27,13.7,7.68,14.8,14.66
2018,6,9,,,,,
2018,6,10,,,,,
2018,6,11,7.25,13.6,7.68,14.7,14.63
2018,6,12,7.2,13.6,7.65,14.7,14.6
2018,6,13,7.2,13.6,7.65,14.7,14.6
2018,6,14,7.15,13.4,7.63,14.5,14.51
2018,6,15,7.05,13.4,7.63,14.5,14.47
2018,6,16,,,,,
2018,6,17,,,,,
2018,6,18,,,,,
2018,6,19,7.05,13.4,7.58,14.5,14.35
2018,6,20,7,13.3,7.55,14.4,14.31
2018,6,21,6.95,13.3,7.5,14.4,14.32
2018,6,22,6.95,13.3,7.47,14.4,14.29
2018,6,23,,,,,
2018,6,24,,,,,
2018,6,25,6.9,13.3,7.47,14.4,14.29
2018,6,26,6.85,13.25,7.43,14.35,14.24
2018,6,27,6.8,13.25,7.4,14.35,14.22
2018,6,28,6.75,13.25,7.38,14.35,14.21
2018,6,29,6.7,13.25,7.38,14.35,14.21
2018,6,30,,,,,
2018,7,1,,,,,
2018,7,2,6.7,13.25,7.32,14.35,14.21
2018,7,3,6.7,13.2,7.3,14.3,14.14
2018,7,4,6.7,13.15,7.28,14.3,14.11
