Date,WhiteChickQuantity,RedChickQuantity,ImportChickenQuantity
2018-01-01,245600,84800,0
2018-01-02,245600,84800,0
2018-01-03,245600,84800,0
2018-01-04,245600,84800,0
2018-01-05,245600,84800,0
2018-01-06,245600,84800,0
2018-01-07,245600,84800,0
2018-01-08,276080,59700,0
2018-01-09,276080,59700,0
2018-01-10,276080,59700,0
2018-01-11,276080,59700,0
2018-01-12,276080,59700,0
2018-01-13,276080,59700,0
2018-01-14,276080,59700,0
2018-01-15,306900,70077,0
2018-01-16,306900,70077,0
2018-01-17,306900,70077,0
2018-01-18,306900,70077,0
2018-01-19,306900,70077,0
2018-01-20,306900,70077,0
2018-01-21,306900,70077,0
2018-01-22,300400,36500,0
2018-01-23,300400,36500,0
2018-01-24,300400,36500,0
2018-01-25,300400,36500,0
2018-01-26,300400,36500,0
2018-01-27,300400,36500,0
2018-01-28,300400,36500,0
2018-01-29,300400,36500,0
2018-01-30,300400,36500,0
2018-01-31,300400,36500,0
2018-02-01,316800,78964,29500
2018-02-02,316800,78964,29500
2018-02-03,316800,78964,29500
2018-02-04,316800,78964,29500
2018-02-05,316800,78964,29500
2018-02-06,316800,78964,29500
2018-02-07,316800,78964,29500
2018-02-08,398550,53400,29500
2018-02-09,398550,53400,29500
2018-02-10,398550,53400,29500
2018-02-11,398550,53400,29500
2018-02-12,398550,53400,29500
2018-02-13,398550,53400,29500
2018-02-14,398550,53400,29500
2018-02-15,175000,17865,29500
2018-02-16,175000,17865,29500
2018-02-17,175000,17865,29500
2018-02-18,175000,17865,29500
2018-02-19,175000,17865,29500
2018-02-20,175000,17865,29500
2018-02-21,175000,17865,29500
2018-02-22,358700,119900,29500
2018-02-23,358700,119900,29500
2018-02-24,358700,119900,29500
2018-02-25,358700,119900,29500
2018-02-26,358700,119900,29500
2018-02-27,358700,119900,29500
2018-02-28,358700,119900,29500
2018-03-01,350500,65500,15200
2018-03-02,350500,65500,15200
2018-03-03,350500,65500,15200
2018-03-04,350500,65500,15200
