TransDate,egg_TaijinPrice
2023-11-26,38.5
2023-11-25,38.5
2023-11-24,38.5
2023-11-23,38.5
2023-11-22,38.5
2023-11-21,38.5
2023-11-20,38.5
2023-11-19,38.5
2023-11-18,38.5
2023-11-17,38.5
2023-11-16,38.5
2023-11-15,38.5
2023-11-14,38.5
2023-11-13,38.5
2023-11-12,38.5
2023-11-11,38.5
2023-11-10,38.5
2023-11-09,38.5
2023-11-08,38.5
2023-11-07,38.5
2023-11-06,40.5
2023-11-05,40.5
2023-11-04,40.5
2023-11-03,40.5
2023-11-02,40.5
2023-11-01,40.5
2023-10-31,40.5
2023-10-30,43.5
2023-10-29,43.5
2023-10-28,43.5
2023-10-27,43.5
2023-10-26,43.5
2023-10-25,43.5
2023-10-24,43.5
2023-10-23,45.5
2023-10-22,45.5
2023-10-21,45.5
2023-10-20,45.5
2023-10-19,45.5
2023-10-18,45.5
2023-10-17,45.5
2023-10-16,45.5
2023-10-15,45.5
2023-10-14,45.5
2023-10-13,45.5
2023-10-12,45.5
2023-10-11,45.5
2023-10-10,45.5
2023-10-09,45.5
2023-10-08,45.5
2023-10-07,45.5
2023-10-06,45.5
2023-10-05,45.5
2023-10-04,45.5
2023-10-03,45.5
2023-10-02,45.5
2023-10-01,45.5
2023-09-30,45.5
2023-09-29,45.5
2023-09-28,45.5
2023-09-27,45.5
2023-09-26,43.5
2023-09-25,43.5
2023-09-24,43.5
2023-09-23,43.5
2023-09-22,43.5
2023-09-21,43.5
2023-09-20,43.5
2023-09-19,43.5
2023-09-18,43.5
2023-09-17,43.5
2023-09-16,43.5
2023-09-15,43.5
2023-09-14,43.5
2023-09-13,43.5
2023-09-12,43.5
2023-09-11,43.5
2023-09-10,43.5
2023-09-09,43.5
2023-09-08,43.5
2023-09-07,43.5
2023-09-06,43.5
2023-09-05,40.5
2023-09-04,40.5
2023-09-03,40.5
2023-09-02,40.5
2023-09-01,40.5
2023-08-31,40.5
2023-08-30,40.5
2023-08-29,40.5
2023-08-28,40.5
2023-08-27,40.5
2023-08-26,40.5
2023-08-25,40.5
2023-08-24,40.5
2023-08-23,40.5
2023-08-22,40.5
2023-08-21,40.5
2023-08-20,40.5
2023-08-19,40.5
2023-08-18,40.5
2023-08-17,40.5
2023-08-16,40.5
2023-08-15,40.5
2023-08-14,40.5
2023-08-13,40.5
2023-08-12,40.5
2023-08-11,40.5
2023-08-10,40.5
2023-08-09,40.5
2023-08-08,40.5
2023-08-07,40.5
2023-08-06,40.5
2023-08-05,40.5
2023-08-04,40.5
2023-08-03,40.5
2023-08-02,40.5
2023-08-01,40.5
2023-07-31,40.5
2023-07-30,40.5
2023-07-29,40.5
2023-07-28,40.5
2023-07-27,40.5
2023-07-26,40.5
2023-07-25,40.5
2023-07-24,40.5
2023-07-23,40.5
2023-07-22,40.5
2023-07-21,40.5
2023-07-20,40.5
2023-07-19,40.5
2023-07-18,40.5
2023-07-17,40.5
2023-07-16,40.5
2023-07-15,40.5
2023-07-14,40.5
2023-07-13,40.5
2023-07-12,40.5
2023-07-11,40.5
