Year_Week,Avg_Price
2020-00,27.5
2020-01,26.07
2020-02,23.64
2020-03,20.5
2020-04,21.21
2020-05,25.5
2020-06,25.5
2020-07,25.5
2020-08,26.64
2020-09,28.93
2020-10,29.5
2020-11,29.5
2020-12,29.5
2020-13,29.5
2020-14,29.5
2020-15,29.5
2020-16,29.5
2020-17,29.5
2020-18,29.5
2020-19,28.07
2020-20,25.36
2020-21,24.5
2020-22,24.5
2020-23,24.5
2020-24,24.5
2020-25,24.5
2020-26,24.5
2020-27,23.07
2020-28,22.5
2020-29,22.5
2020-30,23.64
2020-31,25.64
2020-32,26.5
2020-33,27.64
2020-34,28.5
2020-35,28.5
2020-36,28.5
2020-37,27.21
2020-38,28.5
2020-39,27.07
2020-40,25.07
2020-41,24.5
2020-42,23.64
2020-43,24.5
2020-44,24.5
2020-45,25.64
2020-46,26.5
2020-47,27.64
2020-48,28.5
2020-49,27.07
2020-50,26.5
2020-51,25.07
2020-52,24.5
