月份,入中雞雛數,產蛋隻數,均  日     產蛋箱數,淘汰隻數,目  前         換羽隻數
2018-01-01,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-02,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-03,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-04,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-05,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-06,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-07,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-08,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-09,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-10,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-11,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-12,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-13,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-14,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-15,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-16,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-17,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-18,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-19,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-20,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-21,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-22,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-23,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-24,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-25,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-26,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-27,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-28,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-29,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-30,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-01-31,1160830.0,31170982.0,114908.0,866824.0,633700.0
2018-02-01,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-02-02,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-02-03,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-02-04,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-02-05,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-02-06,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-02-07,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-02-08,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-02-09,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-02-10,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-02-11,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-02-12,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-02-13,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-02-14,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-02-15,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-02-16,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-02-17,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-02-18,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-02-19,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-02-20,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-02-21,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-02-22,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-02-23,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-02-24,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-02-25,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-02-26,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-02-27,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-02-28,1017671.0,29964849.0,109735.0,952730.0,1744950.0
2018-03-01,1445970.0,29888594.0,109958.0,1248320.0,1206890.0
