Precipitation,Date,StationName
1.3,2019-01-01,板橋
3.0,2019-01-02,板橋
7.5,2019-01-03,板橋
0.0,2019-01-04,板橋
3.0,2019-01-05,板橋
5.5,2019-01-06,板橋
0.0,2019-01-07,板橋
T,2019-01-08,板橋
0.0,2019-01-09,板橋
0.0,2019-01-10,板橋
0.0,2019-01-11,板橋
0.0,2019-01-12,板橋
0.0,2019-01-13,板橋
0.1,2019-01-14,板橋
0.2,2019-01-15,板橋
12.5,2019-01-16,板橋
7.0,2019-01-17,板橋
0.0,2019-01-18,板橋
0.0,2019-01-19,板橋
1.7,2019-01-20,板橋
5.5,2019-01-21,板橋
1.5,2019-01-22,板橋
0.0,2019-01-23,板橋
0.0,2019-01-24,板橋
0.0,2019-01-25,板橋
0.0,2019-01-26,板橋
0.0,2019-01-27,板橋
0.0,2019-01-28,板橋
0.0,2019-01-29,板橋
0.0,2019-01-30,板橋
0.0,2019-01-31,板橋
0.0,2019-02-01,板橋
0.0,2019-02-02,板橋
0.0,2019-02-03,板橋
1.6,2019-02-04,板橋
0.5,2019-02-05,板橋
0.0,2019-02-06,板橋
0.0,2019-02-07,板橋
T,2019-02-08,板橋
T,2019-02-09,板橋
0.0,2019-02-10,板橋
0.0,2019-02-11,板橋
0.0,2019-02-12,板橋
T,2019-02-13,板橋
0.0,2019-02-14,板橋
0.0,2019-02-15,板橋
0.0,2019-02-16,板橋
0.0,2019-02-17,板橋
0.3,2019-02-18,板橋
1.0,2019-02-19,板橋
0.0,2019-02-20,板橋
T,2019-02-21,板橋
4.5,2019-02-22,板橋
3.0,2019-02-23,板橋
57.5,2019-02-24,板橋
0.5,2019-02-25,板橋
0.0,2019-02-26,板橋
0.2,2019-02-27,板橋
0.0,2019-02-28,板橋
0.0,2019-03-01,板橋
0.0,2019-03-02,板橋
12.5,2019-03-03,板橋
0.0,2019-03-04,板橋
1.0,2019-03-05,板橋
12.5,2019-03-06,板橋
29.0,2019-03-07,板橋
16.5,2019-03-08,板橋
46.5,2019-03-09,板橋
24.0,2019-03-10,板橋
T,2019-03-11,板橋
0.0,2019-03-12,板橋
0.5,2019-03-13,板橋
0.0,2019-03-14,板橋
7.5,2019-03-15,板橋
0.0,2019-03-16,板橋
0.7,2019-03-17,板橋
0.2,2019-03-18,板橋
0.0,2019-03-19,板橋
0.0,2019-03-20,板橋
0.0,2019-03-21,板橋
T,2019-03-22,板橋
5.7,2019-03-23,板橋
6.0,2019-03-24,板橋
16.8,2019-03-25,板橋
T,2019-03-26,板橋
0.0,2019-03-27,板橋
0.0,2019-03-28,板橋
14.5,2019-03-29,板橋
3.4,2019-03-30,板橋
0.5,2019-03-31,板橋
6.5,2019-04-01,板橋
T,2019-04-02,板橋
T,2019-04-03,板橋
0.0,2019-04-04,板橋
T,2019-04-05,板橋
0.0,2019-04-06,板橋
0.0,2019-04-07,板橋
0.0,2019-04-08,板橋
0.0,2019-04-09,板橋
T,2019-04-10,板橋
17.4,2019-04-11,板橋
0.3,2019-04-12,板橋
2.5,2019-04-13,板橋
3.3,2019-04-14,板橋
1.0,2019-04-15,板橋
28.0,2019-04-16,板橋
T,2019-04-17,板橋
0.0,2019-04-18,板橋
8.5,2019-04-19,板橋
5.0,2019-04-20,板橋
37.5,2019-04-21,板橋
4.0,2019-04-22,板橋
0.0,2019-04-23,板橋
0.0,2019-04-24,板橋
0.0,2019-04-25,板橋
1.2,2019-04-26,板橋
0.0,2019-04-27,板橋
0.0,2019-04-28,板橋
0.0,2019-04-29,板橋
0.2,2019-04-30,板橋
62.0,2019-05-01,板橋
12.0,2019-05-02,板橋
1.0,2019-05-03,板橋
T,2019-05-04,板橋
0.5,2019-05-05,板橋
13.0,2019-05-06,板橋
9.5,2019-05-07,板橋
0.7,2019-05-08,板橋
15.3,2019-05-09,板橋
0.7,2019-05-10,板橋
0.0,2019-05-11,板橋
0.0,2019-05-12,板橋
0.0,2019-05-13,板橋
0.0,2019-05-14,板橋
0.0,2019-05-15,板橋
0.0,2019-05-16,板橋
102.5,2019-05-17,板橋
T,2019-05-18,板橋
0.0,2019-05-19,板橋
96.5,2019-05-20,板橋
0.0,2019-05-21,板橋
0.0,2019-05-22,板橋
1.5,2019-05-23,板橋
0.0,2019-05-24,板橋
0.0,2019-05-25,板橋
0.0,2019-05-26,板橋
13.0,2019-05-27,板橋
60.5,2019-05-28,板橋
0.0,2019-05-29,板橋
0.0,2019-05-30,板橋
0.0,2019-05-31,板橋
7.0,2019-06-01,板橋
0.0,2019-06-02,板橋
2.0,2019-06-03,板橋
4.0,2019-06-04,板橋
T,2019-06-05,板橋
0.0,2019-06-06,板橋
0.0,2019-06-07,板橋
0.0,2019-06-08,板橋
0.0,2019-06-09,板橋
15.0,2019-06-10,板橋
111.0,2019-06-11,板橋
29.0,2019-06-12,板橋
41.5,2019-06-13,板橋
71.5,2019-06-14,板橋
0.0,2019-06-15,板橋
0.0,2019-06-16,板橋
0.6,2019-06-17,板橋
0.0,2019-06-18,板橋
0.0,2019-06-19,板橋
0.0,2019-06-20,板橋
0.0,2019-06-21,板橋
3.5,2019-06-22,板橋
41.5,2019-06-23,板橋
7.5,2019-06-24,板橋
79.0,2019-06-25,板橋
13.0,2019-06-26,板橋
26.0,2019-06-27,板橋
T,2019-06-28,板橋
T,2019-06-29,板橋
0.2,2019-06-30,板橋
0.0,2019-07-01,板橋
121.5,2019-07-02,板橋
40.5,2019-07-03,板橋
0.0,2019-07-04,板橋
0.0,2019-07-05,板橋
0.0,2019-07-06,板橋
0.0,2019-07-07,板橋
0.0,2019-07-08,板橋
0.0,2019-07-09,板橋
T,2019-07-10,板橋
0.4,2019-07-11,板橋
19.5,2019-07-12,板橋
0.0,2019-07-13,板橋
2.5,2019-07-14,板橋
13.2,2019-07-15,板橋
0.0,2019-07-16,板橋
19.5,2019-07-17,板橋
8.0,2019-07-18,板橋
8.0,2019-07-19,板橋
14.5,2019-07-20,板橋
61.0,2019-07-21,板橋
23.5,2019-07-22,板橋
28.0,2019-07-23,板橋
0.2,2019-07-24,板橋
0.0,2019-07-25,板橋
2.0,2019-07-26,板橋
0.4,2019-07-27,板橋
0.0,2019-07-28,板橋
0.0,2019-07-29,板橋
0.0,2019-07-30,板橋
0.0,2019-07-31,板橋
0.0,2019-08-01,板橋
0.0,2019-08-02,板橋
0.0,2019-08-03,板橋
0.0,2019-08-04,板橋
0.2,2019-08-05,板橋
0.0,2019-08-06,板橋
18.5,2019-08-07,板橋
41.0,2019-08-08,板橋
34.5,2019-08-09,板橋
4.5,2019-08-10,板橋
0.0,2019-08-11,板橋
0.1,2019-08-12,板橋
0.0,2019-08-13,板橋
0.0,2019-08-14,板橋
T,2019-08-15,板橋
T,2019-08-16,板橋
0.0,2019-08-17,板橋
17.5,2019-08-18,板橋
7.0,2019-08-19,板橋
T,2019-08-20,板橋
35.0,2019-08-21,板橋
0.0,2019-08-22,板橋
0.0,2019-08-23,板橋
12.5,2019-08-24,板橋
0.2,2019-08-25,板橋
0.0,2019-08-26,板橋
0.0,2019-08-27,板橋
0.0,2019-08-28,板橋
0.0,2019-08-29,板橋
39.0,2019-08-30,板橋
0.0,2019-08-31,板橋
0.0,2019-09-01,板橋
0.0,2019-09-02,板橋
0.0,2019-09-03,板橋
14.5,2019-09-04,板橋
36.5,2019-09-05,板橋
21.0,2019-09-06,板橋
0.0,2019-09-07,板橋
0.2,2019-09-08,板橋
0.0,2019-09-09,板橋
0.0,2019-09-10,板橋
0.0,2019-09-11,板橋
0.0,2019-09-12,板橋
0.0,2019-09-13,板橋
0.0,2019-09-14,板橋
9.5,2019-09-15,板橋
11.5,2019-09-16,板橋
