TransDate,Duckegg_TNN_TaijinPrice
2022-12-31,43.0
2022-12-30,43.0
2022-12-29,43.0
2022-12-28,43.0
2022-12-27,43.0
2022-12-26,43.0
2022-12-25,43.0
2022-12-24,43.0
2022-12-23,43.0
2022-12-22,43.0
2022-12-21,43.0
2022-12-20,43.0
2022-12-19,43.0
2022-12-18,43.0
2022-12-17,43.0
2022-12-16,43.0
2022-12-15,43.0
2022-12-14,43.0
2022-12-13,43.0
2022-12-12,43.0
2022-12-11,43.0
2022-12-10,43.0
2022-12-09,43.0
2022-12-08,43.0
2022-12-07,43.0
2022-12-06,43.0
2022-12-05,43.0
2022-12-04,43.0
2022-12-03,43.0
2022-12-02,43.0
2022-12-01,43.0
2022-11-30,43.0
2022-11-29,43.0
2022-11-28,43.0
2022-11-27,43.0
2022-11-26,43.0
2022-11-25,43.0
2022-11-24,43.0
2022-11-23,43.0
2022-11-22,43.0
2022-11-21,43.0
2022-11-20,43.0
2022-11-19,43.0
2022-11-18,43.0
2022-11-17,43.0
2022-11-16,43.0
2022-11-15,43.0
2022-11-14,43.0
2022-11-13,43.0
2022-11-12,43.0
2022-11-11,43.0
2022-11-10,43.0
2022-11-09,43.0
2022-11-08,43.0
2022-11-07,43.0
2022-11-06,43.0
2022-11-05,43.0
2022-11-04,43.0
2022-11-03,43.0
2022-11-02,43.0
2022-11-01,43.0
2022-10-31,43.0
2022-10-30,43.0
2022-10-29,43.0
2022-10-28,43.0
2022-10-27,43.0
2022-10-26,43.0
2022-10-25,43.0
2022-10-24,43.0
2022-10-23,43.0
2022-10-22,43.0
2022-10-21,43.0
2022-10-20,43.0
2022-10-19,43.0
2022-10-18,43.0
2022-10-17,43.0
2022-10-16,43.0
2022-10-15,43.0
2022-10-14,43.0
2022-10-13,43.0
2022-10-12,43.0
2022-10-11,43.0
2022-10-10,43.0
2022-10-09,43.0
2022-10-08,43.0
2022-10-07,43.0
2022-10-06,43.0
2022-10-05,43.0
2022-10-04,43.0
2022-10-03,43.0
2022-10-02,43.0
2022-10-01,43.0
2022-09-30,43.0
2022-09-29,43.0
2022-09-28,43.0
2022-09-27,43.0
2022-09-26,43.0
2022-09-25,43.0
2022-09-24,43.0
2022-09-23,43.0
2022-09-22,43.0
2022-09-21,43.0
2022-09-20,43.0
2022-09-19,43.0
2022-09-18,43.0
2022-09-17,43.0
2022-09-16,43.0
2022-09-15,43.0
2022-09-14,43.0
2022-09-13,43.0
2022-09-12,43.0
2022-09-11,43.0
2022-09-10,43.0
2022-09-09,43.0
2022-09-08,43.0
2022-09-07,43.0
2022-09-06,43.0
2022-09-05,43.0
2022-09-04,43.0
2022-09-03,43.0
2022-09-02,43.0
2022-09-01,43.0
2022-08-31,43.0
2022-08-30,43.0
2022-08-29,43.0
2022-08-28,43.0
2022-08-27,43.0
2022-08-26,43.0
2022-08-25,43.0
2022-08-24,43.0
2022-08-23,43.0
2022-08-22,43.0
2022-08-21,43.0
2022-08-20,43.0
2022-08-19,43.0
2022-08-18,43.0
2022-08-17,43.0
2022-08-16,43.0
2022-08-15,43.0
2022-08-14,43.0
2022-08-13,43.0
2022-08-12,43.0
2022-08-11,43.0
2022-08-10,43.0
2022-08-09,43.0
2022-08-08,43.0
2022-08-07,43.0
2022-08-06,43.0
2022-08-05,43.0
2022-08-04,43.0
2022-08-03,43.0
2022-08-02,43.0
2022-08-01,43.0
2022-07-31,43.0
2022-07-30,43.0
2022-07-29,43.0
2022-07-28,43.0
2022-07-27,43.0
2022-07-26,43.0
2022-07-25,43.0
2022-07-24,43.0
2022-07-23,43.0
2022-07-22,43.0
2022-07-21,43.0
2022-07-20,43.0
2022-07-19,43.0
2022-07-18,43.0
2022-07-17,43.0
2022-07-16,43.0
2022-07-15,43.0
2022-07-14,43.0
2022-07-13,43.0
2022-07-12,43.0
2022-07-11,43.0
2022-07-10,43.0
2022-07-09,43.0
2022-07-08,43.0
2022-07-07,43.0
2022-07-06,43.0
2022-07-05,43.0
2022-07-04,43.0
2022-07-03,43.0
2022-07-02,43.0
2022-07-01,43.0
2022-06-30,43.0
2022-06-29,43.0
2022-06-28,43.0
2022-06-27,43.0
2022-06-26,43.0
2022-06-25,43.0
2022-06-24,43.0
2022-06-23,43.0
2022-06-22,43.0
2022-06-21,43.0
2022-06-20,43.0
2022-06-19,43.0
2022-06-18,43.0
2022-06-17,43.0
2022-06-16,43.0
2022-06-15,43.0
2022-06-14,43.0
2022-06-13,43.0
2022-06-12,43.0
2022-06-11,43.0
2022-06-10,43.0
2022-06-09,43.0
2022-06-08,43.0
2022-06-07,43.0
2022-06-06,43.0
2022-06-05,43.0
2022-06-04,43.0
2022-06-03,43.0
2022-06-02,43.0
2022-06-01,43.0
2022-05-31,43.0
2022-05-30,43.0
2022-05-29,43.0
2022-05-28,43.0
2022-05-27,43.0
2022-05-26,43.0
2022-05-25,43.0
2022-05-24,43.0
2022-05-23,43.0
2022-05-22,43.0
2022-05-21,43.0
2022-05-20,43.0
2022-05-19,43.0
2022-05-18,43.0
2022-05-17,43.0
2022-05-16,43.0
2022-05-15,43.0
2022-05-14,43.0
2022-05-13,43.0
2022-05-12,43.0
2022-05-11,43.0
2022-05-10,43.0
2022-05-09,43.0
2022-05-08,43.0
2022-05-07,43.0
2022-05-06,43.0
2022-05-05,43.0
2022-05-04,43.0
2022-05-03,43.0
2022-05-02,43.0
2022-05-01,43.0
2022-04-30,43.0
2022-04-29,43.0
2022-04-28,43.0
2022-04-27,43.0
2022-04-26,43.0
2022-04-25,43.0
2022-04-24,43.0
2022-04-23,43.0
2022-04-22,43.0
2022-04-21,43.0
2022-04-20,43.0
2022-04-19,43.0
2022-04-18,43.0
2022-04-17,43.0
2022-04-16,43.0
2022-04-15,43.0
2022-04-14,43.0
2022-04-13,43.0
2022-04-12,43.0
2022-04-11,43.0
2022-04-10,40.0
2022-04-09,40.0
2022-04-08,40.0
2022-04-07,40.0
2022-04-06,40.0
2022-04-05,40.0
2022-04-04,40.0
2022-04-03,40.0
2022-04-02,40.0
2022-04-01,40.0
2022-03-31,40.0
2022-03-30,40.0
2022-03-29,40.0
2022-03-28,40.0
2022-03-27,40.0
2022-03-26,40.0
2022-03-25,40.0
2022-03-24,40.0
2022-03-23,40.0
2022-03-22,40.0
2022-03-21,40.0
2022-03-20,40.0
2022-03-19,40.0
2022-03-18,40.0
2022-03-17,40.0
2022-03-16,40.0
2022-03-15,40.0
2022-03-14,40.0
2022-03-13,38.0
2022-03-12,38.0
2022-03-11,38.0
2022-03-10,38.0
2022-03-09,38.0
2022-03-08,38.0
2022-03-07,38.0
2022-03-06,38.0
2022-03-05,38.0
2022-03-04,38.0
2022-03-03,38.0
2022-03-02,38.0
2022-03-01,38.0
2022-02-28,38.0
2022-02-27,38.0
2022-02-26,38.0
2022-02-25,38.0
2022-02-24,38.0
2022-02-23,38.0
2022-02-22,38.0
2022-02-21,38.0
2022-02-20,38.0
2022-02-19,38.0
2022-02-18,38.0
2022-02-17,38.0
2022-02-16,38.0
2022-02-15,38.0
2022-02-14,38.0
2022-02-13,38.0
2022-02-12,38.0
2022-02-11,38.0
2022-02-10,38.0
2022-02-09,38.0
2022-02-08,38.0
2022-02-07,38.0
2022-02-06,38.0
2022-02-05,38.0
2022-02-04,38.0
2022-02-03,38.0
2022-02-02,38.0
2022-02-01,38.0
2022-01-31,38.0
2022-01-30,38.0
2022-01-29,休市
2022-01-28,38.0
2022-01-27,38.0
2022-01-26,38.0
