Year_Week,Avg_Price
2023-01,43.0
2023-02,43.0
2023-03,43.0
2023-04,43.0
2023-05,43.0
2023-06,43.0
2023-07,43.0
2023-08,44.71
2023-09,45.0
2023-10,46.29
2023-11,48.0
2023-12,48.0
2023-13,48.0
2023-14,48.0
2023-15,48.0
2023-16,48.0
2023-17,48.0
2023-18,48.0
2023-19,48.0
2023-20,48.0
2023-21,48.0
2023-22,48.0
2023-23,48.0
2023-24,48.0
2023-25,48.0
2023-26,48.0
2023-27,48.0
2023-28,48.0
2023-29,48.0
2023-30,48.0
2023-31,48.0
2023-32,48.0
2023-33,48.0
2023-34,48.0
2023-35,48.0
2023-36,48.0
2023-37,48.0
2023-38,48.0
2023-39,48.0
2023-40,48.0
2023-41,48.0
2023-42,48.0
2023-43,48.0
2023-44,48.0
2023-45,48.0
2023-46,48.0
2023-47,48.0
2023-48,48.0
